11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 1,Ｐマキシムガロｰ, 13,酒井学, 2.1, 29, -10, -18,16,304.7, ⑮⑯,13, 7, キングブラヴィシモ,---,国分恭, 3.3, 10, -22, -20,10,104.4, ⑬⑬,13,14,Ｂプリサイストップ, 76,高倉稜, 1.3, 66,   8,  -5, 1,  3.1, ⑦④,,,,,,,,,,,,
14,13,Ｒコトノクリチャン,-25,安藤光, 2.2, 28, -13, -15,18,425.9, ⑰⑰,,,,,,,,,,,,,14, 1,Ｋスプリングオスロ, 66,松山弘, 1.3, 63,  -2,*  4,16,201.4, ⑯⑯,,,,,,,,,,,,
15,17,Ｑトップイｰジス, 11,和田竜, 2.6, 26,*  0, -37, 8, 25.4, ④⑤,,,,,,,,,,,,,15, 6,Ｇメイショウヤグラ, 67,国分優, 1.8, 60,   3,  -6, 9, 20.0, ⑪⑪,,,,,,,,,,,,
16, 4,Ｂシゲルココナッツ, 47,太宰啓, 2.7, 23,  -8, -28,11, 72.7, ⑪⑭,,,,,,,,,,,,,16, 2,Ｎタガノルビコン, 62,国分恭, 3.4, 48,   8, -24,14, 72.9, ④⑤,,,,,,,,,,,,
17,14,Ｎスズカテング, 23,高倉稜, 3.0, 22, -18, -19,15,284.6, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Ｏコスモファンタジア, 20,柴田大, 4.3,  9,  -2, -56,14,227.0, ⑤⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:4),,,,,,,,,,,
単勝:280円 複勝:07=150円 10=220円 16=410円 枠連:480円,,,,,,,,,,,,"単勝:1,360円 複勝:13=300円 11=130円 06=180円 枠連:660円",,,,,,,,,,,,単勝:400円 複勝:08=220円 13=540円 12=310円 枠連:680円,,,,,,,,,,,,単勝:150円 複勝:03=110円 08=510円 06=240円 枠連:360円,,,,,,,,,,,
"馬連:910円 ワイド:07-10=450円 07-16=1,120円 10-16=2,260円",,,,,,,,,,,,"馬連:1,460円 ワイド:11-13=510円 06-13=1,040円 06-11=320円",,,,,,,,,,,,"馬連:4,560円 ワイド:08-13=1,730円 08-12=1,040円 12-13=1,960円",,,,,,,,,,,,"馬連:2,280円 ワイド:03-08=910円 03-06=370円 06-08=1,550円",,,,,,,,,,,
"馬単:1,380円 3連複:6,230円 3連単:18,340円",,,,,,,,,,,,"馬単:4,330円 3連複:2,630円 3連単:23,970円",,,,,,,,,,,,"馬単:9,890円 3連複:14,450円 3連単:88,610円",,,,,,,,,,,,"馬単:2,860円 3連複:4,800円 3連単:20,270円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3140m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-23,,,,
