11年 2月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ山梨杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃイカルス, 56,後藤浩,, 55,  -1,  -8, 2,  3.9, ③④, 1, 8,Ｇコｰラルビュｰ, 50,木幡初,, 65,*-14,   7, 2,  4.5, ①①, 1,16,Ｈダノンエクスプレス, 72,田中勝,, 76,* 13,   0, 5, 13.0, ①①, 1, 7,Ｇムクドク, 76,クラス,, 87,  -2,  18, 4,  7.8, ④④
 2,14,Ｄアップタｰン, 55,戸崎圭, 0.0, 56,  -2,  -6, 1,  3.6, ⑥⑥, 2, 4,Ａシングンミラクル, 60,小林淳, 0.1, 69, -27,* 24, 5,  6.1, ⑭⑮, 2, 7,Ｃユｰスフル, 76,北村宏, 0.2, 75,   5,* 12, 4,  6.8, ⑫⑫, 2, 8,Ｃマサノウイズキッド, 81,後藤浩, 0.0, 84,*  2,  12, 8, 11.6, ①①
 3,15,Ｇコスモワッチミｰ, 51,柴田大, 0.2, 53,  -7,* -2, 9, 73.4, ⑩⑩, 3, 6,Ｄキッズチェイサｰ, 56,松岡正, 0.2, 63,*-17,   8, 1,  4.4, ②③, 3,10,Ｆアサクサマリンバ, 74,吉田豊, 0.4, 72,   4,* 12, 8, 29.1, ⑭⑭, 3, 9,Ａオリエンタルジェイ, 84,北村宏, 0.2, 87,  -6,* 22, 6, 10.5, ⑨⑨
 4, 4,Ｋクロドレコｰ, 39,横山典, 0.4, 54,  -7,* -1, 3,  5.5, ⑪⑫, 4, 3,Ｂオマワリサン, 56,柴田善, 0.3, 66, -26,* 18, 3,  5.3, ⑮⑭, 4, 3,Ｂキングスリｰジョン, 77,内田博, 0.5, 74,   8,   5, 2,  3.8, ⑦⑥, 4, 4,Ｉショウナンアクロス, 76,吉田豊, 0.3, 86,  -6,* 22, 9, 28.7, ⑪⑪
 5, 1,Ｌヒタタレ, 39,石橋脩, 0.7, 51,*  4, -21,11,128.2, ①①, 5,11,Ｊベストクロｰン, 46,後藤浩, 0.3, 61,*-17,   7, 4,  5.6, ⑤④, 5,13,Ｅスマイルタイム, 75,戸崎圭, 0.8, 70,* 10,  -3, 1,  2.7, ②②, 5, 5,Ｅクリｰルトルネｰド, 78,横山典, 0.3, 81,* -1,  11, 3,  5.9, ③②
 6, 7,Ｈゴｰルドスマイル, 50,クラス, 0.7, 51,  -2, -12, 6,  9.4, ⑤⑤, 6,12,Ｍコスモヴェント, 41,戸崎圭, 0.5, 61, -23,  12, 7, 19.3, ⑬⑪, 6, 2,Ｏリアルアヴェニュｰ, 53,石橋脩, 0.8, 69,   8,   2, 7, 27.9, ⑥⑤, 6, 2,Ｂオオトリオウジャ, 81,三浦皇, 0.3, 84,  -2,  15, 2,  4.7, ⑤⑤
 7, 9,Ａトｰセンブリッツ, 61,松岡正, 0.7, 50,  -7,  -6, 4,  6.8, ⑨⑨, 7, 5,Ｏエイシンエンブレム, 37,内田博, 0.6, 61, -23,  11,11, 72.3, ⑧⑨, 7,14,Ａルロワ, 80,柴田善, 1.0, 68,   9,  -1, 3,  5.8, ④④, 7, 1,Ｌエスジｰストリｰム, 71,柴山雄, 0.4, 86,  -9,* 25,11,146.5, ⑬⑬
 8,13,Ｂジパングファｰスト, 57,武士沢, 0.8, 48,  -4, -10, 8, 20.2, ⑦⑦, 8, 7,Ｅブラックエスパｰ, 52,平野優, 0.6, 58, -19,   5, 9, 26.4, ④⑥, 8, 4,Ｋケイオｰスタｰ, 66,大庭和, 1.1, 68,   6,   2,14,114.7, ⑨⑨, 8, 6,Ｈエイブルベガ, 76,内田博, 0.4, 83,  -4,  15, 7, 11.5, ⑦⑦
