11年 9月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,九十九里特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅダイワカリエンテ, 44,北村宏,, 55,   3,*  0, 1,  1.7, ⑦⑥, 1, 2, メジロクリントン,,江田勇,,,,, 2,  3.8,①①①, 1, 7,Ｃセイカプレスト, 73,石橋脩,, 62,*  0,* 16, 4, 15.8,②②②, 1, 5,Ｂジャングルハヤテ, 82,西田雄,, 86, -14,* 36, 4,  9.4,⑤⑥④
 2, 2,Ｃエステｰジャ, 44,田辺裕, 0.2, 51,  -2,*  2, 6, 17.0, ⑫⑫, 2, 8, ディアマイホｰス,,山本康,197.1,,,, 1,  2.0,⑤④②, 2, 3,Ａジャストザシｰズン, 77,後藤浩, 0.4, 60,  -1,* 15, 1,  1.8,⑥⑥④, 2, 7,Ｃホウショウアマネ, 78,田辺裕, 0.0, 79,*-12,  27, 6, 30.7,①①①
 3, 6,Ｄエムアイチャンドラ, 44,大野拓, 0.4, 52,   5,  -8, 3,  6.9, ④③, 3,10, マイネルパルティア,,穂苅寿,197.6,,,, 9, 54.3,④③③, 3, 6,Ｈマテンロウカフェ, 42,中舘英, 0.4, 58,*  0,  11, 6, 20.2,①①①, 3, 4,Ａヴァｰゲンザイル, 86,吉田豊, 0.1, 86, -14,* 37, 2,  3.3,⑦⑦⑧
 4,13,Ｈアブマｰシュ, 40,木幡初, 0.4, 53,*  8, -11, 9, 45.4, ②②, 4, 7, ホｰカｰシｰホｰク,,鈴木慶,198.7,,,,10, 63.8,②⑦⑧, 4, 1,Ｅニシキホマレ, 69,平野優, 0.4, 59,  -1,  14, 7, 20.2,③③③, 4, 2,Ｆインザブラック, 74,田中勝, 0.2, 83, -15,  34, 5, 16.0,④⑤⑤
 5, 1,Ａエンドスケｰプ, 52,赤木高, 0.4, 48,   0,* -3, 2,  5.2, ⑨⑧, 5,12, スｰパｰティチャｰ,,大江原,198.7,,,, 7, 28.0,⑧⑩⑨, 5, 8,Ｄドラゴンソニック, 70,武士沢, 1.1, 57,  -2,  12, 8, 21.2,⑧⑧⑦, 5, 8,Ｄルイｰザシアタｰ, 77,後藤浩, 0.2, 81,*-13,  30, 3,  3.7,②②②
 6, 9,Ｆエキゾチックバニラ, 42,後藤浩, 0.5, 53,*  9, -13, 4, 10.1, ①①, 6, 1, ヤマイチカチドキ,,草野太,198.7,,,, 8, 51.3,⑥⑥⑥, 6, 5,Ｇモンク, 63,江田照, 1.2, 55,  -1,   9, 5, 19.8,⑤⑦⑧, 6, 3,Ｅアッパｰイｰスト, 76,蛯名正, 0.2, 82,*-13,  32, 1,  2.2,③④⑥
 7, 8,Ｇコスモティアラ, 42,松岡正, 0.9, 45,   4, -13, 7, 36.1, ⑥④, 7,11, ブライティアアｰス,,横山義,198.9,,,,11, 86.5,⑦⑧⑦, 7, 2,Ｆスリｰプレシャス, 67,田辺裕, 1.7, 51,  -1,   3, 2,  4.5,⑦⑤⑥, 7, 6,Ｇギムレットアイ, 73,木幡初, 0.6, 76,*-13,  25, 7, 78.4,⑧③③
 8,10,Ｂコスモアステリクス, 50,柴田大, 1.0, 41,  -1,  -9, 5, 16.7, ⑪⑩, 8, 6, スズカケノミチ,,高野和,199.6,,,, 3,  5.4,⑨⑤⑤, 8, 4,Ｂガｰトモンテス, 75,吉田豊, 7.1, 23,*  0, -43, 3,  4.5,④④⑤, 8, 1,Ｈタイセイダンサｰ, 71,平野優, 0.6, 82, -15,  34, 8, 99.6,⑥⑧⑦
