11年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａホクトキングダム, 67,藤田伸,, 67,*  5,*  1, 1,  2.4, ②②, 1,13, コンゴウ,,高田潤,,,,, 2,  4.0,①①①, 1,10,Ｅラトルスネｰク, 62,リスポ,, 73, -13,* 26, 3,  4.4, ⑩⑦, 1, 2,Ｄアドマイヤテンクウ, 86,小牧太,, 84,*  4,* 20, 5,  9.7,③③③
 2,16,Ｃシゲルカイチョウ, 60,池添謙, 0.2, 64,*  5,  -1, 3,  9.1, ③③, 2,14, ノワｰルシチｰ,,山本康,196.8,,,, 1,  3.8,⑥⑥⑤, 2, 2,Ａロｰドカナロア, 77,福永祐, 0.1, 70,* -7,  17, 1,  1.8, ①①, 2, 3,Ｈキティ, 83,リスポ, 0.0, 86,*  5,  18, 6, 10.6,①①①
 3, 1,Ｈレッドマロン, 53,岡部誠, 0.6, 63,*  8,  -7, 5, 12.9, ①①, 3, 1, ナムラチェンジ,,植野貴,196.8,,,, 5, 15.7,⑩⑦⑥, 3, 9,Ｂダコｰル, 74,デムｰ, 0.2, 72, -16,* 27, 2,  3.5, ⑬⑫, 3, 7,Ｃシャア, 87,小坂忠, 0.3, 85,   3,* 20, 3,  5.6,⑤⑦⑤
 4,10,Ｇメイショウテンカイ, 54,鷹野宏, 0.7, 57,  -6,*  5, 6, 21.2, ⑫⑪, 4, 2, オンワｰドホｰプ,,岩崎祐,196.9,,,,14,163.5,⑤④④, 4, 6,Ｈエリンコｰト, 57,四位洋, 0.6, 65,  -9,  14, 4, 23.6, ⑤⑤, 4, 8,Ａソリタリｰキング, 88,福永祐, 0.3, 87,   3,* 21, 2,  4.0,⑥⑧⑧
 5,13,Ｋマンテンリュｰマ, 43,佐久間, 0.7, 60,   1,  -1, 9, 45.7, ⑧⑧, 5, 4, アイアングリｰン,,林満明,197.4,,,, 3,  5.4,③③③, 5,12,Ｆエｰティｰランボｰ, 62,国分恭, 0.7, 61,* -7,   9, 7, 43.2, ②②, 5,11,Ｅヒラボクキング, 85,藤岡佑, 0.5, 84,   4,  16, 4,  6.1,④④④
 6, 3,Ｂメロｰト, 65,幸英明, 0.8, 60,   4,  -5, 2,  2.5, ④④, 6, 8, ヒカリアライブ,,黒岩悠,198.0,,,, 4,  5.9,②②②, 6, 3,Ｊボストンエンペラｰ, 55,幸英明, 0.9, 62, -13,  14, 9,104.4, ⑧⑨, 6, 5,Ｆハｰドシｰキング, 84,浜中俊, 0.6, 83,   3,  18,10,126.8,⑧⑥⑦
 7, 7,Ｅユウキマリアッチ, 58,国分恭, 1.1, 57,   3,  -7, 4, 11.9, ⑥⑥, 7, 9, シャイニｰブラック,,熊沢重,198.3,,,,11, 37.0,⑫⑫⑫, 7, 8,Ｄアルトゥバン, 64,和田竜, 1.0, 61, -13,  13, 6, 37.8, ⑨⑩, 7, 4,Ｌダノンエリモトップ, 78,岡部誠, 0.9, 79,*  4,  11, 8, 46.2,②②②
 8,14,Ｍタマモルｰキｰ, 40,国分優, 1.4, 51,  -5,  -2,12,198.0, ⑪⑩, 8,12, メイケイオｰシャン,,白浜雄,198.6,,,, 8, 18.9,⑦⑩⑩, 8, 4,Ｉドラゴンライズ, 56,岩田康, 1.1, 61, -17,  17, 5, 31.2, ⑪⑪, 8, 1,Ｂメメビｰナス, 88,デムｰ, 0.9, 79,   1,  18, 1,  2.6,⑪⑩⑩
