11年 5月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二王子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂクォリティシｰズン, 74,中舘英,, 69,   2,*  6, 1,  1.5, ⑦⑦, 1,10,Ａヒカルマイデビュｰ, 60,中舘英,, 64,*-16,  11, 2,  5.0,②②②, 1, 3,Ａマイネフェリックス, 73,丹内祐,, 72,*  4,   3, 1,  2.7,①①①, 1, 7,Ｃアドマイヤコスモス, 71,上村洋,, 91,  -3,* 26, 3,  4.1, ⑦⑦
 2,14,Ａラベンダｰカラｰ, 75,藤岡康, 0.2, 68,   4,*  3, 2,  4.7, ④②, 2, 4,Ｄテｰオｰゼウス, 56,藤岡康, 0.1, 64, -17,  13, 3,  5.8,④④④, 2,10,Ｆペパｰミントラヴ, 69,丸田恭, 0.7, 65,  -2,*  8, 8, 23.4,⑭⑬⑬, 2,10,Ａツルミプラチナム, 78,柴原央, 0.7, 80,  -2,  12, 2,  4.0, ④④
 3, 7,Ｉテルユｰホワット, 56,津村明, 0.7, 62,   0,   2, 6, 37.5, ⑨⑨, 3,15,Ｂカズノトウショウ, 58,江田照, 0.1, 65, -16,  15, 1,  2.1,⑤⑥⑥, 3, 4,Ｅミリアム, 69,松山弘, 0.7, 68,  -1,*  8, 4,  9.8,⑫⑫⑩, 3, 6,Ｆアスカクリチャン, 69,丸山元, 0.8, 78,  -3,  12, 1,  2.8, ⑤⑤
 4, 6,Ｈトｰセンスタッフ, 56,小野寺, 0.8, 64,*  6,  -5, 5, 27.5, ①①, 4, 2,Ｇオｰビｰキング, 50,西村太, 0.2, 67, -20,* 20, 9, 70.7,⑬⑨⑩, 4, 2,Ｉフロｰラルウインド, 67,村田一, 1.3, 63,   0,   1,13,103.4,⑨⑩⑨, 4,11,Ｂシャイニｰブレｰヴ, 74,高倉稜, 0.8, 84,  -7,* 21, 4,  9.1, ⑪⑪
 5, 2,Ｃレッツマンボウ, 63,柴山雄, 0.8, 60,   1,   0, 3,  6.6, ⑧⑧, 5,14,Ｍドルフィンキック, 42,丹内祐, 0.4, 60,*-15,   7,10, 92.0,③③③, 5,11,Ｊマドモアゼルノン, 67,中谷雄, 1.3, 62,   3,  -5, 9, 27.2,④④②, 5, 9,Ｄケイバズキ, 71,丸田恭, 0.9, 80,  -4,  16, 7, 16.7, ⑧⑧
 6,11,Ｅハロｰタマ, 59,田辺裕, 1.3, 57,   3,  -6, 4, 21.9, ⑥⑥, 6, 5,Ｆダｰクラム, 52,津村明, 0.5, 57, -17,   7, 8, 49.6,⑥⑤⑤, 6, 1,Ｋクレｰンズラヴァｰ, 66,丸山元, 1.4, 61,   2,  -3, 5, 10.7,⑥⑦⑥, 6, 8,Ｅキャニオンブラウン, 70,松田大, 1.6, 71,  -5,   5, 6, 10.8, ⑨⑨
 7, 8,Ｊアラマサアフリｰト, 52,勝浦正, 1.8, 54,   4, -11,12,118.7, ③④, 7, 9,Ｉマイダルタニアン, 47,高倉稜, 0.5, 63, -19,  15, 5, 13.4,⑪⑪⑨, 7,15,Ｌバイブレイションズ, 66,中舘英, 1.6, 59,*  3,  -8,10, 37.2,⑤③④, 7, 1,Ｇヴィジレ, 66,武幸四, 1.6, 64,*  1,  -7, 9, 55.4, ①①
 8, 5,Ｍディル, 43,西田雄, 2.6, 44,  -3, -12,15,554.3, ⑪⑪, 8,12,Ｃユウタｰチェイサｰ, 57,川須栄, 0.7, 58, -18,   9, 7, 17.0,⑨⑧⑧, 8, 9,Ｍピンクデｰジｰ, 62,宮崎北, 1.6, 57,   1,  -3,15,455.1,⑪⑧⑧, 8, 5,Ｊブラックゼット, 60,松山弘, 1.6, 67,  -2,  -2, 5, 10.1, ②②
