11年 9月19日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月19日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄカイシュウタビビト, 44,丸山元,, 45,*-18,   1, 1,  1.8,①①①, 1, 9,Ａノヴェッロ, 69,丸山元,, 67,   4,*  3, 4,  4.9,③⑥⑥, 1, 9,Ａカスガ, 74,池添謙,, 72,   1,* 10, 1,  1.8,⑧⑦④, 1, 7,Ｇダノンヒデキ, 75,藤田伸,, 85,   5,* 15, 3, 11.8,⑩⑩⑩
 2, 1,Ｃパッシフロｰラ, 45,池添謙, 0.2, 46, -20,*  3, 3,  4.7,④③③, 2, 7,Ｅチェリッシュライン, 56,柴原央, 0.0, 68,*  5,   0, 5, 16.0,⑦④③, 2, 5,Ｂデルマプロティナ, 71,竹之下, 0.7, 67,   2,   2, 2,  5.0,⑦⑤③, 2, 9,Ｄイグゼキュティヴ, 77,丹内祐, 0.1, 82,   9,   5, 6, 15.8,③③③
 3, 4,Ｆケイツｰクロｰト, 42,丸田恭, 0.2, 45, -21,*  4, 8, 81.9,⑤④④, 3,14,Ｋキンジシ, 52,川田将, 0.2, 65,*  5,  -5, 7, 20.3,②②①, 3, 2,Ｄホワイトアルバム, 65,小林徹, 0.8, 67,*  6,  -5, 5, 11.7,④①①, 3, 5,Ａアマファソン, 81,横山典, 0.1, 82,   6,* 11, 1,  1.7,⑨⑨⑨
 4, 2,Ｅヤマニンプレッジ, 43,柴山雄, 0.3, 43,*-19,  -1, 5, 22.8,②②②, 4, 3,Ｊメイショウオオワシ, 53,小林徹, 0.3, 65,   1,*  4, 6, 19.5,⑭⑩⑧, 4, 8,Ｊアｰトオブダンサｰ, 53,川島信, 1.5, 62,   0,   2,10,138.0,⑩⑩⑧, 4, 2,Ｂグレイスフルソング, 79,丸田恭, 0.5, 78,   6,   5, 7, 18.1,⑧⑧⑧
 5, 7,Ｂマイネルエクレウス, 46,丹内祐, 0.5, 43, -23,*  2, 2,  3.5,⑧⑥⑥, 5,13,Ｃレスタンノｰル, 63,横山典, 0.5, 62,   0,*  3, 3,  4.3,⑨⑪⑫, 5, 1,Ｃバイナリｰスタｰ, 69,吉田豊, 1.7, 57,   3,  -7, 3,  7.4,③④②, 5, 6,Ｊアルマトゥｰラ, 73,柴山雄, 0.7, 76,   9,  -2, 4, 12.1,⑤⑤④
 6, 5,Ｇナムラセレナｰデ, 37,川田将, 0.9, 37, -20,  -6, 6, 27.5,③⑤⑤, 6,11,Ｄアドマイヤカヤｰジ, 62,上村洋, 0.6, 60,*  5, -10, 1,  3.5,④③②, 6, 4,Ｉサントワマミｰ, 63,平野優, 2.4, 54,   1, -11, 9, 49.6,⑥⑥⑦, 6, 4,Ｅメイショウスズラン, 76,池添謙, 0.8, 74,* 10,  -6, 8, 24.3,②②②
 7, 8,Ｈマヤノポルカ, 36,松田大, 0.9, 39, -25,   0, 7, 33.5,⑦⑧⑧, 7, 4,Ｈサクラプロミネンス, 54,秋山真, 0.7, 61,   0,   0, 9, 37.4,⑫⑫⑪, 7, 3,Ｆロｰゼウィｰク, 64,丸山元, 2.7, 53,*  5, -18, 6, 14.7,①②⑤, 7, 8,Ｆプロヴィデンス, 75,勝浦正, 1.0, 71,   7,  -5, 5, 14.1,⑥⑦⑤
 8, 6,Ａシルクメガスタｰ, 48,吉田隼, 1.2, 34, -23,  -6, 4, 17.3,⑥⑦⑦, 8, 6,Ｌジェイケイタイムズ, 52,横山和, 0.9, 58,   1,  -6,10, 43.1,⑧⑦⑨, 8,10,Ｅタマモコメット, 65,宮崎北, 3.4, 45,   4, -23, 7, 32.3,②③⑥, 8, 3,Ｃアバウト, 79,芹沢純, 1.3, 68,* 11, -16, 2,  4.0,①①①
