11年 7月 2日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月 2日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丹後半島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａシゲルスダチ, 65,小牧太,, 59,*  6, -19, 4,  4.6, ②②, 1,16,Ｉニホンピロエラリｰ, 55,酒井学,, 71,*  6,   1, 6, 15.0, ①①, 1, 4,Ｅナムラオウドウ, 64,北村友,, 74,   3,*  9, 5, 11.3, ⑮⑫, 1,13,Ｈピｰスピｰス, 77,ピンナ,, 88,   8,* 13, 8, 43.4, ⑪⑨
 2, 3,Ｅフランベルジェ, 59,福永祐, 0.2, 55,   1,*-17, 3,  4.1, ④③, 2, 4,Ｆペガサスプリンス, 56,浜中俊, 0.2, 70,   3,*  4, 1,  2.4, ⑥⑥, 2,16,Ａサクラアルディｰト, 76,川田将, 0.0, 74,   5,*  2, 1,  2.5, ⑪⑨, 2,11,Ｂドリｰムクラフト, 86,佐藤哲, 0.1, 87,   6,* 15, 3,  8.0, ⑫⑩
 3, 2,Ｇマイネルアクロス, 43,幸英明, 0.4, 53,   0,*-17, 6, 15.5, ⑥⑥, 3, 1, デザｰトオアシス,---,福永祐, 0.8, 61,  -6,*  8, 3,  5.6, ⑬⑫, 3,14,Ｊエスカナｰル, 53,和田竜, 0.7, 65,*  8, -14, 6, 12.6, ⑥③, 3, 1,Ｅティアップゴｰルド, 78,浜中俊, 0.4, 84,   9,   6, 5, 12.1, ④⑧
 4, 8,Ｄエｰシンブランシュ, 63,川田将, 0.6, 52,   3, -23, 5,  7.1, ⑤⑤, 4, 3,Ｅウエリントンシチｰ, 56,佐藤哲, 0.9, 62,  -1,   3, 4, 10.2, ⑪⑨, 4, 2,Ｄフクラムサイフ, 66,浜中俊, 0.8, 64,*  8, -15, 2,  5.8, ③④, 4, 7,Ｄナリタスレンダｰ, 78,田中健, 0.4, 82,  10,   3, 7, 29.3, ⑨⑥
 5, 7,Ｆユキノベアハｰト, 49,国分優, 0.6, 49,  -4,*-16, 7, 41.3, ⑧⑦, 5,15,Ｂシャドウトルネｰド, 60,川須栄, 1.2, 60,  -1,   0, 7, 19.2, ⑩⑩, 5,17, モエレプレミア,---,佐藤哲, 0.8, 63,   6, -11,10, 37.0, ⑨⑧, 5,10,Ｃセイクリッドセブン, 82,小牧太, 0.5, 82,   1,* 18, 2,  5.4, ⑭⑭
 6, 5,Ｂカシノラピス, 64,野元昭, 0.7, 50,   2, -25, 1,  3.4, ③④, 6, 8,Ｌシゲルヤクイン, 49,藤岡康, 1.2, 62,*  6,  -8,11, 46.0, ③②, 6, 9, チェリッシュライン,---,柴原央, 0.9, 63,   7, -13,13,197.3, ⑦⑦, 6,12,Ａマジンプロスパｰ, 90,北村友, 0.5, 79,* 12,  -1, 1,  1.6, ⑦④
 7, 6,Ｃシルクティソナ, 63,佐藤哲, 0.8, 49,*  6, -32, 2,  4.1, ①①, 7,14,Ａスナｰクワイルド, 62,熊沢重, 1.4, 60,*  4,  -9, 2,  4.6, ④③, 7, 1,Ｎゴッドオブロマンス, 38,ピンナ, 1.3, 60,   1,  -7,11, 99.2, ⑰⑯, 7, 5,Ｊアグネスサクラ, 72,川田将, 0.6, 81,* 12,  -3, 6, 28.2, ⑥③
 8, 4,Ｈヒミノオオワシ, 34,和田竜, 1.0, 45,  -6, -19, 9, 97.8, ⑨⑨, 8,13,Ｃリアリｰザワｰルド, 58,国分優, 1.5, 58,   1,  -5, 9, 38.9, ⑨⑧, 8, 6, トｰホウストロング,---,鮫島良, 1.3, 60,   2,  -9, 8, 27.4, ⑭⑭, 8,14,Ｆシルクタｰンベリｰ, 77,安藤光, 0.8, 78,   2,  10,10, 94.6, ⑬⑬
