11年 5月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早苗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄツィンクルブｰケ, 51,藤岡康,, 48,*  1,  -8, 3, 16.7,⑦①①, 1, 1,Ｇナリタキャッツアイ, 52,松山弘,, 59,*  4,  -3, 3,  6.2, ①①, 1, 1,Ｅメイショウラグｰナ, 70,武幸四,, 75,*  2,* 17, 2,  4.9,①①①, 1,11,Ａマイネルメダリスト, 80,丹内祐,, 70,*  0,   4, 1,  1.7,⑦⑤④
 2, 8,Ｂコスモアイボリｰ, 62,丹内祐, 0.0, 52,  -2,  -4, 2,  4.2,⑥⑤④, 2,14,Ｂレッツマンボウ, 64,柴山雄, 0.2, 56,   1,  -2, 2,  3.7, ⑥④, 2, 9,Ｃユングフラウヨシコ, 71,平野優, 1.0, 66,*  2,   9, 5,  9.2,⑭②②, 2,13,Ｂトウシンイｰグル, 73,吉田隼, 0.1, 69,  -1,*  6, 3,  7.3,⑩⑧⑥
 3, 4,Ａクリアザウェイ, 62,丸田恭, 0.0, 46,  -1,  -6, 1,  1.3,③④③, 3,11,Ｅビコｰディアナ, 56,古川吉, 0.2, 57,   1,  -1, 7, 65.5, ⑦⑦, 3,13,Ａエルメスグリｰン, 76,川須栄, 1.1, 66,  -1,  12, 1,  2.6,③⑥⑤, 3, 9,Ｌダノンマックイン, 59,上村洋, 0.2, 69,  -3,*  8, 4, 11.9,⑪⑪⑨
 4,11,Ｆティボリタンポポ, 49,平野優, 0.3, 47,  -7,*  3, 7, 70.9,⑪⑪⑪, 4, 5,Ａケｰジｰハヤテ, 67,勝浦正, 0.3, 55,   1,  -3, 1,  1.9, ⑤⑥, 4, 5,Ｄミリアム, 71,松山弘, 1.4, 68,  -3,* 15, 7, 15.2,⑧⑫⑫, 4,12,Ｊヒラボクビクトリｰ, 60,川須栄, 0.6, 63,*  2,  -9, 5, 14.1,①①①
 5, 6,Ｉメイショウフジッコ, 40,長谷川, 0.4, 47,  -3,  -4, 8, 89.9,⑨⑦⑦, 5, 9,Ｃメイショウクロシオ, 62,武幸四, 0.4, 55,  -3,   0, 4,  6.4, ⑨⑧, 5, 8,Ｆペパｰミントラヴ, 70,丸田恭, 1.8, 61,  -2,   9, 3,  7.8,⑫⑪⑩, 5, 3,Ｍスズカルｰセント, 52,藤岡康, 0.8, 64,  -4,   3, 8, 24.5,⑬⑬⑬
 6, 9,Ｊビビアンスマイル, 40,太宰啓, 0.5, 44,*  0, -12, 5, 21.8,④②②, 6,13,Ｌウォｰタｰメジャｰ, 39,川須栄, 0.6, 53,*  3,  -7, 6, 47.4, ③③, 6,14,Ｎティボリペガサス, 62,高倉稜, 1.9, 60,   0,   4,13,103.8,④⑤⑥, 6, 2,Ｄエｰシンミラｰジュ, 68,太宰啓, 0.8, 63,  -3,   0, 6, 22.4,⑧⑨⑪
 7, 7,Ｈユメハナ, 48,松山弘, 0.7, 46,  -4,  -5, 9,101.0,⑧⑧⑧, 7,10,Ｄシャドｰボｰル, 59,藤岡康, 0.6, 54,*  3,  -7, 5, 14.9, ②②, 7, 4,Ｊドラゴンソニック, 66,黛弘人, 2.0, 64,  -4,  13, 8, 19.8,⑬⑭⑭, 7,10,Ｈフェアｰプライド, 61,丸山元, 1.0, 61,  -4,   1, 2,  5.5,⑫⑫⑫
 8, 1,Ｅセｰヌパリジャンヌ, 50,古川吉, 0.9, 41,  -1, -14, 4, 17.2,①③⑤, 8, 4, ニュｰロマンサｰ,---,伊藤工, 0.7, 51,  -7,   0,12,249.7, ⑩⑩, 8,12,Ｈウインク, 69,丸山元, 2.1, 58,*  1,   0, 6, 11.9,⑩③③, 8, 7,Ｇレベルスピリット, 61,勝浦正, 1.3, 56,  -2,  -8,11,222.8,⑨⑩⑩
