11年10月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝2880m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鎌ｹ谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｉミラクルピッチ, 37,田中勝,, 61,   7,* -1, 8, 57.9, ③③, 1,10, サｰストンムｰン,,浜野谷,,,,, 1,  2.6,③①①, 1,14,Ｂトウカイライフ, 74,田辺裕,, 71,   0,* 12, 2,  4.3,⑬⑬⑪, 1, 4,Ｄフェデラリスト, 79,田中勝,, 90,   1,* 22, 2,  4.9,⑤⑥⑤
 2, 3,Ａヨシｰルプリンセス, 58,石橋脩, 0.2, 58,   6,* -3, 1,  1.5, ⑤④, 2,12, ブルｰデザフィｰオ,,大庭和,195.7,,,, 9, 35.7,①②②, 2,12,Ａヤマニンパソドブル, 77,吉田豊, 0.2, 66,   4,   3, 1,  2.5,④④③, 2,10,Ｃトランスワｰプ, 79,大野拓, 0.2, 88,*  2,  17, 3,  6.5,④③③
 3, 2,Ｅフリｰダムシチｰ, 46,二本柳, 0.2, 56,   1,*  3, 7, 32.6, ⑨⑧, 3, 7, タイキデイブレイク,,高野和,195.9,,,, 3,  5.7,⑤④③, 3,11,Ｆチャレンジフラッグ, 69,後藤浩, 0.3, 66,   3,   3, 6, 15.4,⑨⑤⑦, 3, 2,Ａソウルフルヴォイス, 83,北村宏, 0.5, 87,   0,* 20, 1,  2.2,⑦⑧⑦
 4, 6,Ｂロｰドナイト, 54,後藤浩, 0.4, 57,* 10,  -9, 4,  9.8, ②②, 4, 6, ブルｰシｰズン,,宗像徹,196.0,,,, 8, 34.0,⑥⑦⑥, 4, 9,Ｍフジチャン, 59,大野拓, 0.3, 64,*  5,  -1,11, 47.9,②②②, 4, 6,Ｆバウンシングライト, 75,中舘英, 1.1, 77,*  2,   5, 9, 60.5,⑨④⑥
 5, 8,Ｆトウショウコマンド, 46,田辺裕, 0.7, 50,   4,  -8, 2,  6.3, ⑥⑤, 5, 5, フジマサエンパイア,,石神深,196.6,,,,13, 58.3,⑦⑥⑤, 5,10,Ｉアフィントン, 64,田中勝, 0.4, 68,   1,   6, 9, 23.3,⑩⑩⑧, 5, 5,Ｋストｰンヘンジ, 69,福永祐, 1.2, 80,  -2,  14, 4,  8.1,⑩⑩⑨
 6,16,Ｄヴァップ, 47,柴田大, 0.8, 48,   2,  -6, 9, 89.2, ⑩⑨, 6,11, ノｰブルエｰス,,池崎祐,196.7,,,,12, 47.7,⑫⑨⑨, 6, 3,Ｃクレｰンズラヴァｰ, 72,石橋脩, 0.5, 68,  -2,* 11, 7, 16.6,⑮⑮⑮, 6, 1,Ｈマルタカシクレノン, 74,石橋脩, 1.2, 75,*  2,   2, 5, 12.5,②②②
 7, 5,Ｇグラントリノ, 41,吉田豊, 0.8, 53,* 11, -16, 5, 12.2, ①①, 7, 1, ハンドクラッピング,,鈴木慶,197.9,,,,11, 42.0,⑪⑫⑩, 7, 6,Ｋオペラフォンテン, 64,北村宏, 0.6, 65,   2,   1, 5, 15.1,⑧⑦⑥, 7, 8,Ｇバイタルスタイル, 75,江田照, 1.4, 71,*  4,  -2, 7, 15.1,①①①
 8,11,Ｋブリッサ, 32,武士沢, 1.1, 42,  -2,  -7,15,541.9, ⑪⑫, 8, 4, ビルトミｰアップ,,五十嵐,198.2,,,, 2,  3.9,②③④, 8, 4,Ｇタマノリテラシｰ, 68,江田照, 0.6, 65,   2,   1,10, 41.4,⑤⑥⑤, 8, 3,Ｂカピタｰノ, 79,木幡初, 1.5, 72,   1,   1,11, 79.8,③⑤④
 9, 9,Ｈコスモダンケシェン, 39,丹内祐, 1.1, 45,   4, -13, 3,  8.5, ⑦⑦, 9, 3, サトノハピネス,,横山義,198.9,,,, 6, 24.6,⑨⑧⑧, 9, 2,Ｅツクバオトメ, 69,福永祐, 0.6, 68,  -2,* 10, 3,  7.4,⑭⑭⑭, 9, 9,Ｅラｰクキャロル, 78,吉田豊, 1.6, 75,  -3,  10, 6, 13.3,⑪⑪⑩
10,12,Ｃサンデｰダンサｰ, 48,西田雄, 1.3, 40,  -4,  -8,10,165.4, ⑬⑪,10, 9, オｰダｰアゲン,,穂苅寿,198.9,,,, 5, 16.1,④⑤⑦,10,15,Ｄオルレアンノオトメ, 70,武士沢, 0.7, 65,   1,   4, 8, 17.1,⑫⑪⑩,10, 7,Ｉヤマニンミミック, 73,後藤浩, 2.1, 65,   1,  -6, 8, 22.6,⑥⑦⑧
