11年 9月11日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月11日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,おおぞら特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅマイネルエトランゼ, 42,柴山雄,, 50,* -2,  -7, 3,  4.7,②②②, 1, 4,Ａシェアｰスマイル, 70,丸山元,, 56,  -7,*  6, 1,  1.8, ⑧⑦, 1, 2,Ｂアルマトゥｰラ, 72,柴山雄,, 72,  11,   6, 3,  7.4,⑥⑤③, 1, 8,Ａレジェンドブルｰ, 76,藤岡佑,, 88,  -2,  20, 1,  2.5,③③③
 2, 2,Ｄジョウノメジャｰ, 42,吉田稔, 0.0, 52,  -3,* -4, 6, 17.5,⑨⑧④, 2,10, ヘヴンズパワｰ,---,桑村真, 0.3, 57,* 12,  -8, 5, 15.8, ②②, 2, 3,Ｊトｰセンインディ, 60,吉田隼, 0.0, 72,  11,   7, 6, 13.0,⑦⑥⑥, 2, 2,Ｅクラックシｰド, 71,三浦皇, 0.2, 87,  -3,  20, 2,  2.6,④⑥④
 3,10,Ａサウンドアフリｰト, 64,佐々木, 0.2, 51,* -2,  -9, 2,  2.8,⑥③③, 3,11,Ｅロｰレルボルケｰノ, 54,秋山真, 0.3, 55,   4,  -4, 4,  9.7, ⑥③, 3, 7,Ｅショウナンカライス, 70,秋山真, 0.1, 69,  12,   1, 1,  3.1,④③②, 3, 4,Ｄルナフライト, 71,古川吉, 0.2, 85,  -5,* 23, 6, 20.4,⑤⑦⑧
 4, 4,Ｊタイセイスティング, 28,勝浦正, 0.3, 49,* -1, -11, 5, 16.3,①①①, 4, 8, ロクイチスマイル,---,服部茂, 0.3, 52, -16,* 10, 9, 72.8, ⑫⑨, 4,14,Ｈカルトマリｰヌ, 68,吉田稔, 0.2, 69,  10,   7, 4,  7.8,⑧⑧⑧, 4, 3,Ｆステラリｰド, 68,四位洋, 0.4, 83,  -5,  19, 3,  6.5,⑧⑧⑦
 5, 1,Ｂマイネルハｰシェル, 50,津村明, 0.8, 47,  -6,* -5, 9, 52.6,⑪⑩⑦, 5, 7,Ｄパチャママ, 57,四位洋, 0.7, 51,   4,  -7, 3,  6.7, ⑤⑥, 5,12,Ｌフロｰリストライフ, 56,竹之下, 0.5, 67,   9,   5,12, 94.7,⑩⑩⑪, 5, 1,Ｃウアジェト, 75,丸山元, 0.5, 74,*  0,   6, 4,  6.6,①①①
 6, 6,Ｆヒミノオオワシ, 42,松田大, 1.4, 45,  -3, -17, 4, 14.0,⑤⑤⑤, 6,12,Ｆエイコオハヤテ, 51,吉田隼, 0.7, 52,   7,  -9, 6, 15.8, ④⑤, 6, 6,Ｍプリティ, 55,服部茂, 0.5, 70,   1,* 22,13,124.7,⑭⑭⑬, 6, 6,Ｇスナｰクチェリｰ, 67,川島信, 0.9, 73,* -1,   3, 7, 51.8,②②②
 7, 7,Ｃパレストレパング, 43,村田一, 1.8, 39,  -3, -20,10,122.4,⑧⑦⑥, 7, 2, グンジョウ,---,五十嵐, 0.8, 49,  -6,  -1,11,128.7, ⑦⑧, 7,13,Ｄマイネルアウストロ, 70,五十嵐, 0.5, 67,   7,   7, 5,  9.6,⑪⑪⑩, 7, 7,Ｂヒラボクビジン, 76,勝浦正, 0.9, 73,  -4,  10, 5, 13.2,⑦⑤⑥
 8, 3,Ｉマスタｰズキング, 37,吉田隼, 3.4, 31,  -3, -33, 1,  2.6,④④⑧, 8, 6, エスプレッソ,---,斎藤雄, 1.0, 46, -18,*  5,10, 90.7, ⑪⑫, 8,10,Ｃカネスアドラシオン, 71,丸田恭, 0.7, 62,  12,  -7, 9, 15.2,③④④, 8, 5,Ｈマルサンアップル, 57,小林徹, 1.7, 64,  -4,  -1, 8,102.6,⑥④⑤
