11年12月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,香取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇグラスメジャｰ, 46,柴田善,, 65,   1,*  4, 1,  4.2, ⑤⑤, 1,13, トｰセンオｰパス,,横山義,,,,, 1,  2.6,③③②, 1, 9, ジョングルｰル,---,三浦皇,, 47,*-34,  11, 2,  3.1,②②②, 0,13,Ｌヒラボクマジック, 77,横山典, 0.0, 79,   9,* 16, 3,  4.9,⑯⑬⑭
 2,10,Ｆオオタニジムチョウ, 47,竹之下, 0.7, 57,  -2,*  1, 8, 15.7, ⑩⑩, 2, 2, クリスタルウイング,,五十嵐,197.9,,,, 2,  3.9,②②①, 2, 2, ニホンノチカラ,---,横山典, 0.3, 42, -36,  10, 1,  1.8,③④④, 1, 7,Ｂセイリオス, 85,北村宏,, 79,  12,  11, 2,  4.2,④④④
 3, 7,Ｃキングビｰト, 50,北村宏, 1.3, 54,*  3,  -9, 5,  8.6, ②②, 3, 3, スｰパｰティチャｰ,,穂苅寿,198.3,,,, 6, 12.6,⑧⑦⑥, 3, 3, トウカイクオｰレ,---,柴田善, 0.4, 43, -36,   9, 6, 20.5,④③③, 2,15,Ｄマルブツビアン, 83,田中勝, 0.0, 79,  11,* 13, 4,  5.6,⑥⑥⑥
 4, 2,Ｋドリｰムリｰグ, 38,三浦皇, 1.3, 53,   1,  -8, 6,  9.4, ④④, 4,14, タイキデイブレイク,,高野和,198.5,,,, 5, 10.6,④⑤⑤, 4,10, クロスカップリング,---,蛯名正, 0.5, 44, -37,  10, 3,  7.4,⑤⑤⑤, 3,16,Ｃタケショウカヅチ, 84,和田竜, 0.7, 74,* 14,   2, 9, 29.9,①①①
 5,11,Ａフロｰリア, 55,和田竜, 1.5, 53,*  2, -10, 4,  6.8, ③③, 5, 9, ホｰカｰシｰホｰク,,金子光,198.5,,,, 3,  5.4,①①③, 5, 5, ネｰムオブザゲｰム,---,木幡初, 0.6, 41, -37,   9, 5, 17.4,⑥⑥⑥, 4,14,Ｆアイノカゼ, 81,柴田大, 0.7, 75,  11,   7,11, 34.9,⑨⑨⑬
 6, 6,Ｉフロイントシャフト, 44,田辺裕, 1.6, 52,*  4, -13, 2,  4.7, ①①, 6,12, フジマサエンパイア,,石神深,198.8,,,, 7, 37.1,⑤④④, 6, 8, ハンサムボｰイ,---,北村宏, 0.6, 45, -38,  13, 7, 40.3,⑨⑧⑧, 5, 6,Ｋジュモｰ, 78,武士沢, 0.8, 74,  10,   9,15,205.0,⑩⑩⑤
 7, 4,Ｄコウギョウグリン, 48,小林淳, 1.7, 49,  -2,  -8,10, 25.7, ⑨⑪, 7, 8, セイエイ,,蓑島靖,199.1,,,,12,200.5,⑥⑥⑦, 7, 7, ブリガンディン,---,田辺裕, 0.7, 42, -39,  11, 4, 13.4,⑦⑦⑦, 6, 3,Ｊアプロｰズヒｰロｰ, 78,石神深, 0.8, 75,   8,* 13,14,204.7,⑮⑮⑫
 8,14,Ｂキタルファ, 53,柴田大, 2.2, 46,  -2, -12, 7, 11.2, ⑪⑫, 8, 5, ジャンピンジャック,,平沢健,199.5,,,,13,201.2,⑪⑪⑨, 8, 6, ロｰズジュリエット,---,武士沢, 0.9, 46, -43,* 17,10,137.5,⑩⑩⑨, 7, 1,Ｅエイブルブラッド, 81,柴田善, 0.9, 74,  10,   7, 5, 12.9,⑪⑪⑩
