11年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａチェリｰメドゥｰサ, 68,田辺裕,, 60,  -2,*  4, 2,  4.5, ③③, 1, 9,Ａランドフォｰル, 65,ベリｰ,, 60,*  2,*  4, 2,  3.2, ②②, 1, 7,Ａメジャｰアスリｰト, 75,安藤勝,, 71,  10,  -4, 1,  1.6, ③③, 1, 3,Ａインペリアルマｰチ, 93,メンデ,, 83,   8,  11, 1,  1.4, ③④
 2, 7,Ｃエンドレスノット, 61,丸山元, 0.0, 59,*  1,  -1, 1,  1.8, ①①, 2, 3,Ｃサイレントキラｰ, 59,嶋田純, 1.0, 54,  -6,*  8, 8, 48.7, ⑬⑫, 2, 3,Ｃヴィンテｰジイヤｰ, 69,田辺裕, 0.2, 68,   6,* -1, 2,  6.3, ⑦⑦, 2, 9,Ｆキングパｰフェクト, 84,横山典, 0.0, 85,   4,* 17, 2,  6.0, ⑪⑫
 3,11,Ｅサンキュｰアスク, 53,後藤浩, 0.2, 57,* -1,  -2, 4, 10.0, ②②, 3, 8,Ｂニシノボレロ, 65,横山典, 1.3, 50,  -1,  -4, 1,  1.6, ⑤⑤, 3, 1,Ｂタニセンジャッキｰ, 71,松岡正, 0.2, 71,* 11,  -8, 3,  6.8, ①①, 3, 2,Ｃブラッシュアップ, 85,田中勝, 0.1, 83,   4,* 16, 5, 24.2, ⑬⑪
 4, 5,Ｆミスワｰルド, 53,北村宏, 0.5, 55,  -5,   1, 6, 21.2, ⑦⑧, 4,12,Ｌセイカフォルトゥナ, 26,石橋脩, 1.8, 46,  -1,  -9,11,289.3, ⑥⑥, 4, 4,Ｅエｰペックス, 65,後藤浩, 0.8, 63,   4,  -4, 8, 44.0, ⑩⑧, 4, 1,Ｉダンシングマオ, 80,北村宏, 0.2, 82,   6,  12, 4, 13.8, ⑨⑦
 5, 9,Ｂガンセ, 62,蛯名正, 0.6, 54,* -1,  -6, 3,  6.0, ⑧④, 5, 4,Ｆレジェンドスズラン, 46,田辺裕, 1.8, 46,  -3,  -6, 9, 86.0, ⑧⑦, 5, 8,Ｄシルクブルックリン, 69,柴田善, 1.2, 60,   0,* -2, 4,  8.5, ⑪⑪, 5, 8,Ｈアイディンパワｰ, 81,吉田豊, 0.3, 80,   6,  11,10, 92.2, ⑩⑧
 6, 6,Ｊケイツｰクロｰト, 43,嘉藤貴, 0.7, 53,  -3,  -3,10, 61.5, ④⑦, 6,13,Ｍハヤブサフィｰバｰ, 23,柴田善, 1.9, 47,  -4,  -4, 5, 25.7, ⑫⑪, 6,10,Ｈサハラブレイヴ, 62,蛯名正, 1.2, 61,   9, -13, 7, 30.2, ④⑤, 6, 6,Ｅギンザナイト, 84,三浦皇, 0.6, 79,   8,   7, 8, 45.1, ④⑤
 7, 2,Ｉラトマティｰナ, 47,嶋田純, 0.7, 53,  -5,  -2, 8, 38.1, ⑥⑥, 7,14,Ｋダイキチパワｰ, 35,田中勝, 2.1, 44,  -2,  -9,10, 89.1, ⑦⑧, 7, 9,Ｊサンセルマン, 54,丸山元, 1.3, 61,   4,  -6, 9, 85.1, ⑧⑨, 7,14,Ｂトウショウカズン, 86,田辺裕, 0.6, 78,* 10,   3, 3,  7.2, ②②
 8, 8,Ｈトｰセンネフティス, 48,武士沢, 0.7, 53,  -6,   1, 9, 43.6, ⑩⑩, 8, 2,Ｇベルモントマリア, 45,後藤浩, 2.2, 41,*  2, -17, 7, 47.6, ①①, 8, 2,Ｆハタノアブソルｰト, 63,ベリｰ, 2.0, 55,   9, -19, 5, 19.0, ⑤④, 8,12,Ｇアンシャンレジｰム, 81,蛯名正, 1.5, 71,* 11,  -5, 7, 42.8, ①①
 9, 1,Ｇコスモリボン, 51,メンデ, 0.7, 52,  -3,  -4, 7, 26.6, ⑤⑤, 9, 1,Ｄコスモディクタット, 47,柴田大, 2.4, 46,   0, -14, 6, 27.8, ③③, 9, 6,Ｉリプレイスインディ, 60,江田照, 3.4, 45,* 11, -35,10,119.3, ②②, 9, 5,Ｌハイロｰラｰ, 78,丸山元, 1.5, 73,   2,   6,13,248.5, ⑭⑭
10, 4,Ｋアエロｰ, 28,柴田大, 1.2, 47,  -6,  -6,11,168.6, ⑨⑨,10,10,Ｈマイネフラッシュ, 44,蛯名正, 2.5, 41,   0, -17, 4, 22.7, ④④,10,11,Ｇフランベルジェ, 62,古川吉, 3.8, 39,   1, -26, 6, 24.1, ⑨⑩,10, 7,Ｄシゲルソウウン, 84,後藤浩, 1.8, 69,   6,  -1, 6, 34.4, ⑦⑩
11,10,Ｄトゥルｰマｰトル, 61,吉田豊, 1.4, 44,  -4, -10, 5, 16.8, ⑪⑪,11,11,Ｅエレクティオン, 47,丸山元, 2.9, 39,  -3, -15, 3, 10.8, ⑨⑨,11, 5,Ｋネコグンダン, 19,嶋田純, 3.9, 40,   6, -33,11,157.7, ⑥⑥,11,10,Ｋマイネルエルドラド, 78,武士沢, 2.0, 67,   6,  -3, 9, 60.9, ⑧⑨
,,,,,,,,,,,,12, 6,Ｎマヤノフィロソフィ, 14,古川吉, 3.0, 36,  -6, -10,14,434.0, ⑭⑬,,,,,,,,,,,,,12,13,Ｍアｰスリヴィング, 77,中谷雄, 2.4, 64,   8,  -9,14,250.2, ⑤⑥
,,,,,,,,,,,,13, 5,Ｉモリトスピア, 44,武士沢, 3.5, 34,  -4, -18,13,383.6, ⑩⑩,,,,,,,,,,,,,13, 4,Ｊジｰトップキセキ, 78,柴田善, 2.6, 63,   9, -11,12,147.0, ⑥③
,,,,,,,,,,,,14, 7,Ｊシェリフ, 36,江田照, 6.6, 15, -11, -34,12,359.8, ⑪⑭,,,,,,,,,,,,,14,11,Ｎドリｰムスカイラブ, 75,ベリｰ, 2.6, 63,   4,  -6,11,119.8, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
