11年 1月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾗｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,14,Ｌエｰブマンテン, 42,石橋脩, 2.1, 41, -14,  -1,16,353.0, ⑭⑮,12,11, トｰアアサギリ,---,後藤浩, 1.9, 35,*-11, -16,11, 87.7, ④④,12,15,Ｌフｰガフュｰグ, 62,三浦皇, 2.1, 66,   3,  -5,12, 67.9,⑮⑮⑮,12,10,Ｋセトノアンテウス, 78,北村宏, 0.8, 73,   8,  -3,11, 45.1, ⑦⑪
13, 7,Ｋイッキカセイ, 43,柴山雄, 2.2, 39, -12,  -4,15,346.3, ⑫⑫,13,15, ケｰジｰジャッカル,---,嘉藤貴, 2.5, 33, -25,  -6,13,157.8, ⑮⑭,13,13,Ｎメジロムｰア, 57,津村明, 2.9, 56,   7, -26,11, 62.7,⑭⑭⑭,13,13,Ｎニシノメイゲツ, 70,吉田豊, 0.9, 72,  -7,  10, 7, 17.5, ⑯⑯
14, 4,Ｇストロングレグナム, 53,吉田隼, 2.4, 40, -14,  -4, 7, 25.8, ⑬⑬,14, 7, タマモトロンボｰン,---,岩部純, 2.8, 27, -27, -10,16,240.8, ⑭⑯,14, 4,Ｉマツリダジャパン, 68,横山典, 3.8, 50,* 12, -55, 3,  5.0,②②②,14, 8,Ｏラッキｰバニヤン, 68,丸山元, 1.0, 70,   5,  -3,15,142.0, ⑩⑨
15,10,Ｏオｰガニックライフ, 34,大野拓, 2.9, 35,  -1, -19,12,252.9, ⑥⑦,15, 5, タイセイスキム,---,津村明, 3.0, 27,*-10, -26,14,178.7, ①①,15,14,Ｊトｰタルシｰオｰ, 67,田中勝, 3.9, 50,  10, -47,14,125.2,⑦⑩⑩,15,11,Ｆビｰチアイドル, 78,浜中俊, 1.0, 71,   9,  -7, 9, 23.9, ⑧⑦
16, 1,Ｐケイツｰソｰル, 28,江田照, 3.9, 26, -17, -14,13,258.5, ⑯⑯,16,12, トミケンサｰジュ,---,水口優, 3.9, 18, -25, -22,15,193.1, ⑬⑬,,,,,,,,,,,,,16, 9,Ｊアイアムマリリン, 78,松岡正, 1.1, 69,* 10,  -9, 3,  6.1, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:390円 複勝:15=140円 08=110円 16=260円 枠連:270円,,,,,,,,,,,,単勝:580円 複勝:01=180円 03=130円 09=250円 枠連:280円,,,,,,,,,,,,"単勝:750円 複勝:06=250円 03=410円 12=130円 枠連:3,460円",,,,,,,,,,,,"単勝:390円 複勝:06=160円 02=780円 03=230円 枠連:2,260円",,,,,,,,,,,
馬連:420円 ワイド:08-15=210円 15-16=600円 08-16=420円,,,,,,,,,,,,"馬連:560円 ワイド:01-03=270円 01-09=1,090円 03-09=490円",,,,,,,,,,,,"馬連:7,420円 ワイド:03-06=1,950円 06-12=530円 03-12=830円",,,,,,,,,,,,"馬連:12,060円 ワイド:02-06=2,320円 03-06=410円 02-03=2,670円",,,,,,,,,,,
"馬単:950円 3連複:1,330円 3連単:5,650円",,,,,,,,,,,,"馬単:1,480円 3連複:2,080円 3連単:11,230円",,,,,,,,,,,,"馬単:13,960円 3連複:5,150円 3連単:50,330円",,,,,,,,,,,,"馬単:17,740円 3連複:13,720円 3連単:103,090円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1200m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾆｭｰｲﾔｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄマイネロｰドナイト, 57,中谷雄,, 56,*  4,* -7, 3,  4.9,④③②, 1, 2,Ａアルマフロｰラ, 67,後藤浩,, 58,   0,   0, 1,  3.1,⑥⑥⑥, 1,15,Ｃエアティアｰモ, 82,後藤浩,, 88,* 10,* 16, 3,  5.6, ①①, 1, 2,Ｌコスモセンサｰ, 78,ベリｰ,, 85,* 21,   1, 3,  6.6,②②②
 2, 8,Ａルイｰズ, 63,吉田隼, 0.8, 54,  -2,* -2, 4, 10.1,⑫⑭⑫, 2, 7,Ｇコスモアンドリュｰ, 55,蛯名正, 0.2, 56,   0,  -4, 8, 43.9,⑤⑤⑤, 2,11,Ｂオクルス, 83,田中勝, 0.8, 83,*  9,  11, 1,  2.2, ②②, 2, 9,Ｃヒットジャポット, 87,松岡正, 0.1, 88,   7,* 23, 1,  2.5,⑫⑩⑩
 3,10,Ｉサマｰティアラ, 43,勝浦正, 0.9, 52,   3, -11, 5, 17.7,③④③, 3,14,Ｄカラｰタイマｰ, 58,クラス, 0.2, 55,*  2,  -6, 2,  3.4,②②②, 3, 6,Ｅウォンビｰロング, 80,横山典, 1.4, 76,   6,   9, 2,  4.3, ⑤⑤, 3, 5,Ｇギンザボナンザ, 83,後藤浩, 0.1, 86,  11,  16, 4,  6.8,⑨⑤⑤
