11年11月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白根特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｌナムラビｰム, 41,国分優,, 67,*  4,*  3, 6, 19.0, ①①, 1,12,Ｂニホンピロシュラブ, 70,酒井学,, 71,*  3,   9, 1,  2.9, ②②, 1, 5,Ａアサクサマリンバ, 77,横山和,, 70,   5,*  7, 1,  2.6,④④④, 1, 1,Ｐセレブリティ, 62,吉田隼,, 81,*  9,*  8, 4, 10.4,④⑤③
 2,11,Ｂトップフライアｰ, 60,勝浦正, 0.2, 64,   1,*  4, 4,  9.0, ④④, 2, 8,Ｆイグナイトカフェ, 68,横山和, 0.4, 68,*  4,   4,12, 88.2, ①①, 2, 6,Ｂデュアルサクセス, 72,杉原誠, 0.3, 68,*  6,   3, 3,  4.1,②②②, 2, 4,Ａマルブツマスタｰ, 78,宮崎北, 0.2, 79,   7,*  9, 3,  6.8,⑨⑩⑩
 3, 2,Ｅデルマダイコク, 58,木幡初, 0.2, 64,   1,*  4, 5, 15.5, ③③, 3, 2,Ａロンド, 74,藤懸貴, 0.7, 65,  -7,* 12, 3,  7.5, ⑪⑨, 3, 8,Ｄスタｰサイクル, 70,国分優, 0.8, 65,   4,   1, 5, 15.8,⑦⑤⑤, 3, 8,Ｂスペｰスアｰク, 73,大野拓, 0.4, 78,   6,*  8, 8, 23.3,⑭⑪⑧
 4, 6,Ｄフェアリｰガｰデン, 58,宮崎北, 0.9, 58,   1,  -1, 3,  8.0, ⑤⑤, 4, 9,Ｄフロｰラルホｰル, 68,小林淳, 0.8, 64,  -2,   7, 5, 11.4, ⑥⑥, 4, 1,Ｈクリノワンチャンス, 54,森一馬, 1.2, 63,   1,   3, 8, 59.1,⑧⑧⑧, 4, 3,Ｉクリｰンメタボ, 68,川須栄, 0.7, 75,   5,   7, 2,  6.3,⑪⑬⑫
 5, 3,Ｃミヤジガンバレ, 59,酒井学, 1.1, 56,*  2,  -5, 2,  5.9, ②②, 5, 5,Ｃイルドロｰル, 69,吉田隼, 0.9, 63,  -4,   8, 2,  3.1, ⑧⑦, 5, 2,Ｃマツリダジャパン, 71,平野優, 1.4, 61,*  6,  -8, 2,  2.7,①①①, 5,11,Ｄダイワリュｰリン, 70,的場勇, 0.8, 73,   7,  -1, 1,  2.2,⑩⑨⑦
 6,10,Ｋカシノアポロン, 43,西村太, 1.4, 53,  -4,  -1, 9, 55.9, ⑩⑪, 6,14,Ｍブラウブリッツ, 57,平野優, 1.2, 61,  -1,   1,10, 36.0, ④⑤, 6, 4,Ｅシュンハレン, 68,田中健, 1.5, 62,   4,  -6, 4,  8.1,③③③, 6, 9,Ｈタガノイノセンス, 68,中舘英, 0.9, 73,   7,  -2, 5, 15.2,⑦⑦⑥
 7, 7,Ｈジェットタイガｰ, 51,西田雄, 1.5, 53,  -6,   0,11, 77.0, ⑫⑫, 7, 7,Ｇパブリックアフェア, 67,大野拓, 1.2, 60, -13,* 13, 6, 18.9, ⑮⑮, 7, 3,Ｆチェリｰソウマ, 65,小野寺, 2.2, 58,   3, -10, 7, 39.5,⑤⑥⑥, 7,13,Ｌショウナンカミング, 66,荻野琢, 1.0, 70,   5,   5, 9, 24.6,⑬⑮⑯
 8, 4,Ｉアラビアンマジック, 50,丹内祐, 1.6, 52,  -2,  -4,10, 74.9, ⑦⑥, 8, 3,Ｊマンダリンレイ, 62,黛弘人, 1.3, 61,  -5,   6, 8, 21.7, ⑦⑧, 8, 7,Ｇシルキｰレッド, 58,水口優, 3.9, 44,   3, -25, 6, 27.3,⑥⑦⑦, 8, 6,Ｆエｰブフウジン, 68,松田大, 1.1, 71,   3,   5,11, 36.8,⑮⑯⑮
 9, 9,Ａシゲルアセロラ, 72,川須栄, 1.8, 49,  -2,  -6, 1,  1.7, ⑧⑧, 9,10,Ｌブルｰエンジェル, 58,川須栄, 1.3, 59,  -7,   7,11, 62.3, ⑫⑪,,,,,,,,,,,,, 9, 5,Ｅトッププライス, 69,勝浦正, 1.2, 68,*  9, -10,12, 41.6,⑰④④
10,14,Ｍフクノハナヒメ, 29,青木芳, 1.8, 51, -10,   3,14,292.3, ⑭⑬,10,13,Ｋファｰザｰリｰプ, 59,西田雄, 1.3, 59,  -5,   5,15,262.9, ⑨⑩,,,,,,,,,,,,,10, 7,Ｏタｰフェル, 63,伊藤直, 1.3, 68,   5,  -2,15, 89.8,⑫⑭⑭
11,15,Ｆキタルファ, 54,荻野琢, 2.5, 45,  -2, -12, 7, 25.5, ⑨⑨,11,11,Ｏヤマノグラス, 49,松田大, 1.4, 59,*  1,  -2,13,163.0, ③③,,,,,,,,,,,,,11,10,Ｇカワキタライジン, 68,松山弘, 1.3, 70,   6,  -3,13, 49.2,⑧⑫⑬
12,13,Ｇオリオンザマダム, 52,大野拓, 2.8, 40,  -2, -16, 8, 26.7, ⑥⑦,12, 4,Ｈマｰベラスビジン, 63,中舘英, 1.5, 58, -11,   9, 9, 27.7, ⑭⑭,,,,,,,,,,,,,12, 2,Ｃダイコウヒョウ, 70,丹内祐, 1.7, 65,   7, -13,10, 26.1,⑥⑥⑨
13, 5,Ｏシルクパッキャオ, 27,松田大, 2.9, 39, -14,  -5,12,161.1, ⑮⑭,13, 1,Ｅナムラアトラクト, 68,国分優, 1.5, 57,  -9,   7, 4,  9.7, ⑬⑬,,,,,,,,,,,,,13,12,Ｎミススパイダｰ, 64,村田一, 2.4, 57,*  9, -29, 7, 22.5,②②②
14, 1,Ｊシザｰハンズ, 47,杉原誠, 3.1, 38,  -5, -15,13,200.4, ⑪⑩,14, 6,Ｉセクシイスイｰト, 62,勝浦正, 1.6, 57,  -2,  -1, 7, 20.8, ⑤④,,,,,,,,,,,,,14,15,Ｊトップモｰスト, 68,小野寺, 2.4, 58,* 10, -30, 6, 17.3,①①①
15,12,Ｎカシノギア, 29,長谷川, 5.2, 19, -10, -29,15,360.4, ⑬⑮,15,15,Ｎエビスワンダフル, 52,西村太, 3.5, 39,  -5, -15,14,224.0, ⑩⑫,,,,,,,,,,,,,15,16,Ｍセイカペガサス, 65,国分優, 2.7, 56,   7, -27,17,167.2,⑤⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｋクレバｰホｰク, 67,木幡初, 2.8, 55,*  9, -33,16, 93.1,③③⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｑセブンライタｰズ, 53,古川吉, 2.8, 56,   5, -20,14, 75.3,⑯⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:3),,,,,,,,,,,
"単勝:1,900円 複勝:08=590円 11=310円 02=410円 枠連:690円",,,,,,,,,,,,"単勝:290円 複勝:12=180円 08=1,040円 02=230円 枠連:1,800円",,,,,,,,,,,,単勝:260円 複勝:05=120円 06=150円 08=240円 枠連:0円,,,,,,,,,,,,"単勝:1,040円 複勝:01=420円 04=250円 08=540円 枠連:1,390円",,,,,,,,,,,
"馬連:6,260円 ワイド:08-11=2,200円 02-08=2,110円 02-11=1,410円",,,,,,,,,,,,"馬連:13,960円 ワイド:08-12=3,240円 02-12=520円 02-08=6,230円",,,,,,,,,,,,馬連:480円 ワイド:05-06=210円 05-08=580円 06-08=830円,,,,,,,,,,,,"馬連:4,550円 ワイド:01-04=1,630円 01-08=2,810円 04-08=2,360円",,,,,,,,,,,
"馬単:16,150円 3連複:20,890円 3連単:156,310円",,,,,,,,,,,,"馬単:20,530円 3連複:30,020円 3連単:199,340円",,,,,,,,,,,,"馬単:720円 3連複:1,850円 3連単:6,790円",,,,,,,,,,,,"馬単:9,020円 3連複:24,030円 3連単:123,100円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,みちのくｽﾃｰｸｽ,,,,,,,,,,
