11年 6月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,やまぶどう賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａメジロハクリュウ, 62,黛弘人,, 61,*  2,  -6, 1,  2.5,①①①, 1,13,Ｃマルカファントム, 61,森一馬,, 62,*  0,  -1, 5, 10.6, ②②, 1, 2,Ａエアイグアス, 80,丸山元,, 75,* 10,  11, 1,  1.6,①①①, 1, 2,Ａイｰグルカザン, 80,川須栄,, 70,   9,* -3, 1,  1.8,⑥⑥⑤
 2,10,Ｈアイファｰソング, 48,川須栄, 0.0, 60,  -1,  -1, 9, 42.7,⑤⑥⑥, 2, 6,Ｂテルユｰホワット, 63,横山和, 0.1, 60,  -9,*  6, 2,  6.5, ⑩⑨, 2, 8,Ｈサトノサウザｰ, 63,藤懸貴, 0.2, 75,   9,* 12, 4,  7.5,②③③, 2, 6,Ｂスクウェルチャｰ, 74,松田大, 0.0, 73,* 11,  -8, 4,  6.9,②②②
 3, 6, メイショウフウジン,---,木幡初, 0.4, 59,  -6,*  6,10, 53.6,⑩⑪⑪, 3,10,Ｈノボスカイブルｰ, 55,杉原誠, 0.4, 58,*  0,  -4, 9, 37.7, ①①, 3, 7,Ｄトウカイノｰマル, 73,的場勇, 0.8, 74,   8,   9, 2,  4.5,④④⑤, 3, 1,Ｈケイジｰウィンザｰ, 68,丸田恭, 0.1, 68,* 11,  -8, 5, 20.0,③③③
 4, 2,Ｅシゲルソウトク, 55,西村太, 0.4, 60,  -3,   0, 4, 11.3,⑬⑧⑧, 4, 1,Ｇタマモルｰキｰ, 56,荻野琢, 0.4, 59,  -3,  -2, 8, 26.8, ③③, 4, 1,Ｂエビデンス, 74,丸田恭, 1.0, 69,   5,* 12, 3,  7.1,⑨⑧⑦, 4, 5,Ｌハクユウサンサン, 64,高倉稜, 0.4, 67,* 12, -12, 8, 38.9,①①①
 5, 9,Ｃカリビアンクルｰズ, 60,宮崎北, 0.6, 54,   0,  -9, 2,  4.0,④③③, 5,12,Ｊキンシゴｰルド, 54,高倉稜, 0.7, 55,  -7,  -1, 7, 26.0, ⑧⑧, 5, 3,Ｃヴァルドルフ, 73,田辺裕, 1.0, 69,   7,   9, 5, 15.3,⑥⑤④, 5,11,Ｇルシャンベルタン, 69,大野拓, 0.4, 67,   6,* -1,10, 48.6,⑫⑬⑫
 6,11,Ｂカネトシリｰプイン, 62,藤岡康, 1.0, 54,   0, -12, 3,  4.3,⑥⑤④, 6, 3,Ａリバルドホｰプ, 72,川須栄, 0.8, 55, -11,*  3, 1,  1.8, ⑫⑫, 6, 4,Ｅシュンハレン, 71,高倉稜, 1.5, 66,   6,   7, 6, 43.1,⑤⑥⑥, 6, 4,Ｆノッティングボｰイ, 69,黛弘人, 1.1, 64,   8,  -9, 9, 41.3,⑬⑩⑧
 7,13,Ｄアグネスグロｰリｰ, 58,丸山元, 1.4, 52,  -7,  -2, 6, 15.6,⑪⑫⑬, 7, 4,Ｍプレストリガｰ, 44,小野寺, 0.9, 56,  -9,   1,10,126.9, ⑪⑩, 7, 9,Ｆニシキホマレ, 65,平野優, 1.6, 64,   8,   0, 8, 80.5,③②②, 7, 8,Ｋヒラボクマジック, 64,丸山元, 1.2, 62,   9, -15, 2,  5.3,⑧④④
 8, 3,Ｇオｰソリタティヴ, 53,勝浦正, 1.7, 48,*  1, -20, 5, 15.3,②②②, 8,15,Ｅラブギムレｰ, 57,伊藤工, 0.9, 54,  -6,  -3, 6, 16.4, ⑥⑥, 8, 6,Ｇトウシンボルト, 63,上村洋, 2.4, 61,   6,  -1, 7, 69.1,⑦⑦⑧, 8, 9,Ｍマサシ, 62,松山弘, 1.5, 62,   8, -13,12,109.3,⑩⑪⑪
