11年 3月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 3月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  ダ1400m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟﾗﾘｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, ホクセツダンス,---,浜中俊,, 65,  -8,*  9,11, 35.5, ⑦⑥, 1, 9, キクノキアラ,---,藤岡佑,, 56,* -8,*  0, 3,  6.4, ②②, 1, 6,Ａテイクアベット, 79,国分優,, 83,* 10,*  7, 2,  4.7, ①①, 1, 4,Ａダイショウジェット, 96,柴山雄,, 87,   3,* 21, 8, 19.4, ⑪⑪
 2, 1,Ａピュアマインド, 65,柴田善, 0.4, 60, -10,*  7, 1,  3.0, ⑧⑧, 2, 5, レッドイデア,---,蛯名正, 0.3, 52, -11,*  0, 1,  3.1, ④③, 2, 7,Ｊトｰセントレジャｰ, 62,高嶋活, 1.2, 71,*  8,  -2,11, 42.3, ②②, 2,13,Ｈマルカベンチャｰ, 88,安藤勝, 0.0, 88,   4,* 21, 5, 11.5, ⑭⑩
 3, 8,Ｂラプリメｰラ, 63,渡辺薫, 0.8, 56,  -8,   1, 4,  7.3, ⑤④, 3, 3, マルブツファイト,---,川田将, 1.0, 48, -11,  -5, 2,  5.9, ⑦⑤, 3, 9,Ｇモルフェメイト, 65,武士沢, 1.2, 68,  -1,*  8,16,356.9, ⑫⑫, 3, 5,Ｂケイアイガｰベラ, 96,秋山真, 0.0, 87,   8,  15, 1,  2.0, ③⑥
 4, 4,Ｃオメガロｰズマリｰ, 54,三浦皇, 0.9, 56,  -8,   0, 5,  9.5, ④⑤, 4, 1, ネロスパｰダ,---,丸田恭, 1.0, 46, -14,  -2, 6, 13.4, ⑧⑥, 4,14,Ｂアルゴリズム, 75,後藤浩, 1.3, 67,   1,   5, 1,  3.4, ⑪⑨, 4, 8,Ｃオｰロマイスタｰ, 94,吉田豊, 0.1, 85,   5,  17, 6, 17.3, ⑩⑧
 5, 3, タマモコメット,---,芹沢純, 1.0, 56, -13,   5,12, 36.5, ⑫⑪, 5, 6, マイネクォｰツ,---,三浦皇, 1.1, 47, -14,  -2,11, 31.7, ⑩⑨, 5, 5,Ｌダッシャｰワン, 61,古川吉, 1.5, 66,   1,   2, 4,  6.3, ⑧⑩, 5, 6,Ｄワｰルドワイド, 92,小牧太, 0.1, 85,   8,  15, 3,  9.4, ⑥⑤
 6,10,Ｄチアフルアイズ, 54,リスポ, 1.2, 55,* -5,  -5, 3,  7.2, ①①, 6, 4, シラサギジョウ,---,柴田善, 1.5, 42,* -8, -13, 8, 18.4, ①①, 6, 3,Ｉジャｰグラット, 62,江田照, 1.5, 67,  -2,*  6,10, 30.2, ⑭⑬, 6,12,Ｋクイックリｰプ, 86,飯田祐, 0.2, 86,   5,  16,15,202.3, ⑧⑨
 7,12, タルトレット,---,松岡正, 1.2, 53,* -7,  -5, 2,  5.8, ②②, 7,15, スウィｰトライズ,---,江田照, 1.6, 44, -15,  -5,13, 65.6, ⑪⑪, 7, 1,Ｄショウナンタスク, 67,岩田康, 1.7, 67,   4,  -2, 9, 29.7, ④⑥, 7, 3,Ｍプロセッション, 84,藤岡佑, 0.2, 87,   4,* 19,13,178.5, ⑬⑬
 8, 9, ラトｰヌペガサス,---,藤懸貴, 1.4, 52, -12,   1, 8, 17.2, ⑩⑩, 8, 7, ワンダｰシソｰラス,---,松岡正, 1.6, 43, -15,  -5, 9, 19.7, ⑫⑫, 8,15,Ｅキンショｰユウジャ, 66,藤田伸, 1.8, 65,   4,  -4, 3,  6.0, ⑦⑤, 8, 7,Ｅインオラリオ, 92,岩田康, 0.3, 86,* 11,   9, 2,  6.0, ①①
