11年 5月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,むらさき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａサクラトップクイン, 66,横山典,, 69,*  8,*  3, 1,  3.0, ②②, 1, 1,Ｂファンフェア, 68,武豊  ,, 62,* 15,  -6, 2,  4.0,①①①, 1, 5,Ａクｰルエレガンス, 75,柴田善,, 68,* 11,  -7, 1,  2.7,③④④, 1, 9,Ｄリリエンタｰル, 83,横山典,, 88,   3,* 14, 1,  2.9,⑫⑬⑫
 2,12,Ｄアドマイヤアジナ, 60,田中勝, 1.1, 61,*  8,  -8, 2,  3.8, ①①, 2, 6,Ｄテルバイク, 61,松岡正, 0.2, 62,  11,* -2, 4,  7.2,⑥⑥⑥, 2,13,Ｄブリｰジｰデイズ, 71,岩田康, 0.0, 68,   8,* -3, 7, 16.9,⑩⑦⑧, 2,15,Ｊカネトシパサｰジュ, 80,浜中俊, 0.1, 91,   0,* 17, 8, 21.8,⑱⑰⑱
 3, 5,Ｊキタサンウタヒメ, 42,江田照, 1.5, 59,   6,  -7, 9, 68.1, ⑥⑤, 3, 2,Ｊメイショウオオトネ, 46,デット, 0.7, 56,   9,* -5, 5,  8.0,⑨⑦⑦, 3, 6,Ｉラタンバスケット, 61,デット, 0.2, 66,   9,  -7, 4,  6.4,⑤⑥⑥, 3, 1,Ｇリッカロイヤル, 81,福永祐, 0.4, 82,   5,   1,12, 36.9,⑥⑤④
 4, 4,Ｆココアンジュ, 52,北村宏, 1.9, 57,   4,  -6, 7, 44.9, ⑩⑨, 4, 5,Ａネグレスコ, 68,石橋脩, 0.8, 54,  12, -14, 1,  3.0,③③③, 4, 8,Ｆイオス, 70,三浦皇, 0.2, 67,  10,  -6, 2,  4.3,⑦⑨⑤, 4,16,Ｉアヴェンティｰノ, 80,吉田豊, 0.5, 81,   1,*  9,11, 32.4,⑯⑭⑮
 5, 1,Ｅマンマルコ, 60,柴田善, 1.9, 56,   5,  -9, 3,  5.2, ⑦⑦, 5, 3,Ｃカズノトウショウ, 65,江田照, 0.8, 55,   8,* -4, 3,  5.5,⑫⑨⑨, 5, 3,Ｂロックバルｰン, 73,武豊  , 0.4, 63,* 13, -18, 3,  5.7,①①①, 5, 2,Ｅデンコウオクトパス, 82,岩田康, 0.5, 84,   1,* 11, 5, 12.4,⑮⑱⑯
 6, 3,Ｇイフポッシブル, 52,小島太, 2.0, 56,  -1,*  0,10, 71.0, ⑫⑫, 6, 7,Ｆキトゥンブルｰ, 56,福永祐, 0.8, 55,   9,  -8, 6, 12.5,⑦⑧⑧, 6,10,Ｊラｰクキャロル, 61,蛯名正, 0.7, 63,   7,  -9, 6, 15.9,⑫⑪⑩, 6, 7,Ｋマイネルグｰト, 79,松岡正, 0.5, 78,*  8,  -7, 4, 11.4,②②②
 7, 9,Ｂコウヨウメビウス, 63,福永祐, 2.3, 52,   6, -15, 5,  6.2, ④④, 7,13,Ｅデラモｰレ, 58,ウィリ, 0.9, 51,  12, -15, 8, 20.3,④④④, 7,11,Ｅチャｰリｰポイント, 70,藤田伸, 0.7, 62,   5,* -5, 8, 28.3,⑬⑬⑫, 7, 8,Ｐワルキュｰレ, 74,武士沢, 0.6, 79,   4,   0,16, 56.5,⑧⑦⑥
 8, 6,Ｈオリオンザジョケツ, 51,柴山雄, 2.4, 52,   2,  -7,12,151.3, ⑪⑪, 8, 4,Ｇレッドグランディス, 53,横山典, 1.1, 50,  11, -13, 7, 16.3,⑤⑤⑤, 8,12,Ｃトレノユｰボウ, 73,横山典, 1.0, 55,* 12, -25, 5,  9.1,⑧②②, 8,14,Ｈシェｰンヴァルト, 81,ウィリ, 0.8, 72,*  9, -12, 7, 19.9,⑤①①
