11年10月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西陣ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆインテンシティ, 45,藤岡佑,, 54,  -4,*  0, 3,  8.2, ⑩⑨, 1, 9, タマモユニヴァｰス,,北沢伸,,,,, 1,  1.6,③①①, 1, 7,Ｅサンヴァンサン, 76,高倉稜,, 82,   3,* 15, 6, 10.8,⑤⑤③, 1, 3,Ｇメイショウデイム, 82,藤岡佑,, 89,   3,* 22, 3, 10.4, ⑬⑫
 2,11,Ｄチキウミサキ, 48,幸英明, 0.0, 56,*  0,  -6, 2,  5.5, ③③, 2, 4, メイショウブソン,,岩崎祐,211.5,,,, 7, 25.0,④④④, 2, 4,Ｃメメビｰナス, 81,北村宏, 0.1, 80,   2,* 16, 1,  3.2,⑧⑧⑧, 2, 7,Ｃトｰホウプリンセス, 85,浜中俊, 0.3, 86,* 14,   9, 1,  1.8, ③④
 3,12,Ａパスパルトゥｰ, 62,北村友, 0.0, 56,*  2,  -9, 1,  1.4, ①①, 3, 7, エムエスワｰルド,,熊沢重,212.0,,,, 2,  4.8,⑫⑨⑦, 3, 9,Ａトップコマチ, 83,国分優, 0.2, 79,*  4,  12, 4,  5.0,②②②, 3, 5,Ｆデイトユアドリｰム, 84,北村友, 0.3, 85,   8,  14, 9, 26.8, ⑧⑦
 4, 5,Ｉシゲルマスカット, 41,太宰啓, 0.3, 51,  -3,  -6,10,145.0, ⑧⑧, 4,14, カワキタトップ,,小坂忠,212.1,,,, 3, 12.1,②③③, 4, 6,Ｄランブリングロｰズ, 77,藤岡佑, 0.2, 79,   3,  13, 3,  4.9,④④⑦, 4,16,Ａクリスタルボｰイ, 87,幸英明, 0.3, 86,* 15,   8, 2,  4.8, ②②
 5, 3,Ｃソロデビュｰ, 50,丸山元, 0.3, 52,  -2,  -7, 6, 25.4, ④④, 5, 3, ブチカマシ,,難波剛,212.2,,,, 8, 27.8,⑨⑦⑥, 5, 5,Ｇワンダｰプリマ, 72,渡辺薫, 0.9, 75,   2,   8, 8, 76.9,⑦⑥④, 5,13,Ｍアデュラリア, 80,秋山真, 0.4, 84,* 14,   8,10, 94.6, ④③
 6, 9,Ｋダブルスパｰク, 38,石橋脩, 0.6, 49,  -2, -10, 8, 68.3, ⑥⑥, 6, 6, ゴｰルデンガッツ,,植野貴,212.7,,,, 5, 13.2,⑥⑥⑧, 6, 2,Ｂビタｰスウィｰト, 83,北村友, 0.9, 74,   3,   8, 2,  4.6,③③⑥, 6, 2,Ｊフィｰルドシャイン, 81,酒井学, 0.6, 83,  11,   9, 8, 23.1, ⑤⑤
 7, 8,Ｂタマモオｰロラ, 56,川島信, 0.9, 49,  -3,  -7, 5, 20.8, ⑨⑩, 7, 1, アヤナベル,,林満明,213.1,,,,11,104.7,⑪⑫⑩, 7, 1,Ｈステラリｰド, 71,丸山元, 0.9, 75,   1,  10, 7, 33.6,⑨⑨⑤, 7,12,Ｄエベレストオｰ, 85,北村宏, 0.6, 83,   7,  12, 5, 13.1, ⑨⑨
 8, 2,Ｈコスモブジｰ, 43,丹内祐, 1.3, 45,  -2, -14, 9,130.6, ⑦⑦, 8, 2, キシュウグラシア,,中村将,213.3,,,, 9, 75.5,⑦⑤⑤, 8, 8,Ｆグランス, 74,小牧太, 1.3, 68,*  4,   0, 5,  5.9,①①①, 8,14,Ｈスピｰドアタック, 82,高田潤, 0.7, 81,   4,  15,16,435.2, ⑫⑬
