11年 7月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａカシノラピス, 58,野元昭,, 58,*-11,*  2, 2,  1.9, ①①, 1,13,Ａアドマイヤネアルコ, 68,川田将,, 67,*  0,*  3, 1,  1.6,④④④, 1,10,Ｆサンライズブレット, 56,浜中俊,, 71,*  2,*  8, 1,  3.6,①①①, 1, 3,Ａコウユｰヒｰロｰ, 82,北村友,, 81,*  8,* 11, 1,  2.9,⑮②②
 2, 3,Ｆエリモヴィエント, 20,浜中俊, 0.9, 46, -14,  -7, 4, 17.9, ④④, 2, 3,Ｃフクラムサイフ, 64,浜中俊, 0.2, 65,*  0,   0, 2,  3.7,③③③, 2, 1, スズカゴルゴ,---,国分優, 0.9, 62,   0,   3,11, 67.7,④③②, 2, 8,Ｃモエレジュンキン, 79,国分優, 0.8, 77,*  8,   5, 2,  4.2,⑧①①
 3, 2,Ｂメイショウヒデタダ, 51,太宰啓, 1.2, 41,*-12, -13, 1,  1.8, ②②, 3, 9,Ｂペガサスイエロｰ, 67,藤懸貴, 0.4, 63,  -1,   1, 4, 14.7,⑩⑨⑥, 3,13,Ｃイケオコリンボｰ, 60,川田将, 1.1, 61,   0,   1, 5,  8.0,③④④, 3, 5,Ｂランブリングロｰズ, 80,藤岡康, 1.3, 73,   6,   4, 5, 10.2,⑦⑦③
 4, 6,Ｃテイエムハピネス, 34,芹沢純, 1.3, 41,*-12, -14, 3, 12.7, ③③, 4, 4,Ｉウォｰタｰワｰルド, 55,佐藤哲, 0.4, 64,  -4,*  6, 9, 57.4,⑨⑩⑨, 4, 2,Ｋメイショウホウユウ, 50,太宰啓, 1.2, 59,  -1,   2, 7,  9.9,⑤⑥⑦, 4,14,Ｉヤマニンフリスキｰ, 70,中村将, 1.4, 74,   5,*  7,11, 45.5,⑯⑫⑤
 5, 4,Ｄシゲルハッサク, 30,国分優, 1.4, 38, -23,  -5, 6, 57.9, ⑤⑤, 5,12,Ｌタカノコウモン, 48,佐久間, 0.8, 60,  -2,  -2,12,199.6,⑧⑧⑩, 5,16,Ｂカシノウィンド, 62,松山弘, 1.2, 61,   0,   0, 6,  8.8,⑥⑤⑤, 5, 6,Ｅボストンリョウマ, 75,和田竜, 2.1, 69,   5,   0, 4,  8.9,⑪⑪⑦
 6, 5,Ｅマリノアｰサｰ, 24,水口優, 1.6, 36, -23,  -7, 5, 47.8, ⑥⑥, 6, 2,Ｈハッピｰティア, 55,国分優, 0.9, 54,*  1, -14, 7, 33.7,①①①, 6, 9,Ｄテイエムミライオｰ, 60,幸英明, 1.4, 61,  -4,*  6, 2,  5.0,⑫⑫⑩, 6,15,Ｇファイアアロｰ, 72,小牧太, 2.3, 66,   3,   2, 9, 32.0,⑭⑯⑧
,,,,,,,,,,,, 7, 7, メイショウハウル,---,北村友, 1.2, 55,  -4,  -4, 6, 31.2,⑬⑪⑪, 7,12,Ａラプスドｰル, 63,鮫島良, 1.5, 58,*  1,  -4, 3,  5.1,②②③, 7,12,Ｏシｰクロノス, 60,野元昭, 3.5, 57,   6, -14,15,208.0,⑫⑨⑥
,,,,,,,,,,,, 8, 8,Ｍキジトサルヲツレテ, 48,高倉稜, 1.3, 58,  -8,*  5,14,284.8,⑭⑭⑭, 8,15,Ｅグレイレジェンド, 59,石橋守, 1.5, 60,  -1,   0, 4,  7.4,⑦⑦⑥, 8, 2,Ｎビットプレスト, 62,渡辺薫, 3.6, 58,   4, -11,16,250.9,⑬⑭⑫
