11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｏアイスクリスタル, 25,宮崎北, 2.7, 38,  -6, -16,12,152.1, ⑩⑪,12, 5, ミスタｰナインワン,---,丸山元, 3.5, 38,  -4, -25, 9, 41.0, ③③,12, 8,Ｇアサクサウタヒメ, 63,四位洋, 0.8, 61, -16,   3,12, 80.2, ④⑥,12, 9, サラリンクス,---,スミヨ, 0.9, 97,  14,  17,13, 94.7,⑬⑭⑭
13, 7,Ｊブラックリベリオン, 37,丸山元, 2.8, 38,  -5, -18, 9, 33.9, ⑧⑨,,,,,,,,,,,,,13, 7,Ｌダイワカリエンテ, 54,後藤浩, 0.8, 59,*-15,   0,11, 78.3, ③③,13, 8,Ｉヴィクトワｰルピサ, 94,デムｰ, 1.6, 87,  13,   6, 4, 10.9,⑯⑯⑯
14, 5,Ｍコスモライデイン, 30,柴田大, 3.5, 33,  -6, -23,15,298.5, ⑪⑫,,,,,,,,,,,,,14,13,Ｋエｰシンスナイパｰ, 57,石橋脩, 1.1, 59, -20,   6,10, 59.4, ⑬⑭,14,11, ミッションアプルｰ,---,エスピ, 1.7, 82,* 17, -12,15,168.5,①①①
15,15,Ｋギンザファイタｰ, 37,御神本, 3.5, 31,  -7, -22,14,285.9, ⑬⑬,,,,,,,,,,,,,15,14, ギンザファミリア,---,御神本, 1.4, 59, -20,   6,16,267.9, ⑭⑯,15,10,Ｌキングトップガン, 86,戸崎圭, 2.3, 78,  14, -12,16,240.0,⑤⑥⑧
16,14,Ｌクライシスワン, 33,小野寺, 3.7, 32,  -8, -21,16,514.4, ⑯⑯,,,,,,,,,,,,,16, 3, ユカナ,---,戸崎圭, 1.5, 50, -18,  -5,15,232.7, ⑥⑨,16, 7,Ｄペルｰサ,101,横山典, 2.5, 77,  14, -12, 3,  7.5,⑩⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,420円 複勝:11=290円 06=380円 13=210円 枠連:1,060円",,,,,,,,,,,,単勝:280円 複勝:10=140円 07=170円 02=290円 枠連:490円,,,,,,,,,,,,単勝:780円 複勝:16=250円 01=170円 04=430円 枠連:920円,,,,,,,,,,,,"単勝:340円 複勝:02=140円 16=430円 01=1,660円 枠連:970円",,,,,,,,,,,
"馬連:5,880円 ワイド:06-11=1,890円 11-13=770円 06-13=1,080円",,,,,,,,,,,,馬連:700円 ワイド:07-10=330円 02-10=520円 02-07=810円,,,,,,,,,,,,"馬連:1,520円 ワイド:01-16=530円 04-16=1,690円 01-04=1,090円",,,,,,,,,,,,"馬連:2,300円 ワイド:02-16=980円 01-02=3,800円 01-16=15,860円",,,,,,,,,,,
"馬単:12,030円 3連複:9,500円 3連単:77,590円",,,,,,,,,,,,"馬単:1,150円 3連複:2,350円 3連単:7,980円",,,,,,,,,,,,"馬単:3,390円 3連複:6,540円 3連単:33,680円",,,,,,,,,,,,"馬単:4,180円 3連複:80,880円 3連単:324,680円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ｼｬﾝｸﾞﾘﾗ賞,,,,,,,,,,,,東京ｳｪﾙｶﾑﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａダノンゴｰルド, 69,横山典,, 65,  -5,* 12, 1,  2.1, ⑥⑨, 1, 2, サトノプライマシｰ,---,スミヨ,, 66,*-18,* 14, 2,  3.9,②③③, 1, 5,Ｅサクラシャイニｰ, 81,戸崎圭,, 83,   0,* 23, 1,  3.7, ⑤⑥, 1, 3,Ｃフェデラリスト, 89,蛯名正,, 93,   8,* 20, 4,  6.9,⑥⑦⑦
 2, 5,Ｆフィｰユブルｰ, 57,ウィリ, 0.4, 65,* -1,   3, 3,  6.8, ①①, 2,10, ジャングルクルｰズ,---,横山典, 0.0, 67, -20,* 19, 1,  1.7,⑤⑥⑥, 2, 8,Ｋサトノデｰトナ, 75,蛯名正, 0.0, 82,*  2,  19, 8, 20.3, ②②, 2, 7,Ｈノｰステア, 82,デムｰ, 0.5, 88,   4,* 21, 5,  9.4,⑨⑪⑫
 3, 8,Ｃモエレアンバサダｰ, 61,メンデ, 0.5, 62,* -2,   3, 8, 26.1, ②②, 3, 3, ダｰレｰムｰン,---,御神本, 1.0, 55, -20,   5, 8, 35.6,⑥⑤⑤, 3,10,Ｂメイショウツチヤマ, 83,武豊  , 0.1, 82,*  2,  19, 3,  4.9, ④④, 3, 4,Ｂアロマカフェ, 90,武豊  , 0.8, 83,   8,   7, 1,  4.9,⑤⑥⑤
 4, 4,Ｂニシノボレロ, 62,福永祐, 1.0, 59,  -3,   1, 2,  3.7, ③④, 4, 8, パルピテｰション,---,吉田豊, 1.0, 50,*-18,  -2, 4, 11.6,③②②, 4, 9,Ｇトキノエクセレント, 78,三浦皇, 0.2, 82,   0,* 22, 4,  7.6, ⑨⑧, 4,14,Ｄメｰヴェ, 85,丸山元, 0.9, 84,   6,  14, 9, 23.7,⑫⑫⑪
 5,16,Ｐディアコンコルド, 31,ルメｰ, 1.0, 57,  -5,   3, 9, 42.4, ⑨⑩, 5, 6, アントゥワｰド,---,デムｰ, 1.1, 58, -23,  10, 5, 14.5,⑩⑨⑩, 5,16,Ｄカフェヒミコ, 81,柴田善, 0.5, 78,   0,  17, 2,  4.0, ⑦⑤, 5,16,Ｅミカエルビスティｰ, 84,三浦皇, 0.9, 84,   8,   7, 3,  6.2,⑩⑧⑧
 6, 7,Ｅプリュキエｰル, 58,スミヨ, 1.2, 57,  -3,  -1, 4, 12.1, ④⑤, 6, 1, ファイアセレッソ,---,戸崎圭, 1.3, 55, -23,   9, 9, 97.0,⑨⑩⑨, 6,13,Ａスイレン, 84,後藤浩, 0.6, 77,  -1,  17, 6, 15.5, ⑥⑦, 6, 2,Ｍリッカロイヤル, 76,後藤浩, 1.0, 80,   9,   3,10, 33.2,③④④
 7,14,Ｇオｰルキャスト, 57,岩田康, 1.3, 58,  -8,*  7, 6, 16.4, ⑮⑮, 7,11, ドラゴンエイジ,---,蛯名正, 1.3, 50,*-17,  -4, 3,  9.8,④④④, 7,14,Ｉブレｰヴゴｰルド, 77,御神本, 0.7, 78,   0,  17,10, 45.0, ⑩⑨, 7, 9,Ｇエｰブチェアマン, 83,戸崎圭, 1.0, 82,   7,   9, 2,  5.9,⑪⑩⑨
 8, 3,Ｎミステリアスパワｰ, 37,御神本, 1.3, 56,  -5,   0,14,270.8, ⑧⑦, 8, 9, ミヤビエスペランサ,---,福永祐, 1.5, 50, -22,   0, 7, 19.5,⑧⑧⑧, 8,12,Ｌスカラブレイ, 74,福永祐, 0.7, 77,   1,  15,11, 45.2, ③③, 8, 6,Ｌマイネルアトレ, 80,シュタ, 1.1, 79,* 11,  -3,14,111.5,②②②
 9,12,Ｈキングザブルｰス, 55,戸崎圭, 1.6, 55,  -5,  -1,11,137.5, ⑩⑧, 9, 7, セイカエスペランサ,---,後藤浩, 1.5, 43,*-18, -10,10,104.8,①①①, 9,15,Ｊゴｰルドバシリスク, 77,丸山元, 0.8, 77,  -3,  19, 5,  9.7, ⑬⑬, 9, 1,Ａネオサクセス, 91,石橋脩, 1.2, 83,   3,* 17, 7, 10.7,⑬⑭⑭
10,13,Ｍダニｰボｰイ, 42,武士沢, 1.9, 53,  -7,  -1,15,380.5, ⑭⑫,10, 5, マイネルアズｰリ,---,ウィリ, 1.6, 47, -22,   0, 6, 17.9,⑦⑦⑦,10, 6,Ｈモエレエンデバｰ, 78,四位洋, 0.9, 78,  -8,* 24,13, 69.7, ⑯⑯,10, 8,Ｉシャガｰル, 81,横山典, 1.4, 77,   7,   4, 6,  9.9,⑧⑨⑩
11,15,Ｄエスペランサシチｰ, 58,デムｰ, 2.0, 48,  -4,  -7, 7, 18.9, ⑦⑥,11, 4, ジャンピングタワｰ,---,武士沢, 1.7, 49, -23,   1,11,129.1,⑪⑪⑪,11, 4,Ｆタマモスクワｰト, 80,岩田康, 1.0, 75,  -2,  16, 7, 18.3, ⑧⑩,11,12,Ｏアキノカウンタｰ, 74,御神本, 1.4, 76,* 11,  -6,15,123.8,④③③
12, 6,Ｋキョウワアｰク, 51,石橋脩, 2.0, 52,  -7,  -2,10,101.1, ⑫⑬,,,,,,,,,,,,,12, 2,Ｐケンエンブレム, 60,池添謙, 1.0, 75,  -2,  16,14, 99.2, ⑪⑪,12, 5,Ｊコスモラピュタ, 81,ルメｰ, 1.4, 75,* 12, -10, 8, 14.0,①①①
13, 9,Ｌムｰンベックカフェ, 42,武豊  , 2.0, 51,* -2,  -9, 5, 14.1, ⑤③,,,,,,,,,,,,,13, 7,Ｃザストロンシチｰ, 82,吉田豊, 1.0, 73,*  3,   9, 9, 35.4, ①①,13,15,Ｋドリｰムノクタｰン, 80,柴田大, 2.1, 71,   8, -12,11, 37.3,⑦⑤⑥
