11年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａレディｰメグネイト, 55,飯田祐,, 52,*  2, -17, 2,  2.9, ②②, 1, 9, タマモユニヴァｰス,,北沢伸,,,,, 2,  6.1,①①①, 1, 6,Ｆハスラｰ, 72,浜中俊,, 75,*  8,   0, 5,  7.2,④③③, 1, 5,Ａタガノロックオン, 87,田辺裕,, 86,  17,   5, 1,  2.3,②③②
 2,11,Ｅシゲルユズ, 46,熊沢重, 0.1, 51,  -3,*-11, 7, 34.4, ⑨⑧, 2, 7, アクアブルｰスカイ,,白浜雄,201.2,,,, 4, 10.9,④④④, 2, 7,Ｉマイネルガネｰシャ, 60,酒井学, 0.1, 74,   7,   2, 8, 82.1,⑤⑤⑤, 2, 6,Ｄプリンセスペスカ, 84,幸英明, 0.5, 85,  14,   6, 6, 12.6,⑩⑨⑨
 3, 3,Ｋマｰベラスルビｰ, 37,松山弘, 0.2, 50,   0, -17, 5, 13.5, ③⑤, 3, 2, アスタｰクリス,,林満明,201.3,,,, 3,  7.4,②②②, 3, 1,Ａトップオブカハラ, 80,池添謙, 0.1, 73,   6,*  3, 3,  4.5,⑥⑧⑦, 3, 9,Ｂサンライズモｰル, 86,浜中俊, 0.7, 83,* 18,  -3, 2,  4.6,③②①
 4, 7,Ｃラｰゼンマイスタｰ, 48,北村友, 0.2, 49,   0, -16, 4, 13.1, ⑥⑥, 4, 1, メイショウボナｰル,,岩崎祐,201.4,,,, 1,  1.5,③③③, 4, 3,Ｅワンダｰアサｰルト, 72,野元昭, 0.2, 73,   6,*  3, 7, 15.1,⑧⑦⑥, 4, 1,Ｊブルロック, 82,佐藤哲, 0.7, 80,  15,   2, 4,  8.1,⑦⑧⑥
 5, 2,Ｂゴｰイングストｰン, 52,和田竜, 0.3, 50,   1, -18, 3,  6.9, ⑤④, 5, 5, テイエムハエゲナ,,田村太,203.1,,,, 5, 11.8,⑦⑤⑤, 5, 5,Ｂマキハタビリケン, 75,幸英明, 1.1, 67,*  8,  -9, 2,  4.5,②②②, 5, 7,Ｍパｰルシャドウ, 80,吉田豊, 0.7, 80,  12,*  8,10, 39.6,⑪⑫⑩
 6,16,Ｇカシノデュｰク, 44,小牧太, 0.5, 47,*  2, -21, 8, 64.0, ④③, 6, 4, ビコｰコルサコフ,,佐久間,204.1,,,, 7, 22.4,⑤⑥⑥, 6, 8,Ｄメイショウイッシン, 72,国分恭, 1.2, 65,*  8, -10, 1,  2.7,①①①, 6,12,Ｋプロフェッショナル, 82,北村友, 0.7, 82,  13,   6, 7, 17.9,⑫⑪⑪
 7,15,Ｆアンビｰタブル, 45,川田将, 0.6, 47,  -2, -17, 1,  2.2, ⑦⑨, 7, 3, ナンゴクノゴルゴ,,植野貴,204.3,,,, 8, 78.9,⑥⑦⑦, 7, 4,Ｈテイエムスリリング, 65,国分優, 1.3, 67,   4,  -2, 9,121.7,⑨⑨⑨, 7,13,Ｅラタｰシュ, 84,武豊  , 0.8, 82,  11,*  8, 9, 36.1,⑭⑬⑫
 8, 6,Ｎオパｰルキッド, 33,国分恭, 0.6, 45, -13,* -3,15,357.8, ⑯⑯, 8, 6, シゲルフクシュニン,,難波剛,211.0,,,, 9,109.4,⑧⑧⑧, 8, 9,Ｃサｰノ, 73,北村友, 1.6, 64,   6,  -8, 6, 14.5,⑦⑥⑧, 8,10,Ｆシルクダイナスティ, 84,松山弘, 1.3, 81,  10,*  7,12, 51.9,⑬⑭⑬
 9, 9,Ｊシゲルナツメ, 39,藤岡康, 1.2, 41,  -5, -19,14,238.8, ⑫⑪, 9, 8, ピュアストｰン,,小坂忠,223.9,,,, 6, 21.6,⑨⑨⑨, 9, 2,Ｇサクラエンブレム, 65,岩田康, 1.9, 61,   7, -13, 4,  7.1,③④④, 9, 2,Ｃポイマンドレｰス, 85,岩田康, 1.4, 77,  13,  -1, 5, 11.1,⑨⑩⑧
10, 8,Ｏシゲルネｰブル, 26,高倉稜, 1.2, 40,  -9, -13,16,516.9, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,10,11,Ｎマッシヴエンペラｰ, 80,熊沢重, 1.4, 78,* 17,  -8,11, 51.6,⑥④③
11, 4,Ｈオｰクブラフ, 44,国分優, 1.2, 42,  -4, -20, 6, 16.2, ⑪⑩,,,,,,,,,,,,,,,,,,,,,,,,,11, 8,Ｌアイファｰソング, 81,川須栄, 3.0, 66,  15, -18, 3,  8.1,④⑥⑦
12,10,Ｉシゲルアｰモンド, 43,酒井学, 1.4, 39, -11, -14,13,200.4, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｇテイエムザエックス, 84,国分優, 3.7, 63,  17, -27,14,237.8,⑧⑤④
13, 1,Ｌシゲルホシガキ, 37,川須栄, 1.6, 38,  -2, -26, 9, 85.1, ⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｈスｰサンライダｰ, 83,和田竜, 4.6, 58,* 18, -36, 8, 31.2,①①⑤
14,12,Ｐジョｰイモｰテル,  8,田辺裕, 2.0, 34,  -8, -23,11,105.8, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｉアコニットライアン, 82,酒井学, 8.4, 39,  12, -59,13,232.1,⑤⑦⑭
15,13,Ｍドｰントレス, 34,幸英明, 2.6, 32,  -3, -33,10, 86.9, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 5,Ｄハリスキャスケｰド, 48,藤懸貴, 2.9, 29,*  2, -43,12,169.3, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,
"単勝:290円 複勝:14=180円 11=640円 03=420円 枠連:3,400円",,,,,,,,,,,,"単勝:610円 複勝:09=400円 07=580円 02=500円 枠連:1,650円",,,,,,,,,,,,"単勝:720円 複勝:06=240円 07=2,170円 01=180円 枠連:13,980円",,,,,,,,,,,,"単勝:230円 複勝:05=120円 06=220円 09=160円 枠連:1,400円",,,,,,,,,,,
"馬連:4,370円 ワイド:11-14=1,540円 03-14=840円 03-11=4,070円",,,,,,,,,,,,"馬連:3,140円 ワイド:07-09=720円 02-09=720円 02-07=830円",,,,,,,,,,,,"馬連:33,590円 ワイド:06-07=6,580円 01-06=490円 01-07=4,440円",,,,,,,,,,,,"馬連:1,270円 ワイド:05-06=470円 05-09=270円 06-09=790円",,,,,,,,,,,
"馬単:5,390円 3連複:18,110円 3連単:73,890円",,,,,,,,,,,,"馬単:6,470円 3連複:4,640円 3連単:30,900円",,,,,,,,,,,,"馬単:45,080円 3連複:33,180円 3連単:281,290円",,,,,,,,,,,,"馬単:1,930円 3連複:1,760円 3連単:9,140円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｋレッドアラビアｰタ, 39,幸英明,, 62,  -1,* -2,13,196.1, ⑮⑬, 1, 5, ラフィングインメイ,---,浜中俊,, 62, -16,*  7, 7, 27.8, ⑧⑧, 1, 8,Ｂメイショウサミット, 73,武豊  ,, 76,* 10,   4, 2,  4.4,①①①, 1, 9,Ａエｰシンヴァｰゴウ, 94,田辺裕,, 86,*  9,   8, 2,  6.4, ②②
 2,17,Ｃブルｰプルチェッラ, 55,太宰啓, 0.1, 61,   3,* -9, 3,  9.9, ⑪⑪, 2,11, オリｰビン,---,小牧太, 0.2, 57, -15,   1, 1,  1.8, ⑥⑥, 2, 5,Ｆブルｰモｰメント, 68,北村友, 0.2, 76,*  9,   5, 5,  9.9,②②②, 2,13, ラッキｰナイン,---,プレブ, 0.0, 88,   4,* 13, 5, 13.0, ⑨⑤
 3,13,Ｄアルアマｰナ, 54,岩田康, 0.3, 60,   3, -11, 2,  6.7, ⑫⑨, 3, 9, サクセスセレｰネ,---,川田将, 0.2, 59, -14,   2, 2,  3.2, ④⑤, 3, 3,Ｃマイネルガヴロシュ, 72,和田竜, 0.5, 75,   7,   3, 4,  5.5,③③③, 3,14,Ｄダッシャｰゴｰゴｰ, 87,川田将, 0.1, 86,   5,  10, 1,  2.0, ⑧⑦
 4, 9,Ｊアイミｰマイン, 43,国分恭, 0.5, 56,  -4,* -2,17,407.8, ⑰⑯, 4, 3, セフティオリビエト,---,北村友, 0.5, 50,* -9, -12, 6, 25.0, ①①, 4, 1,Ａエバｰグリｰン, 78,川須栄, 0.5, 74,   7,   4, 1,  2.3,④④④,14, 4,Ｈグリｰンバｰディｰ, 83,アング, 0.2, 86,   1,* 13, 9, 22.1, ⑩⑩
 5,12,Ｂビキニブロンド, 55,川田将, 0.5, 59,   6, -16, 1,  1.5, ⑤④, 5, 6, ヴァンヘルシング,---,岩田康, 0.7, 52, -16,  -3, 3,  6.5, ⑨⑨, 5, 2,Ｅフィｰルドダンス, 70,幸英明, 0.5, 75,   5,* 10, 7, 47.2,⑧⑦⑦, 4, 7,Ｃサンカルロ, 88,吉田豊, 0.2, 87,  -4,* 18, 4, 10.9, ⑬⑫
 6, 6,Ａシュンマリ, 56,浜中俊, 1.2, 50,   7, -28, 4, 10.9, ⑦⑤, 6, 4, ジョｰマダガスカル,---,田辺裕, 1.0, 44, -12, -15, 5, 20.0, ③③, 6, 7,Ｉマｰジｰビｰト, 65,酒井学, 0.5, 74,   4,*  9, 8, 50.8,⑨⑥⑥, 5, 5,Ｇテイエムオオタカ, 83,和田竜, 0.2, 85,* 10,   4, 7, 15.7, ①①
 7, 2,Ｐサチノポピｰ, 28,和田竜, 1.4, 50,* 11, -36, 8, 52.5, ①①, 7, 8, ベクトル,---,武豊  , 1.2, 42, -14, -15, 4, 15.6, ⑤④, 7, 9,Ｄダイシンマジック, 71,高田潤, 1.1, 68,   3,   3, 6, 21.6,⑦⑨⑩, 6, 1,Ｆエｰシンリジル, 84,岩田康, 0.4, 82,   6,   5, 3,  8.2, ③④
 8,14,Ｇパッションロｰド, 49,酒井学, 1.5, 47,   6, -29,14,240.9, ⑨⑩, 8, 2, タガノボックス,---,藤岡康, 1.2, 44, -16, -10, 9,298.0, ⑦⑦, 8, 4,Ｊマｰティンジｰン, 61,高倉稜, 1.2, 67,   3,   2,11,226.0,⑤⑧⑨, 7, 6,Ｎマジカルポケット, 73,浜中俊, 0.6, 79,   4,   5,13,175.5, ⑦⑧
