11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾑｰﾝﾗｲﾄﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,13,Ｊダイシンライン, 46,小牧太, 3.5, 41,  -5, -14,12,118.0,⑫⑫⑭,13,12,Ｂナリタシルエット, 73,福永祐, 1.7, 60,  -3,   0, 1,  3.2, ⑥⑥,13, 6,Ｌホノカアボｰイ, 76,福永祐, 1.9, 72,   7,   0, 7, 15.3,③④④,13,13,Ｎカリスマロｰレル, 49,松山弘, 2.0, 54, -19,  11,15,244.1, ⑯⑯
14, 5,Ｏアゲマリ, 37,大下智, 3.6, 40,  -5, -16,16,311.5,⑯⑭⑬,14, 2,Ｌマックスシャルビｰ, 60,藤岡康, 1.7, 61,  -5,   3,13,131.2, ⑦⑩,14, 8,Ｎグランブリｰズ, 70,川須栄, 1.9, 73,   2,   9,13,116.2,⑭⑭⑮,14,15,Ｋマスタｰプライド, 60,浜中俊, 2.2, 52,  -8,  -1,12,102.4, ⑫⑫
15,12,Ｍボｰテビュｰティ, 39,酒井学, 4.3, 37,  -6, -20,15,231.0,⑭⑬⑮,15,11,Ｐアルテミス, 56,酒井学, 3.1, 50, -11,  -3,16,412.7, ⑮⑯,15, 9,Ｋシｰクレバｰ, 76,太宰啓, 2.7, 68,   0,   6,14,226.8,⑯⑯⑯,15,12,Ｐクリノワンチャンス, 44,森一馬, 3.1, 43, -15,  -2,16,278.1, ⑭⑮
16, 2,Ｎクｰリドフレイズ, 37,小林慎, 4.6, 35,  -6, -21,14,139.2,⑬⑮⑯,16,10,Ｋファｰザｰリｰプ, 63,川須栄, 3.2, 47,  -3, -13,14,139.5, ⑤⑤,16,12,Ｐメイクセンス, 69,鮫島良, 4.0, 58,* 10, -25, 9, 45.2,①①①,16,11,Ｏジェニコ, 45,熊沢重, 3.8, 38,  -5, -18,14,240.9, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,
"単勝:140円 複勝:15=110円 01=1,040円 14=310円 枠連:3,170円",,,,,,,,,,,,"単勝:340円 複勝:08=200円 16=4,170円 06=330円 枠連:3,600円",,,,,,,,,,,,単勝:210円 複勝:07=120円 03=130円 02=220円 枠連:260円,,,,,,,,,,,,単勝:570円 複勝:05=190円 14=160円 07=190円 枠連:960円,,,,,,,,,,,
"馬連:4,620円 ワイド:01-15=1,460円 14-15=440円 01-14=7,590円",,,,,,,,,,,,"馬連:38,070円 ワイド:08-16=10,030円 06-08=990円 06-16=19,180円",,,,,,,,,,,,馬連:330円 ワイド:03-07=170円 02-07=520円 02-03=430円,,,,,,,,,,,,"馬連:1,090円 ワイド:05-14=450円 05-07=670円 07-14=490円",,,,,,,,,,,
"馬単:5,780円 3連複:14,440円 3連単:56,760円",,,,,,,,,,,,"馬単:44,580円 3連複:133,420円 3連単:858,880円",,,,,,,,,,,,"馬単:570円 3連複:1,220円 3連単:3,600円",,,,,,,,,,,,"馬単:2,390円 3連複:2,420円 3連単:13,010円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
