11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾑｰﾝﾗｲﾄﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 6,Ｆロｰレルイニシオ, 48,松山弘, 2.5, 38,  -7, -14, 5, 12.0, ⑦⑪,12, 1, キクノパラマ,---,川須栄, 1.5, 50, -11,  -8, 7, 13.1, ⑩⑨,12, 7,Ｏヒミノキンカメ, 55,野元昭, 1.1, 62,  -1,   3,15,181.7,⑤④⑥,12, 9,Ｍワキノパワｰ, 66,国分恭, 2.3, 64,* 16, -15,12,159.1,②②②
13,14,Ｇソｰリメンバｰ, 47,和田竜, 2.6, 38,  -4, -17,12,105.5, ⑧⑦,13, 7, メイショウハチドリ,---,北村友, 2.0, 43,*  1, -26,12, 67.0, ①①,13, 8,Ｊミゲｰル, 68,川須栄, 1.1, 64,  -3,   8,11, 87.7,⑧⑫⑮,13, 4,Ｇフィニステｰル, 82,鮫島良, 2.4, 67,  12,  -6,11, 69.8,⑧⑧⑪
14, 1,Ｏデンタルボｰイ, 22,太宰啓, 2.9, 33, -19,  -6,13,225.8, ⑮⑮,14, 6, ラブリｰエンジェル,---,酒井学, 2.0, 43, -12, -13, 8, 15.8, ⑧⑪,14,12,Ｌエイユｰブラッサム, 68,松山弘, 1.1, 66,  -1,   6,14,143.4,⑦⑨⑭,,,,,,,,,,,,
15,13,Ｐテイエムベンケイ, 13,森一馬, 2.9, 33, -22,  -3,15,362.3, ⑯⑯,,,,,,,,,,,,,15,13,Ｍテイエムスリリング, 68,幸英明, 1.1, 66,  -3,  10,13,135.4,⑮⑮⑬,,,,,,,,,,,,
16,16,Ｍテイエムハエハエ, 32,田中健, 3.7, 29, -11, -19,16,375.5, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:4),,,,,,,,,,,
"単勝:1,430円 複勝:02=410円 08=140円 12=220円 枠連:2,130円",,,,,,,,,,,,単勝:440円 複勝:05=180円 13=230円 11=310円 枠連:990円,,,,,,,,,,,,"単勝:1,340円 複勝:15=360円 06=180円 03=420円 枠連:1,400円",,,,,,,,,,,,"単勝:810円 複勝:07=260円 03=220円 13=390円 枠連:1,070円",,,,,,,,,,,
"馬連:1,970円 ワイド:02-08=710円 02-12=1,250円 08-12=480円",,,,,,,,,,,,"馬連:1,520円 ワイド:05-13=590円 05-11=900円 11-13=1,110円",,,,,,,,,,,,"馬連:2,170円 ワイド:06-15=920円 03-15=2,650円 03-06=1,230円",,,,,,,,,,,,"馬連:2,180円 ワイド:03-07=620円 07-13=1,540円 03-13=1,270円",,,,,,,,,,,
