11年 9月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千歳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆタイセイスティング, 52,丸田恭,, 58,   5, -10,11, 44.3,⑥④②, 1, 9,Ａレオパルドゥス, 70,池添謙,, 74,  -2,* 13, 1,  2.9,⑮⑬⑦, 1, 6,Ｉヘリオス, 18,丸田恭,, 77,*  7,* 11, 4, 12.1,②②②, 1, 4,Ｂオリエンタルジェイ, 78,四位洋,, 82,*  2,* 20, 1,  1.6,④③②
 2, 2,Ｂコスモバンディエラ, 64,丹内祐, 0.1, 61,   2,* -5, 4,  9.7,⑨⑩⑨, 2,10,Ｊダイワリュｰリン, 55,的場勇, 0.2, 73,  -4,* 13,11,140.0,⑪⑭⑫, 2, 7,Ｆペガサスキングビｰ, 60,古川吉, 1.3, 66,*  7,  -1, 3,  7.1,①①①, 2, 2,Ｃタケショウカヅチ, 77,丸山元, 0.5, 77,*  2,  14, 3,  4.0,①①①
 3, 9,Ａミレニアムゴｰルド, 66,三浦皇, 0.1, 59,   4, -10, 1,  2.8,⑤⑥⑥, 3,14,Ｍレジアｰネ, 46,丸山元, 0.2, 71,  -1,*  8, 7, 24.9,⑬⑩⑨, 3, 4,Ｄアｰトオブダンサｰ, 64,川島信, 1.4, 68,   2,*  7, 7, 35.7,⑦⑧⑦, 3, 5,Ｆマックスドｰズ, 60,宮崎北, 1.0, 72,*  2,  12, 5, 62.2,②②④
 4,11,Ｊベルエアカイザｰ, 44,池添謙, 0.2, 58,   3,* -9, 5, 13.7,⑦⑨⑤, 4,13,Ｂナリタボルト, 69,秋山真, 0.5, 66,   2,  -3, 4,  6.6,⑦⑤⑤, 4, 8,Ａリンガスアクタｰ, 74,三浦皇, 1.6, 68,   4,   2, 2,  4.2,⑨⑥⑤, 4, 3,Ａナムラグｰテン, 79,古川吉, 1.0, 72,   1,  13, 2,  3.5,⑥⑤③
 5, 6,Ｋスペリオビｰン, 41,四位洋, 1.0, 53,   5, -18, 2,  3.0,⑩⑤④, 5,11,Ｅブルｰスビスティｰ, 64,吉田隼, 0.7, 66,   1,  -2, 3,  6.0,⑥⑧⑧, 5, 1,Ｂトｰセンヤッテキタ, 70,丸山元, 2.1, 63,   5,  -4, 1,  1.7,③③③, 5, 1,Ｅマンテンマックス, 64,芹沢純, 2.0, 68,  -1,   8, 6, 71.0,⑤⑥⑥
 6, 1,Ｇナムラプラトｰン, 52,柴山雄, 1.1, 50,*  7, -23, 9, 37.3,①①①, 6, 4,Ｃスクエアナンバｰ, 65,三浦皇, 0.9, 63,*  3, -13, 5,  7.1,③②③, 6, 2,Ｅサザンパシフィック, 63,勝浦正, 2.2, 62,   3,  -2, 6, 15.9,⑤⑤⑥, 6, 6,Ｄデミチンタ, 70,津村明, 2.2, 64,   1,   2, 4, 13.7,③④⑤
 7, 4,Ｈマイネルハｰシェル, 50,津村明, 1.4, 49,   1, -15,12,133.5,⑬⑬⑬, 7,15,Ｇゴｰルデングロｰブ, 61,藤岡佑, 0.9, 65,   1,  -6, 2,  3.8,⑨⑥⑥, 7, 3,Ｃシャイニｰベスト, 64,西村太, 2.3, 62,   5,  -5, 5, 13.7,④④④,,,,,,,,,,,,
 8,12,Ｍバトゥｰラ, 23,勝浦正, 1.6, 47,   5, -25,10, 41.7,③③⑦, 8, 6,Ｋラベンダｰベル, 47,柴山雄, 1.1, 63,  -3,   2,14,399.5,⑩⑮⑮, 8, 9,Ｇビッグショット, 59,黛弘人, 3.5, 55,   3, -13, 8, 44.2,⑥⑦⑧,,,,,,,,,,,,
