11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃサウンドボルケｰノ, 61,福永祐,, 68,* 13,* -9, 1,  2.4, ①①, 1, 4, サクラシオン,---,小牧太,, 72,   0,*  5, 3,  5.5, ③③, 1, 1,Ｃエアラフォン, 78,岩田康,, 85,   4,* 14, 1,  2.4, ⑤⑤, 1, 3,Ａゴルトブリッツ, 94,川田将,, 89,* 15,*  8, 1,  1.6,②②①
 2,11,Ｂスナｰクワイルド, 65,秋山真, 0.5, 63,  12, -12, 3,  5.3, ④③, 2, 2, キタサンフクジン,---,福永祐, 0.2, 70,*  3,  -1,10, 34.1, ①①, 2, 3,Ｄアドマイヤロイヤル, 78,安藤勝, 0.3, 79,*  7,   5, 2,  3.5, ②③, 2,11,Ｂサンマルボス, 84,国分恭, 0.3, 88,  14,   7, 4, 11.1,⑧④③
 3, 8,Ｉパワフルキリシマ, 53,幸英明, 0.9, 61,  10, -12, 5, 14.7, ⑥④, 3,15, ミラクルベリｰ,---,池添謙, 0.3, 69,*  2,  -1, 7, 20.1, ②②, 3, 9,Ｂナリタスレンダｰ, 79,藤田伸, 0.3, 81,   1,* 16, 3,  6.1, ⑨⑨, 3, 6,Ｄキャプテンマジン, 83,小牧太, 0.4, 83,  13,*  9, 6, 21.4,⑦⑦⑦
 4,12,Ａトｰセンレラ, 70,安藤勝, 1.1, 58,* 14, -19, 2,  3.1, ②②, 4, 3, ケイト,---,リスポ, 0.5, 67,  -3,*  3, 5,  9.5, ⑦⑤, 4, 7,Ｇピｰスピｰス, 76,川田将, 0.4, 80,   1,* 13, 8, 37.6, ⑧⑧, 4,10,Ｇトップコマチ, 77,国分優, 0.6, 83,  14,   4,11,183.0,⑥⑥④
 5,13,Ｋナムラバンケット, 44,国分恭, 1.1, 58,   6,*-10,11, 65.3, ⑪⑦, 5, 1, スタｰリットスカイ,---,国分恭, 0.6, 67,  -4,*  4,11, 65.0, ⑩⑧, 5, 4,Ａトゥリオンファｰレ, 86,リスポ, 0.4, 77,   5,   5, 4,  8.6, ③④, 5, 9,Ｃトップオブパンチ, 83,佐藤哲, 0.9, 83,  13,   4, 5, 11.5,⑪⑧⑥
 6, 3,Ｇカネトシファイタｰ, 53,国分優, 1.5, 54,   8, -15, 8, 47.0, ⑧⑧, 6, 7, エアワンピｰス,---,武豊  , 1.0, 61,   0,  -8, 1,  2.8, ④④, 6, 6,Ｆサバｰス, 77,福永祐, 0.4, 78,   4,   8, 7, 24.8, ⑥⑥, 6, 5,Ｅオｰスミイレブン, 80,四位洋, 1.3, 79,* 15,  -3, 2,  4.2,④③②
 7, 9,Ｎダイヤモンドアロｰ, 28,佐藤哲, 1.6, 53,   3,* -9,10, 55.5, ⑬⑪, 7,12, ゴットラウディｰ,---,幸英明, 1.1, 61,  -3,  -6, 9, 29.8, ⑧⑥, 7,12,Ｈテｰブルスピｰチ, 76,四位洋, 0.5, 78,   3,  10, 6, 15.7, ⑦⑦, 7, 4,Ｉゴｰルドスミス, 76,岩田康, 3.7, 67,  11, -14, 9,114.8,⑨⑩⑩
 8, 6,Ｅウイングオブピｰス, 55,リスポ, 1.9, 51,   7, -18, 4,  9.3, ⑩⑨, 8,11, シルククロノス,---,岩田康, 1.2, 62,  -7,   1, 8, 21.9, ⑫⑫, 8, 8,Ｅジョｰメテオ, 77,武豊  , 0.6, 74,*  9,  -3, 5,  9.7, ④①, 8, 1,Ｋメイショウシンドウ, 72,浜中俊, 3.8, 64,  11, -16, 7, 50.1,⑤⑨⑨
 9, 7,Ｄアップヒルティガｰ, 55,岩田康, 2.7, 45,   3, -20, 6, 26.6, ⑫⑬, 9, 9, ディアヴァンドｰム,---,藤田伸, 1.2, 60,  -4,  -4, 2,  5.3, ⑨⑩, 9, 5,Ｊワｰルドロレックス, 73,池添謙, 1.0, 71,*  7,  -4,10,103.4, ①②, 9, 2,Ｆビｰチランデブｰ, 78,リスポ, 3.8, 64,  14, -22, 3, 10.5,③⑤⑤
10, 1,Ｊダイナミックガｰド, 46,小林徹, 2.8, 44,  10, -29,12, 82.3, ⑤⑥,10, 6, ナリタカサブランカ,---,渡辺薫, 1.6, 58,  -4,  -9, 4,  7.4, ⑪⑪,10,10,Ｉアルｰリングムｰン, 74,秋山真, 1.2, 71,  -3,   9, 9, 49.2, ⑪⑪,10, 8,Ｊスナｰクツバサ, 72,幸英明, 5.4, 55,* 15, -38,10,120.7,①①⑧
11, 4,Ｆホワイトスパルタン, 54,熊沢重, 2.8, 45,   7, -26, 7, 45.9, ⑨⑩,11, 5, レジアｰネ,---,川田将, 2.3, 49, -10, -10, 6, 10.5, ⑬⑬,11,11,Ｋドリｰムガｰドナｰ, 71,浜中俊, 1.7, 66,  -4,   6,11,104.0, ⑫⑫,11, 7,Ｈホワイトベッセル, 76,福永祐, 8.2, 43,   9, -50, 8, 92.4,⑩⑪⑪
12, 2,Ｈジョウショｰコトミ, 53,浜中俊, 3.2, 42,   9, -29, 9, 49.7, ⑦⑫,12, 8, ロングコウテイ,---,小林徹, 2.4, 48, -12,  -7,14,275.1, ⑭⑭,12, 2,Ｌテｰオｰエンジェル, 60,藤岡佑, 1.7, 65,  -2,   0,12,147.8, ⑩⑩,,,,,,,,,,,,
13,10,Ｌマヤノラスティｰ, 37,古川吉, 4.3, 33,  11, -43,13,209.0, ③⑤,13,10, プランタニエ,---,田中克, 2.9, 39,   0, -35,13,250.4, ⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Ｍサンドイシュｰ, 32,藤岡佑,10.7,-34, -25, -53,14,271.7, ⑭⑭,14,14, キングロンピｰタｰ,---,秋山真, 3.0, 40, -15, -11,12,103.6, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,13, ジパングキャンドル,---,浜中俊, 3.0, 41, -12, -15,15,309.1, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,16, ファｰザｰリｰプ,---,熊沢重, 4.8, 24,  -1, -60,16,404.7, ⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,
単勝:240円 複勝:05=120円 11=160円 08=290円 枠連:180円,,,,,,,,,,,,"単勝:550円 複勝:04=230円 02=750円 15=600円 枠連:2,200円",,,,,,,,,,,,単勝:240円 複勝:01=120円 03=130円 09=150円 枠連:400円,,,,,,,,,,,,単勝:160円 複勝:03=110円 11=200円 06=330円 枠連:620円,,,,,,,,,,,
馬連:650円 ワイド:05-11=280円 05-08=570円 08-11=870円,,,,,,,,,,,,"馬連:5,200円 ワイド:02-04=1,790円 04-15=1,850円 02-15=4,870円",,,,,,,,,,,,馬連:400円 ワイド:01-03=180円 01-09=280円 03-09=350円,,,,,,,,,,,,"馬連:660円 ワイド:03-11=310円 03-06=640円 06-11=1,170円",,,,,,,,,,,
"馬単:890円 3連複:2,390円 3連単:6,740円",,,,,,,,,,,,"馬単:9,520円 3連複:31,440円 3連単:162,930円",,,,,,,,,,,,"馬単:720円 3連複:810円 3連単:2,500円",,,,,,,,,,,,"馬単:760円 3連複:3,330円 3連単:7,280円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
