11年 8月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂアイラブリリ, 55,国分恭,, 62,* -2,*  3, 2,  5.4, ②②, 1, 4,Ａオｰヴァｰジョイド, 69,和田竜,, 70,   1,* 13, 2,  3.2,⑧⑧⑦, 1, 6,Ａエバｰグリｰン, 68,川須栄,, 79,   0,* 14, 1,  2.2,⑭⑨④, 1, 8,Ｂヤマカツゴｰルド, 75,松山弘,, 76,   0,* 13, 2,  5.5,⑪⑬⑪
 2,10,Ｄミヤジチョビ, 40,和田竜, 0.9, 50,* -3,  -7, 4, 11.0, ③③, 2,15,Ｂインペリアルピサ, 68,川田将, 0.2, 67,*  2,*  8, 1,  2.4,⑦④④, 2,12,Ｅメイショウシレトコ, 58,武豊  , 0.8, 68,*  7, -11, 5, 10.0,⑦②①, 2,11,Ｄティボリペガサス, 70,高倉稜, 0.0, 74,   4,   6,12,141.8,⑥⑤⑤
 3, 2,Ｃカジキ, 49,川須栄, 1.0, 49,* -1, -11, 1,  1.3, ①①, 3,11,Ｅネオリアライズ, 64,川須栄, 0.2, 66,*  3,*  7, 3,  5.9,②②②, 3, 8,Ｉタイムウィルフライ, 54,川田将, 1.8, 58,   4, -21, 7, 23.2,⑤③②, 3,14,Ａリバｰハイランド, 76,太宰啓, 0.4, 69,   1,   3, 1,  2.0,⑩⑧⑥
 4, 9,Ａエｰシンブランシュ, 58,川田将, 1.2, 46,  -4,  -9, 3,  7.8, ⑤④, 4,10,Ｎシゲルヒラトリ, 45,国分恭, 0.8, 62,*  3,   1,12,204.1,①①①, 4,11,Ｄペガサスイエロｰ, 61,和田竜, 1.8, 60,   5, -20, 2,  4.4,⑨⑥③, 4,13,Ｃネオザウイナｰ, 72,川田将, 0.5, 68,*  5,  -6, 4,  8.0,③③③
 5,11,Ｈユキノクンシラン, 32,野元昭, 1.5, 39,  -7, -11, 5, 64.8, ⑦⑦, 5, 2,Ｇエアカｰネリアン, 62,太宰啓, 1.0, 60,*  2,   2, 5, 13.9,③⑤⑤, 5,15,Ｆナリタサジタリウス, 57,藤岡康, 1.9, 59,  -4,  -3,12,122.5,⑮⑭⑩, 5,10,Ｅオリエンタルコｰル, 70,酒井学, 0.5, 70,   1,   3, 8, 27.9,⑨⑩⑨
 6,13,Ｇノｰプラン, 32,真島正, 1.8, 37,  -5, -18,10,174.7, ⑥⑤, 6,16,Ｃタマモアイガｰ, 65,水口優, 1.6, 57,   1,  -1,10, 77.5,⑨⑨⑨, 6,14,Ｃグッドワン, 62,国分恭, 2.0, 58,  -3,  -6,11,114.0,⑫⑪⑨, 6, 6,Ｋブルｰモｰメント, 63,北村友, 0.5, 68,   4,  -3, 5,  9.8,④④④
 7, 7,Ｋシゲルカボス, 26,藤懸貴, 1.9, 34, -10, -14,13,343.9, ⑪⑨, 7, 8,Ｄネオファッショ, 65,国分優, 1.7, 56,   1,  -3, 6, 20.5,⑥⑦⑥, 7,18,Ｊシャイニンオｰラ, 53,北村友, 2.2, 54,   0, -16, 6, 17.5,⑬⑧⑦, 7, 3,Ｉマｰジｰビｰト, 64,真島正, 0.6, 68,  -2,   6,11,127.2,⑫⑫⑫
 8, 3,Ｌシゲルマスカット, 17,北村友, 2.0, 32, -10, -15, 6, 94.9, ⑧⑩, 8,14,Ｉメイショウフウジン, 60,田嶋翔, 1.8, 57,  -2,   3, 7, 30.1,⑫⑫⑪, 8,17, ペルセンプレ,---,松山弘, 2.3, 57,  -5,  -3,10,104.8,⑰⑯⑭, 8, 2,Ｌシゲルジョウム, 60,川須栄, 0.9, 65,   1,  -3,13,175.6,⑧⑨⑩
