11年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂカノヤミノリ, 49,佐藤哲,, 50,*  2,* -6, 1,  1.3, ③③, 1, 9,Ｂロイヤルインパクト, 64,和田竜,, 68,  -8,* 15, 2,  4.3,④④④, 1,12,Ａゴットラウディｰ, 68,国分優,, 68,   2,*  0, 1,  2.0,⑤⑤③, 1, 3,Ｅアイファｰソング, 79,川須栄,, 77,*  5,* 14, 2,  4.6,①①①
 2,14,Ａドナメデュｰサ, 50,浜中俊, 0.2, 45,  -2,* -5, 2,  5.2, ⑦⑥, 2,16,Ａレッドデセｰオ, 64,小牧太, 0.6, 60,* -7,   8, 1,  2.9,③③③, 2,15,Ｂモｰタウンサウンド, 63,藤岡康, 0.0, 68,*  3,  -1, 3,  4.8,④③①, 2,12,Ｂエｰシンマダムジｰ, 82,川田将, 0.3, 78,   2,* 18, 4,  7.8,⑫⑪⑧
 3, 1,Ｄアクアブルｰライト, 39,国分優, 0.3, 46,*  5, -13, 4, 21.8, ①①, 3, 4,Ｅファｰマペニｰ, 62,幸英明, 1.2, 63, -13,* 15,11, 55.4,⑬⑬⑪, 3, 9,Ｅニシノフェイム, 60,武豊  , 0.3, 67,   1,*  0, 4,  8.9,⑦⑦⑦, 3, 1,Ｏテｰオｰエンジェル, 63,藤岡康, 0.8, 74,   3,  14,14,190.1,⑦⑨④
 4, 8,Ｇミヤジチョビ, 36,和田竜, 0.5, 43,   1, -11, 3,  8.6, ⑤⑤, 4, 3,Ｌプレシャスマリン, 57,太宰啓, 1.2, 59, -12,* 12,10, 45.5,⑩⑪⑨, 4, 2,Ｉサンライズスタｰ, 50,高倉稜, 0.4, 66,  -2,*  4, 6, 18.8,⑫⑫⑪, 4, 2,Ｍスマイルミッキｰ, 65,田辺裕, 0.9, 72,*  4,  10,13,151.0,④④③
 5, 6,Ｋデンコウベリル, 27,松山弘, 0.7, 37,  -5,  -9, 7, 55.0, ⑧⑦, 5,12,Ｊルクスヴェｰラ, 59,北村友, 1.2, 58, -11,  10, 7, 17.5,⑥⑦⑤, 5,11,Ｃストリｰトマジック, 62,浜中俊, 0.6, 65,   0,  -1, 2,  4.3,⑬⑪⑧, 5, 8,Ｄナリタカｰビン, 81,赤木高, 1.0, 74,   0,* 16, 6, 12.6,⑬⑮⑭
 6, 4,Ｃクｰルラオウ, 39,太宰啓, 1.0, 31, -16,* -2, 8, 72.1, ⑮⑮, 6, 2,Ｇフェイスバンブｰ, 60,国分優, 1.3, 57,* -6,   2, 6, 12.4,①①①, 6,13,Ｄマイネクラレット, 60,幸英明, 0.6, 62,   2,  -8, 5, 16.7,⑥⑥②, 6, 5,Ｉライコウテンユウ, 76,和田竜, 1.1, 72,   2,  10,10, 54.6,⑤⑧⑦
 7,11,Ｆサンマルリジイ, 36,田辺裕, 1.0, 31, -10,  -7, 5, 37.6, ⑬⑩, 7,15,Ｄキュｰダスバンブｰ, 63,鷹野宏, 1.3, 58, -11,   9, 8, 31.0,⑧⑨⑩, 7,16,Ｐサンライズアポロン, 30,国分恭, 0.7, 61,   0,  -7, 8, 46.8,⑪⑧④, 7, 4,Ｆテイエムドンマイ, 79,幸英明, 1.3, 70,*  4,   5, 5,  9.1,②③⑤
 8, 5,Ｊクリノカリスマ, 31,幸英明, 1.1, 36,*  3, -22, 6, 43.8, ②②, 8, 7,Ｃスカイプラネット, 63,藤懸貴, 1.5, 58, -11,   9, 5, 10.5,⑫⑩⑬, 8, 1,Ｇユウタｰチェイサｰ, 55,森一馬, 1.3, 55,  -1, -11,10,145.0,⑨⑨⑩, 8, 9,Ａタガノジョｰカｰ, 83,国分恭, 1.6, 68,   2,   8, 3,  4.8,⑧⑩⑨
