11年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出石特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃセラヴィ, 60,国分優,, 63,*  1,  -3, 5,  8.6, ②②, 1, 8, ピカピカテッタ,,北沢伸,,,,, 1,  2.7,②②①, 1, 4,Ａジャングルストｰン, 76,国分恭,, 72,* 18, -34, 2,  4.7,②②②, 1, 2,Ｂエｰシンダックマン, 79,岩田康,, 84,* 10,*  7, 1,  1.7, ①①
 2, 9,Ｂメイショウナナイロ, 61,岩田康, 0.1, 61,*  3,  -6, 1,  2.5, ①①, 2, 9, リアルヴィクトリｰ,,中村将,208.6,,,, 3,  6.0,⑦④③, 2, 2,Ｅマルカゴクウ, 68,松山弘, 0.3, 71,  16,*-31, 6, 75.6,⑦⑥⑦, 2, 7,Ｄモトヒメ, 76,太宰啓, 0.6, 77,   6,   5, 5, 11.0, ③③
 3, 4,Ｆランファン, 53,幸英明, 0.3, 60,*  0,  -5,11, 37.4, ③③, 3, 6, スプリングカエサル,,白浜雄,209.3,,,, 9, 26.5,③③②, 3, 1,Ｃリッカタキシｰド, 70,酒井学, 0.8, 68,  16, -38, 7, 92.9,⑥⑦⑤, 3, 3,Ｃキョウワマグナム, 77,小牧太, 0.6, 76,   7,   3, 2,  5.6, ②②
 4, 7,Ｅアドマイヤシケｰダ, 56,小牧太, 0.4, 59,*  0,  -6, 7, 21.3, ④④, 4,13, シデンカイ,,草野太,209.7,,,,10, 31.7,⑫⑦④, 4, 5,Ｄサイドアタック, 68,ウィリ, 0.8, 66,  17, -43, 3,  5.4,④③④, 4, 8,Ｆピｰスピｰス, 75,川田将, 0.6, 78,   5,*  7, 6, 25.1, ⑥⑤
 5, 6,Ａマウントフジ, 66,福永祐, 0.4, 59,  -4,  -2, 2,  5.3, ⑧⑦, 5, 7, スリｰサンフレンチ,,林満明,210.9,,,, 5, 15.6,⑤⑥⑤, 5, 3,Ｂロｰドヴィオレット, 71,高倉稜, 0.9, 67,  17, -44, 1,  1.5,③④③, 5, 4,Ａナリタシリカ, 81,ウィリ, 0.7, 76,   5,   6, 4,  6.6, ⑤⑥
 6, 3,Ｄグランドコリン, 57,国分恭, 0.5, 57,  -8,*  0, 6, 14.1, ⑪⑨, 6,11, マックスチャンプ,,高田潤,211.2,,,, 4, 11.2,⑥⑧⑥, 6, 7,Ｆスズノブレイヴ, 66,国分優, 3.2, 58,* 18, -80, 5, 18.7,①①①, 6, 6,Ｇアルｰリングムｰン, 73,幸英明, 1.1, 73,   0,*  8, 3,  6.3, ⑧⑧
 7,10,Ｊリボルトレイダｰ, 49,石橋守, 0.5, 59,  -9,*  2, 8, 27.8, ⑭⑫, 7, 5, シュンリキ,,植野貴,211.4,,,, 7, 20.6,⑨⑩⑨, 7, 6,Ｇグランクロワ, 66,川須栄, 4.1, 23,  16, -86, 4,  9.5,⑤⑤⑥, 7, 1,Ｅメイショウジェイ, 75,飯田祐, 1.1, 71,   5,   1, 7, 51.7, ④④
 8,15, レディｰコロンブス,---,高倉稜, 0.6, 56, -14,*  5, 3,  6.4, ⑯⑮, 8,12, プラテアｰド,,横山義,211.4,,,, 6, 17.3,⑧⑨⑦,,,,,,,,,,,,, 8, 5,Ｈマｰブルアロｰ, 71,北村友, 1.9, 62,   1,  -4, 8, 62.3, ⑦⑦
 9,16,Ｍミヤコレッドロｰズ, 39,北村友, 0.7, 55,  -4,  -5,10, 37.2, ⑦⑧, 9, 4, ノワｰルシチｰ,,山本康,211.9,,,, 8, 23.3,⑩⑪⑩,,,,,,,,,,,,,,,,,,,,,,,,
10,13,Ｋサイクロニスト, 48,太宰啓, 1.1, 51,  -8,  -5,12, 81.7, ⑩⑪,10,14, マｰブルジｰン,,黒岩悠,212.2,,,,12, 64.9,⑪⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
11, 1,Ｌインテンスラン, 40,松山弘, 1.6, 47,  -9,  -9,13,138.1, ⑬⑬,11, 2, ユウタｰラッキｰ,,蓑島靖,212.3,,,,13,113.8,⑬⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
12, 2, ニシノニシキ,---,浜中俊, 1.6, 48,  -2, -15, 9, 28.8, ⑥⑤,12,10, オｰルフォｰミｰ,,宗像徹,212.7,,,,11, 44.2,④⑤⑧,,,,,,,,,,,,,,,,,,,,,,,,
