11年11月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3100m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢佐木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂフォルテリコルド, 58,蛯名正,, 51,*  2,  -9, 2,  5.5, ②②, 1, 7, メジロクリントン,,江田勇,,,,, 3, 10.3,①①①, 1, 7,Ａクリｰムソｰダ, 83,横山典,, 72,* -5,* 19, 1,  1.4, ②②, 1,10,Ｄクジュウクシマ, 82,後藤浩,, 85,  13,*  9, 5, 10.8,⑬⑪⑧
 2, 8,Ａドラゴンプライド, 63,三浦皇, 0.1, 51,*  2, -11, 1,  1.6, ①①, 2, 9, サトノバロン,,横山義,210.7,,,, 1,  2.0,⑥④③, 2, 1,Ｈクレヨンロケット, 52,田辺裕, 0.4, 70,  -7,  17, 3,  7.0, ③④, 2, 1,Ｆレックスパレｰド, 80,松岡正, 0.2, 84,* 16,   0, 3,  7.6,①①①
 3, 1,Ｇスピｰディｰドｰタ, 45,田辺裕, 0.2, 51,  -1,  -6, 5, 13.6, ③③, 3,12, サトノケンオｰ,,熊沢重,211.2,,,, 2,  4.9,⑦③②, 3, 3,Ｃドビュッシｰ, 72,柴田善, 0.5, 70,  -6,  17, 4, 10.0, ⑦⑥, 3, 3,Ｂクラブトゥギャザｰ, 84,三浦皇, 0.6, 81,  12,*  6, 2,  3.5,⑩⑫⑪
 4,16,Ｉドルモン, 41,柴田善, 0.2, 51,  -6,* -1, 8, 33.9, ⑨⑧, 4,11, ファイトシｰン,,植野貴,211.3,,,, 8, 18.2,⑨⑦⑦, 4, 2,Ｄケイバズキ, 66,北村宏, 0.6, 71,  -7,* 19, 7, 53.5, ⑥⑦, 4,11,Ａギャザｰロｰジズ, 87,田辺裕, 0.7, 81,  12,*  6, 1,  2.5,⑮⑭⑬
 5, 3,Ｅキョウワアｰク, 46,石橋脩, 0.2, 50,  -3,  -5,11, 78.9, ④④, 5, 4, スズマｰシャル,,鈴木慶,211.3,,,,11, 59.4,④⑤⑤, 5, 4,Ｂヴァルディヴィア, 74,蛯名正, 0.8, 66,  -6,  13, 2,  6.2, ④③, 5, 2,Ｇニシノヴァンクｰル, 79,蛯名正, 0.9, 79,  14,  -3, 4,  8.9,②③③
 6,10,Ｃテイエムデジタル, 53,小林淳, 0.5, 49,  -6,  -4, 6, 16.5, ⑧⑦, 6,10, ゴｰルデンカイザｰ,,北沢伸,211.4,,,,12,138.1,⑧⑨⑧, 6, 6,Ｅリンゴット, 64,武士沢, 1.3, 62,* -5,   7, 5, 18.4, ①①, 6,15,Ｅエｰシングレｰソロ, 82,石橋脩, 1.0, 79,  11,*  6, 9, 51.4,⑯⑯⑯
 7, 7,Ｄミラクルミイクン, 52,江田照, 0.5, 48,  -5,  -5, 4, 13.0, ⑦⑥, 7, 5, リワｰドクラウン,,五十嵐,211.7,,,, 7, 15.7,⑫⑫⑫, 7, 8,Ｇグランマルシェ, 54,三浦皇, 1.4, 63,  -7,   9, 6, 29.6, ⑤⑤, 7,12,Ｉエｰシンバリントン, 78,丸山元, 1.0, 79,  14,  -2, 7, 22.5,⑦⑦⑥
 8,13,Ｏスズカヴィグラス, 30,ベリｰ, 1.3, 43, -16,*  3,10, 76.8, ⑯⑯, 8, 2, マンドリｰカ,,穂苅寿,211.8,,,, 6, 15.6,③⑪⑩, 8, 5,Ｆハッピｰデュランダ, 58,江田照, 2.0, 58,  -8,   7, 8,165.2, ⑧⑧, 8,14,Ｃパクサ, 82,武士沢, 1.3, 77,  12,  -1, 6, 14.0,⑧⑧⑨
