11年 9月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,弥彦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｊケｰジｰハヤブサ, 42,福永祐,, 61,*  0,*  3, 3,  4.3, ①①, 1, 8, ダンスフォｰウィン,,横山義,,,,, 1,  3.0,④⑤④, 1, 5,Ａファントムロｰド, 67,福永祐,, 74,*  3,*  3, 1,  1.5, ④⑤, 1,12,Ｇシンボリアニマｰト, 80,大野拓,, 74,* 18, -20, 6, 19.5, ①①
 2, 5,Ａチャンピオンヤマト, 57,吉田豊, 0.5, 56,  -5,*  3, 2,  3.0, ⑤⑤, 2, 6, スズカケノミチ,,高野和,188.1,,,, 2,  4.2,①①①, 2, 8,Ｂオｰガストウェイ, 66,石橋脩, 0.1, 75,   1,* 10, 5, 17.4, ⑬⑬, 2, 8,Ａマナクｰラ, 85,田辺裕, 0.1, 80,   4,* 15, 1,  2.6, ⑪⑦
 3, 3,Ｃカジキ, 49,田中勝, 0.8, 55,* -2,  -2, 1,  2.9, ②②, 3,12, ビルトミｰアップ,,浜野谷,188.9,,,, 6, 24.7,③②②, 3,12,Ｄサンレガｰロ, 65,藤岡康, 0.4, 71,   3,*  3, 3,  8.3, ⑥⑦, 3, 2,Ｃギュスタｰヴクライ, 82,蛯名正, 0.1, 80,   4,* 14, 2,  3.0, ⑥⑥
 4,11,Ｉコスモレイラ, 43,木幡初, 1.1, 51,* -3,  -4, 6, 24.4, ③④, 4,13, ウィアｰザスタｰ,,大庭和,189.9,,,, 5,  8.3,⑥⑥⑥, 4, 3,Ｃピカソ, 66,北村宏, 0.6, 65,*  5,  -8, 2,  5.1, ②②, 4, 6,Ｌインザブラック, 72,木幡初, 0.5, 73,*  8,  -2, 9, 66.8, ②②
 5, 9,Ｅトキノワイルド, 48,江田照, 1.3, 49,  -6,  -3, 4, 10.8, ⑥⑦, 5,11, スｰパｰティチャｰ,,大江原,190.2,,,, 7, 32.9,⑪⑨⑨, 5, 6,Ｆミケランジェロ, 64,武士沢, 0.7, 68,  -1,*  4, 8, 49.0, ⑫⑫, 5,13,Ｂプラｰジュ, 82,柴田善, 0.6, 77,   1,* 13, 5, 17.6, ⑭⑭
 6,14,Ｈテイエムデジタル, 44,小林淳, 1.3, 49,  -7,  -2, 8, 31.9, ⑧⑥, 6,10, グラスサミット,,金子光,190.5,,,, 8, 45.0,⑤③③, 6, 1,Ｅメマンチンタ, 64,蛯名正, 1.0, 64,   1,  -4, 4, 13.2, ⑩⑩, 6,10,Ｉフサイチオフトラ, 77,吉田豊, 0.7, 74,   3,  10, 8, 49.3, ⑨⑪
 7,15,Ｂデルマエビス, 49,中谷雄, 1.5, 48,* -3,  -7,11, 48.3, ④③, 7, 9, マサデパン,,山本康,190.6,,,,12, 84.6,②④⑤, 7,16,Ｉウエスタンベルｰガ, 57,村田一, 1.2, 61,  -1,  -5, 9, 53.3, ⑪⑪, 7,15,Ｍジェイケイラン, 71,江田照, 0.7, 76,   0,* 16,14,291.0, ⑮⑮
 8, 7,Ｄマウントビスティｰ, 48,武士沢, 1.8, 44,  -7,  -6, 5, 17.7, ⑨⑧, 8, 1, ブルｰシｰズン,,水出大,191.0,,,,10, 69.6,⑧⑦⑦, 8,17,Ｊエｰブマンテン, 54,小林淳, 1.4, 58,   1,  -9,13,309.5, ⑨⑨, 8, 9,Ｋアマミスウィフト, 72,武士沢, 0.9, 73,   1,  10,13,174.8, ⑬⑫
 9, 1,Ｎトウショウテイスト, 21,嶋田純, 1.9, 44,  -8,  -7,14,349.1, ⑩⑪, 9, 4, ソｰクアップザサン,,草野太,191.6,,,, 4,  5.6,⑨⑧⑧, 9,11,Ｈレｰルスプリッタｰ, 59,田辺裕, 1.4, 59,  -5,   1, 7, 37.6, ⑱⑱, 9, 3,Ｄロｰレルエルヴェル, 81,小林淳, 1.0, 69,   3,   4,11, 78.2, ⑩⑩
10, 6,Ｇマイネベルヴィ, 44,蛯名正, 2.1, 42,  -7,  -8, 9, 37.1, ⑪⑩,10, 7, コアレスコジｰン,,穂苅寿,194.3,,,,13, 90.9,⑬⑪⑩,10,10,Ｌヒカリエンジェル, 47,中谷雄, 1.7, 56,  -2, -10,14,468.6, ⑰⑯,10,14,Ｅアドマイヤセナ, 80,福永祐, 1.0, 71,   3,   4, 4,  6.7, ⑧⑨
11, 2,Ｍエクセレントアイ, 28,杉原誠, 2.5, 39, -10,  -9,15,447.1, ⑭⑬,11, 3, ヘイセイレジェンド,,石神深,196.0,,,, 9, 52.3,⑦⑩⑪,11, 2,Ｐオウエイロブロイ, 35,吉田豊, 1.9, 51,*  5, -27,10,133.4, ①①,11, 1,Ｎストｰンヘンジ, 70,田中勝, 1.0, 72,   1,   8, 3,  5.7, ⑫⑬
12, 8,Ｋソルナシエンテ, 34,小野寺, 2.7, 39,  -9, -12,10, 46.0, ⑬⑭,12, 2, オウロプレット,,五十嵐,196.8,,,, 3,  4.7,⑫⑫⑫,12, 7,Ｇアルメナｰラ, 62,大野拓, 2.2, 51,*  4, -29, 6, 33.3, ⑤③,12, 7,Ｊネオスピリッツ, 74,中舘英, 1.2, 67,*  8, -11,10, 68.1, ③③
13,12,Ｌリズムディヴァイン, 28,柴田善, 3.1, 34,  -8, -16, 7, 29.2, ⑫⑫,13, 5, クリノサンデｰママ,,平沢健,196.8,,,,11, 71.9,⑩⑬⑬,13,14,Ｏオンワｰドガイア, 35,五十嵐, 3.1, 42,   1, -36,17,931.1, ⑧⑥,13, 4,Ｈハイゲｰト, 79,北村宏, 1.3, 66,   5,  -5,12, 96.6, ⑤④
14, 4,Ｏホンインボウ, 19,的場勇, 4.7, 21, -19, -21,13,303.6, ⑮⑮,,,,,,,,,,,,,14, 4,Ｍデンコウハヤテ, 42,高嶋活, 3.1, 41,  -4, -26,15,526.9, ⑭⑭,14, 5,Ｆゴｰルドスパｰクル, 80,石橋脩, 1.4, 67,   3,  -2, 7, 40.7, ⑦⑧
15,13,Ｆカシノベイブレｰド, 46,二本柳, 5.7, 10,  -6, -42,12,125.6, ⑦⑨,,,,,,,,,,,,,15,13,Ｒレッドフィオｰレ, 30,田中勝, 3.6, 37,   1, -42,11,160.5, ⑦⑧,15,11,Ｏミサトフリｰト, 65,嶋田純, 7.3, -3,   2, -89,15,530.4, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｎヨシサリイ, 38,江田照, 4.0, 35,*  3, -54,16,637.2, ③④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｋマツマエザクラ, 52,嶋田純, 4.4, 31,  -4, -47,12,281.7, ⑮⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｑラシアンタンカｰド, 30,西田雄, 5.2, 26,  -3, -57,18,951.6, ⑯⑮,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
単勝:430円 複勝:10=130円 05=130円 03=130円 枠連:580円,,,,,,,,,,,,単勝:300円 複勝:08=140円 06=160円 12=510円 枠連:520円,,,,,,,,,,,,単勝:150円 複勝:05=110円 08=240円 12=190円 枠連:610円,,,,,,,,,,,,"単勝:1,950円 複勝:12=340円 08=130円 02=140円 枠連:1,060円",,,,,,,,,,,
馬連:700円 ワイド:05-10=250円 03-10=260円 03-05=260円,,,,,,,,,,,,"馬連:650円 ワイド:06-08=260円 08-12=860円 06-12=1,240円",,,,,,,,,,,,"馬連:900円 ワイド:05-08=360円 05-12=290円 08-12=1,010円",,,,,,,,,,,,"馬連:2,160円 ワイド:08-12=670円 02-12=900円 02-08=220円",,,,,,,,,,,
"馬単:1,610円 3連複:670円 3連単:4,430円",,,,,,,,,,,,"馬単:1,150円 3連複:3,420円 3連単:11,440円",,,,,,,,,,,,"馬単:1,020円 3連複:1,730円 3連単:5,050円",,,,,,,,,,,,"馬単:5,540円 3連複:2,070円 3連単:21,920円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,BSN賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂウインフロレゾン, 50,田辺裕,, 57,  -2,*  1, 3,  5.1, ⑩⑩, 1,14, キズマ,---,蛯名正,, 59,* -2,* -5, 2,  3.7, ④④, 1, 1,Ｌベルモントキｰラ, 58,北村宏,, 61,*  8,  -3, 1,  3.2,①①①, 1,10,Ａアｰスサウンド, 92,蛯名正,, 82,*  9,  13, 1,  2.4, ②②
 2,12,Ｌラインシルビア, 38,嶋田純, 0.1, 56,  -2,* -1,13,129.0, ⑭⑫, 2, 6, マイネルスパイス,---,嶋田純, 0.2, 56,  -9,*  0, 7, 21.6, ⑩⑩, 2,11,Ｊゴｰルドエンジュ, 65,大野拓, 0.3, 57,*  9,  -5, 7, 15.3,②②②, 2, 9,Ｃレディルｰジュ, 89,福永祐, 0.0, 83,   7,  16, 4,  7.9, ⑤⑤
 3,15,Ａエｰシングランダム, 53,北村宏, 0.2, 55,   1,* -5, 2,  3.7, ⑧⑨, 3, 4, ラグジュリア,---,江田照, 0.3, 55,  -4,  -8, 3,  5.2, ⑤⑤, 3, 4,Ｅアドマイヤキャロル, 69,福永祐, 0.3, 61,   4,*  3,11, 52.4,⑪⑩⑩, 3,12,Ｂシルクフォｰチュン, 92,藤岡康, 0.1, 83,  -5,* 26, 2,  3.5, ⑪⑪
 4,18,Ｈマイネルピトレスク, 44,武士沢, 0.3, 54,   2, -10,10, 64.4, ⑦⑦, 4, 8, ジュエリスト,---,石橋脩, 0.5, 53,  -4, -10, 1,  3.7, ⑥⑥, 4,14,Ｂトウカイライフ, 75,村田一, 0.4, 59,   7,  -1, 3,  5.8,⑦⑥⑤, 4, 4,Ｇケイアイダイオウ, 85,大野拓, 0.2, 79,  -4,* 23,11,118.1, ⑨⑨
 5,10,Ｇミスワｰルド, 45,福永祐, 0.3, 54,*  4, -13, 6, 27.1, ④③, 5,16, ドリｰミングラヴ,---,木幡初, 1.2, 44,  -9, -13,14,113.3, ⑪⑪, 5, 7,Ｆクラリスピンク, 68,吉田豊, 0.4, 58,   2,*  6, 5, 11.1,⑬⑬⑬, 5, 8,Ｄインオラリオ, 89,北村宏, 0.2, 81,   3,  17, 5, 15.5, ⑦⑦
 6,14,Ｉエｰスドライバｰ, 42,蛯名正, 0.4, 53,   2, -11, 1,  2.3, ⑥⑥, 6,18, リバティｰアゲイン,---,大庭和, 1.4, 41, -18,* -4,15,200.8, ⑭⑭, 6,12,Ｈショウナンガｰデン, 67,藤岡康, 0.4, 59,   7,  -3, 6, 12.4,④④④, 6, 3,Ｉエｰブダッチマン, 81,石橋脩, 0.2, 81,   8,  13, 3,  4.7, ④④
 7, 4,Ｊアポロドｰロス, 40,西田雄, 0.4, 51,*  5, -17, 7, 33.8, ①①, 7,15, アストロフォンテン,---,福永祐, 1.5, 41,  -8, -18, 4,  5.8, ⑨⑨, 7, 3,Ｉウィッシュアゲン, 65,田辺裕, 0.5, 59,   3,*  3, 9, 50.4,⑩⑫⑫, 7, 2,Ｋサミットストｰン, 77,村田一, 0.3, 79,   0,  19,10,108.4, ⑧⑧
 8, 7,Ｐプｰラヴィｰダ, 26,柴田善, 0.6, 52,  -1, -10,11, 77.9, ⑬⑪, 8,12, ミットフロイデ,---,田辺裕, 1.5, 43,*  2, -30,12, 74.6, ①①, 8,10,Ｃアフィントン, 71,杉原誠, 0.5, 58,   7,  -4,10, 51.3,③③③, 8,13,Ｅアウトクラトｰル, 87,木幡初, 0.4, 79,*  8,  10, 6, 21.3, ③③
 9,17,Ｆハｰトヴァイン, 46,大野拓, 0.8, 49,   2, -18, 8, 38.3, ③④, 9,17, ブラックリベリオン,---,大野拓, 1.5, 42,  -6, -19, 8, 37.8, ⑧⑦, 9, 5,Ｍブラウブリッツ, 58,江田照, 0.6, 57,   7,  -4,14,113.5,⑥⑤⑥, 9, 6,Ｆファイナルスコアｰ, 86,江田照, 0.6, 77,  -3,  19,12,190.8, ⑩⑩
10, 1,Ｄフュｰワｰズ, 49,中舘英, 0.9, 48,  -1, -14, 5, 18.1, ⑨⑧,10, 9, コスモライデイン,---,中谷雄, 1.6, 38, -14, -12, 9, 39.9, ⑬⑬,10, 2,Ｎケイジｰシオン, 56,小野寺, 0.6, 61,   6,  -2, 4,  9.6,⑤⑦⑦,10, 1,Ｍブルｰミンバｰ, 70,田辺裕, 1.3, 71,* 10,   0, 9, 78.4, ①①
11,13,Ｎコウエイチャンス, 32,江田照, 1.2, 44,  -2, -17,15,471.5, ⑰⑬,11, 2, マイネルカｰミン,---,武士沢, 1.6, 38, -18,* -5, 6, 12.4, ⑮⑮,11,13,Ｋマンマルコ, 65,木幡初, 0.6, 58,   4,   0,13, 80.9,⑫⑪⑪,11, 5,Ｊシャイニングアワｰ, 80,田中勝, 1.8, 67,  -6,  11, 8, 62.7, ⑫⑫
12, 5,Ｅスカイコンフォｰト, 47,藤岡康, 1.2, 43,   2, -23, 9, 42.0, ⑤⑤,12,10, アポロデスティｰノ,---,小野寺, 1.7, 38,  -6, -22,10, 43.8, ⑦⑧,12, 8,Ｇオンザスロｰン, 67,大庭和, 1.1, 56,   2,   2,12, 66.7,⑭⑭⑭,12,11,Ｌアポロフェニックス, 76,柴田善, 2.0, 65,   5,  -1, 7, 28.5, ⑥⑥
13, 8,Ｃキｰプビリｰビング, 50,田中勝, 1.7, 38,  -3, -20, 4,  8.6, ⑯⑰,13,11, ビジュアルサポｰト,---,藤岡康, 2.1, 35,* -1, -35,11, 50.7, ③③,13,15,Ａパシコジュリエ, 76,西田雄, 1.2, 53,   5,  -6, 2,  3.2,⑨⑨⑨,13, 7,Ｈスマｰトブレｰド, 84,吉田豊, 2.2, 61,  -6,   7,13,200.1, ⑬⑬
