11年11月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,九十九島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａミレニアムゴｰルド, 62,中舘英,, 63,*  5,*  0, 1,  1.4,②①①, 1, 4,Ａハリウッドスタｰ, 79,勝浦正,, 70,   4,*  7, 1,  1.5,⑥⑥②, 1, 1,Ｃロｰレルクラシック, 73,中舘英,, 79,  15,* -6, 3,  5.5,⑥⑤④, 1, 5,Ｃアキノグロｰブ, 74,大野拓,, 71,   4,* 16, 5, 14.8,⑦⑦⑥
 2,11,Ｉシゲルサクランボ, 48,村田一, 0.3, 61,   2,*  1, 9,128.0,⑩⑦③, 2,10,Ｅザクリエイション, 66,大野拓, 0.1, 69,*  5,*  5, 3,  8.0,⑦③①, 2, 7,Ｄダイコウヒョウ, 68,江田照, 0.8, 72,  14, -13, 8, 22.5,⑦⑦⑥, 2, 1,Ｄサダルメリク, 73,古川吉, 0.0, 68,*  9,   7, 2,  4.3,③②②
 3, 6,Ｂデンコウアクティブ, 59,酒井学, 0.9, 56,   3,  -6, 2,  4.3,⑥⑤④, 3, 8,Ｃファイアアロｰ, 69,吉田隼, 0.7, 66,   4,   1, 5, 16.4,⑧⑦③, 3, 5,Ａトウシンヤマト, 74,勝浦正, 0.9, 70,  12,*-10, 1,  3.0,⑨⑨⑦, 3, 3,Ｂモエレジュンキン, 75,黛弘人, 0.1, 71,   9,   8, 4,  8.3,④③③
 4, 2,Ｋエｰシンスコルピオ, 46,上村洋, 1.9, 50,   3, -13,10,128.8,④④⑤, 4, 7,Ｄプルプル, 68,森一馬, 1.0, 64,   3,   0, 4, 13.9,⑤⑧⑧, 4, 8,Ｉシゲルシャチョウ, 60,黛弘人, 1.7, 66,  11, -15, 7, 14.9,⑩⑩⑩, 4, 2,Ａワンダｰスピンドル, 78,吉田隼, 0.1, 68,*  9,   5, 1,  1.8,①①①
 5,12,Ｄリリｰアタッカｰ, 55,大野拓, 2.1, 48,   1, -12, 6, 33.9,⑫⑨⑨, 5,11,Ｇシャインストｰン, 65,西村太, 1.3, 62,   2,   0, 8, 78.2,⑪⑩⑪, 5, 4,Ｊフミノキララ, 58,長谷川, 2.0, 63,  17, -38, 9, 28.8,④④②, 5, 4,Ｅトップオブカハラ, 73,松山弘, 0.1, 70,   7,  10, 3,  5.6,⑤⑤④
 6, 9,Ｅメイショウバロン, 53,古川吉, 2.3, 45,   2, -16, 3, 12.6,⑧⑥⑥, 6, 5,Ｈテイエムスリリング, 64,古川吉, 1.4, 59,   2,  -1,11,197.9,⑨⑨⑨, 6, 3,Ｅヴイブラッド, 68,吉田隼, 2.0, 64,* 18, -43, 6, 13.1,②②①, 6, 6,Ｇオグリシュンコｰ, 61,石橋守, 1.1, 65,   4,   6, 8,144.9,⑧⑧⑧
 7,13,Ｇコウエイロックオン, 51,西田雄, 2.3, 45,*  4, -19, 7, 57.8,③③②, 7, 2,Ｋオチャノコサイサイ, 55,伊藤工, 1.4, 62,   4,  -4, 9,141.5,③④⑦, 7, 9,Ｇロックフルマｰク, 65,丸田恭, 2.8, 60,  15, -38,10, 29.0,⑧⑧⑧, 7, 9,Ｉアンプリペアｰド, 59,荻野琢, 1.8, 60,   2,   4, 9,149.9,⑨⑨⑨
 8,10,Ｌエンジョｰイアゲン, 33,黛弘人, 2.4, 50,  -2,  -8,12,213.5,⑬⑬⑪, 8, 3,Ｊゴｰルドスマイル, 55,杉原誠, 1.4, 60,   4,  -5, 7, 54.3,②⑤⑥, 8,10,Ｈヤマニンアｰマｰ, 65,松山弘, 2.9, 60,  15, -46, 5,  8.3,⑤⑥⑨, 8, 7,Ｈノｰザンソング, 60,酒井学, 2.1, 55,   7,  -7, 7, 32.0,②④⑤
