11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,12,Ｊリコンストラクト, 28,西田雄, 4.1, 21,  -5, -36,13,362.7, ⑪⑬,13, 7, カミノビリｰヴ,---,西田雄, 2.6, 34,  -8, -21,13, 70.4, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,11, ウッチャリ,---,丸田恭, 3.4, 28, -14, -21,14,137.8, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 9, ツインピｰクス,---,宮崎北, 4.5, 17, -13, -35, 8, 23.5, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:2),,,,,,,,,,,
"単勝:8,630円 複勝:08=1,370円 03=150円 06=1,480円 枠連:540円",,,,,,,,,,,,単勝:720円 複勝:15=220円 13=640円 02=200円 枠連:930円,,,,,,,,,,,,"単勝:180円 複勝:06=110円 02=230円 08=1,130円 枠連:840円",,,,,,,,,,,,"単勝:410円 複勝:05=160円 10=180円 08=130円 枠連:1,220円",,,,,,,,,,,
"馬連:10,370円 ワイド:03-08=2,920円 06-08=21,480円 03-06=2,990円",,,,,,,,,,,,"馬連:10,000円 ワイド:13-15=2,690円 02-15=760円 02-13=1,920円",,,,,,,,,,,,"馬連:840円 ワイド:02-06=350円 06-08=1,770円 02-08=3,480円",,,,,,,,,,,,"馬連:1,360円 ワイド:05-10=420円 05-08=260円 08-10=350円",,,,,,,,,,,
"馬単:34,090円 3連複:118,230円 3連単:979,020円",,,,,,,,,,,,"馬単:16,580円 3連複:16,880円 3連単:116,000円",,,,,,,,,,,,"馬単:1,140円 3連複:10,200円 3連単:29,930円",,,,,,,,,,,,"馬単:2,480円 3連複:1,270円 3連単:8,560円",,,,,,,,,,,
