11年 4月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 4月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陽春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａロンド, 75,藤岡佑,, 71,   0,*  6, 1,  2.0, ④④, 1,13, ハイデフィニション,,小坂忠,,,,, 3,  6.9,①①①, 1, 5,Ｃゴｰルデンアタック, 71,幸英明,, 74,   2,* 11, 6, 20.4,⑪⑩⑩, 1,14,Ｆトウショウカズン, 83,国分優,, 87,*  8,  16, 4,  7.8, ③②
 2,12,Ｆラベンダｰカラｰ, 51,松岡正, 0.0, 71,*  3,*  3, 6, 24.2, ②②, 2, 3, テイエムファイヤｰ,,田嶋翔,199.8,,,, 5,  7.9,②②②, 2,10,Ａホノカアボｰイ, 72,福永祐, 0.1, 71,*  5,   6, 8, 31.9,③③④, 2, 8,Ｉトウショウクエスト, 82,池添謙, 0.0, 86,* 10,  13, 9, 46.5, ①①
 3,14,Ｄメリｰチャン, 60,内田博, 0.6, 65,*  1,  -1, 4, 13.1, ③③, 3,10, ヴェルトマイスタｰ,,横山義,199.9,,,, 6, 11.2,④③③, 3, 9,Ｅオズフェスト, 71,柴山雄, 0.1, 68,*  5,   4,10, 34.9,②②②, 3, 4,Ｃヒラボクワイルド, 86,松田大, 0.4, 86,   6,  16, 5,  8.2, ⑨⑦
 4,16,Ｃウルル, 68,浜中俊, 1.1, 60,  -2,  -2, 3,  4.4, ⑦⑤, 4,12, ビｰビｰスカット,,西谷誠,200.9,,,, 2,  4.4,⑥④④, 4, 6,Ｈペガサスフラッシュ, 67,小牧太, 0.3, 68,*  7,   1, 4, 10.2,①①①, 4, 6,Ｇマイエンブレム, 83,武豊  , 0.4, 86,   1,* 21, 7, 12.8, ⑫⑪
 5, 8,Ｎファｰザｰリｰプ, 21,国分恭, 1.2, 59,  -7,   1,14,330.6, ⑧⑨, 5, 6, バトルブリンディス,,高田潤,201.9,,,, 1,  2.4,③⑤⑤, 5, 7,Ｊタナトス, 66,岩田康, 0.5, 71,   3,   6, 2,  3.6,⑧⑧⑧, 5, 9,Ａデイトユアドリｰム, 87,松岡正, 0.4, 85,   7,  14, 1,  2.9, ⑥⑥
 6, 5,Ｂレッドマロン, 68,幸英明, 1.5, 57,  -7,  -1, 2,  3.6, ⑩⑧, 6, 2, エｰシンテュポｰン,,植野貴,203.0,,,, 8, 46.1,⑦⑥⑥, 6, 4,Ｎカネトシマｰシャル, 55,松田大, 0.6, 70,   3,   3,15,201.3,⑥⑦⑥, 6, 1,Ｄロンギングスタｰ, 86,後藤浩, 0.9, 80,   6,  12, 2,  4.6, ⑧⑨
 7, 6, ウェイアウトバジｰ,---,吉田豊, 1.8, 52, -10,   0, 9,120.6, ⑪⑪, 7, 9, スリｰピｰクス,,石神深,207.3,,,,12,115.0,⑪⑩⑧, 7, 3,Ｍサトノピｰスピｰス, 62,後藤浩, 0.7, 65,   3,   3, 3,  8.5,⑨⑥⑦, 7, 3,Ｎテイエムクレナイ, 80,小牧太, 1.1, 78,*  8,   6,12, 67.5, ④④
 8,11,Ｈミスコマチ, 49,藤懸貴, 1.8, 54,*  3, -14,10,213.6, ①①, 8, 8, ダイワシュガｰ,,金子光,207.4,,,,13,164.1,⑩⑪⑪, 8,14,Ｏティアップゼウス, 54,江田照, 0.8, 69,  -1,* 11,16,386.5,⑮⑯⑮, 8,13,Ｈドスライス, 83,田中勝, 1.1, 79,   3,  12, 8, 19.3, ⑩⑩
 9, 2,Ｅソングソングソング, 52,国分優, 2.0, 51, -11,  -1, 7, 59.6, ⑫⑩, 9,11, オリオンザドｰタｰ,,林満明,208.8,,,,14,174.7,⑧⑨⑩, 9, 8,Ｌドラゴンウィンズ, 64,国分優, 0.8, 66,   3,   2,13,139.1,⑯⑨⑨, 9,12,Ｅサンマルセイコｰ, 84,武士沢, 1.1, 79,   2,  14,15,291.3, ⑪⑫
10, 1,Ｊデンコウマオ, 45,北村友, 2.3, 50,  -1, -12,12,238.4, ⑤⑥,10, 1, ブロックバスタｰ,,穂苅寿,209.3,,,,10,103.1,⑨⑧⑨,10,13,Ｄバンブｰチェルシｰ, 71,国分恭, 1.1, 68,  -1,   8, 9, 34.8,⑭⑮⑭,10, 2,Ｌフィｰルドジュエル, 80,秋山真, 1.2, 80,  -6,* 24,14,239.7, ⑭⑮
11,15,Ｉゴｰルデンアスク, 47,田中勝, 2.8, 45, -13,  -6,11,229.1, ⑬⑬,11,14, スズカタフネス,,柴田大,210.0,,,,11,108.4,⑤⑦⑦,11, 1,Ｆサｰランスロット, 68,藤田伸, 1.2, 64,*  5,  -3, 5, 11.8,④④③,11, 5,Ｂキティ, 87,和田竜, 1.2, 80,   6,   9, 6, 10.6, ⑦⑧
