11年 6月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遊楽部特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａピュアマインド, 64,三浦皇,, 61,  -3,*  4, 2,  3.1,⑪⑧⑦, 1, 4,Ｄメジロダイボサツ, 64,吉田豊,, 64,   3,*  9, 1,  1.8,③③③, 1, 5,Ａオｰスミマリオン, 78,四位洋,, 78,*  6,* 13, 1,  1.7,①①①, 1, 2,Ｅクリスマスキャロル, 70,吉田隼,, 73,  -1,  13, 5, 12.4,⑥⑦⑧
 2, 6,Ｂインプレッシヴ, 60,西村太, 0.2, 58,*  1,  -4, 3,  8.7,②②②, 2, 1,Ｂプレスインザサン, 67,武幸四, 0.3, 60,*  4,   1, 3,  6.0,②②②, 2, 2,Ｄメイショウエバモア, 74,荻野琢, 0.7, 76,   2,* 14, 3,  6.2,⑨⑧⑧, 2, 4,Ｂメジロオｰドリｰ, 78,吉田豊, 0.0, 70,*  0,  10, 3,  4.0,③④④
 3,10,Ｈセｰヌパリジャンヌ, 48,古川吉, 0.3, 55,*  1,  -7, 8, 42.5,①①①, 3, 9,Ｊフミノミリオン, 44,勝浦正, 0.4, 58,   3,   2, 7, 71.9,④④④, 3, 4,Ｂセトノメジャｰ, 76,古川吉, 0.8, 71,   4,   9, 2,  4.5,⑦⑥⑤, 3,13,Ｍコスモバタフライ, 59,丹内祐, 0.1, 72,  -4,* 16,10, 62.1,⑨⑨⑪
 4,13,Ｆヤマニンパンケｰキ, 55,柴山雄, 0.4, 57,  -5,*  4, 5, 15.9,⑬⑩⑨, 4,11,Ａオレンジシチｰ, 67,川島信, 0.5, 62,   1,   6, 4,  8.0,⑦⑧⑧, 4,10,Ｅデルマインドラ, 69,竹之下, 0.8, 72,*  5,   7, 6, 33.1,④③④, 4, 1,Ｄサクラシオン, 71,三浦皇, 0.2, 67,*  1,   3, 1,  2.6,①①①
 5, 2,Ｄマリｰズタイム, 57,丸山元, 0.7, 55,   0,  -6, 4, 12.3,⑥④④, 5, 5,Ｈテイエムモｰレツ, 51,古川吉, 0.5, 60,   1,   5, 9, 81.4,⑥⑤⑤, 4, 3,Ｇナンヨｰスラッガｰ, 66,吉田隼, 0.8, 74,   3,  10, 7, 41.5,⑥⑦⑦, 5,12,Ｊヒダカアルテミス, 61,柴山雄, 0.4, 69,  -6,* 14,11, 81.9,⑪⑪⑦
 6, 1,Ｃメｰンテｰブル, 59,四位洋, 0.7, 55,   0,  -6, 1,  1.9,⑤⑥⑤, 6, 7,Ｅフミノキララ, 57,長谷川, 0.7, 57,   3,   1, 5, 18.4,⑧⑦⑦, 6, 7,Ｆミッキｰレモン, 68,三浦皇, 1.4, 68,*  5,   2, 4, 10.8,②②③, 6, 5,Ｇインダクティ, 65,丸田恭, 0.5, 65,*  1,   4, 7, 36.3,④⑤⑤
 7, 4,Ｇセミニョン, 54,津村明, 0.8, 54,  -2,  -4, 7, 31.0,⑨⑦⑥, 7, 8,Ｇフジマサエンパイア, 52,西村太, 1.0, 60,  -2,* 10,11,237.8,⑩⑨⑨, 7, 1,Ｈユメミルテｰラｰ, 65,藤岡佑, 1.8, 67,   4,   0, 8, 45.3,③④②, 7, 6,Ａディオｰサ, 79,丸山元, 0.5, 62,*  1,   0, 2,  3.4,②②②
 8, 3,Ｅサクラプレリュｰド, 56,勝浦正, 1.2, 50,*  1, -13, 6, 20.6,④③③, 8, 3,Ｃドｰチェスタｰ, 66,三浦皇, 1.2, 53,*  4, -13, 2,  3.8,①①①, 8,11,Ｉバンブｰキャプテン, 63,水口優, 2.1, 64,   1,   4,11,556.5,⑩⑩⑨, 8, 9,Ｃビｰビｰバカラ, 71,勝浦正, 0.6, 62,  -3,   6, 9, 47.6,⑦⑧⑨
 9, 8, ラバｰマッチ,---,藤岡佑, 1.6, 52,  -6,  -3, 9, 65.9,⑫⑫⑩, 9,10,Ｆグランパズデライツ, 53,柴山雄, 1.6, 50,   2, -12, 6, 58.9,⑤⑥⑥, 9, 9,Ｃランドオウジ, 74,松田大, 2.3, 65,   4,  -4, 5, 11.3,⑧⑤⑥, 9,11,Ｈビｰチパｰティｰ, 64,川島信, 0.7, 69,  -9,* 16, 6, 31.9,⑬⑬⑬
10,12,Ｊクインテッサ, 29,吉田隼, 2.4, 46,  -7,  -9,10,107.6,⑩⑬⑫,10, 2,Ｉデルマハヌマｰン, 50,藤岡佑, 2.7, 46,  -3,  -9,10,139.4,⑪⑪⑩,10, 6,Ｊベルモントダイヤ, 58,津村明, 5.6, 38,   1, -28, 9,296.1,⑤⑨⑩,10, 3,Ｉセイピｰシｰズ, 63,藤岡佑, 0.7, 69,  -7,* 14,12,144.6,⑫⑫⑫
11, 7,Ｋエタニティリング, 26,松田大, 2.9, 45,  -2, -20,11,113.7,⑦⑨⑪,11, 6,Ｋジョウゲン, 42,津村明, 3.9, 34,  -2, -30, 8, 74.1,⑨⑩⑪,11, 8,Ｋイッキカセイ, 39,小林徹, 5.8, 43,  -3, -21,10,438.9,⑪⑪⑪,11, 7,Ｆイオス, 69,上村洋, 0.8, 59,*  0,  -2, 4, 10.4,⑤③③
12, 5, トップデュタン,---,丸田恭, 3.3, 36,   0, -28,12,149.2,③⑤⑧,,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｋヤマニンミュゼット, 60,宮崎北, 0.9, 62,  -4,   5,13,266.5,⑩⑩⑩
13, 9,Ｉバシマイシン, 46,杉原誠, 4.6, 30,  -5, -30,13,325.9,⑧⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｌアンナドンナ, 60,古川吉, 1.1, 57,  -1,  -4, 8, 47.1,⑧⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,
"単勝:310円 複勝:11=180円 06=460円 10=580円 枠連:2,020円",,,,,,,,,,,,"単勝:180円 複勝:04=110円 01=180円 09=1,190円 枠連:390円",,,,,,,,,,,,単勝:170円 複勝:05=110円 02=170円 04=120円 枠連:670円,,,,,,,,,,,,"単勝:1,240円 複勝:02=300円 04=160円 13=970円 枠連:2,490円",,,,,,,,,,,
"馬連:1,850円 ワイド:06-11=770円 10-11=1,530円 06-10=3,190円",,,,,,,,,,,,"馬連:410円 ワイド:01-04=230円 04-09=2,650円 01-09=8,180円",,,,,,,,,,,,馬連:660円 ワイド:02-05=280円 04-05=150円 02-04=300円,,,,,,,,,,,,"馬連:2,720円 ワイド:02-04=760円 02-13=6,340円 04-13=2,350円",,,,,,,,,,,
"馬単:3,500円 3連複:15,160円 3連単:53,070円",,,,,,,,,,,,"馬単:520円 3連複:13,680円 3連単:30,530円",,,,,,,,,,,,"馬単:950円 3連複:630円 3連単:2,730円",,,,,,,,,,,,"馬単:6,750円 3連複:35,200円 3連単:211,980円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
