11年12月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,樅の木賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂエｰシングリズリｰ, 63,酒井学,, 67,*  1,*  5, 1,  4.7, ②②, 1,11,Ｅヴァンガｰド, 55,藤岡康,, 60,  -4,*  9, 2,  3.4,⑪⑩⑨, 1, 3,Ｇクリスタルドア, 68,古川吉,, 69,   5,   6,11, 60.3,⑦⑥③, 1,11,Ａレッドクラウディア, 79,浜中俊,, 65,*  5,   4, 1,  1.9,③③④
 2, 7,Ｄサクラルモンド, 58,浜中俊, 0.9, 58,*  1,  -3, 4,  6.1, ①①, 2,13,Ｉトｰセンギャラリｰ, 52,中舘英, 0.1, 62,  -5,* 13, 3,  8.1,⑬⑭⑫, 2, 8,Ｂアドマイヤスキップ, 73,高倉稜, 0.1, 71,   4,*  6, 3,  5.0,⑪⑩⑦, 2, 2,Ｊスタンドバイミｰ, 57,鮫島良, 0.0, 67,   4,*  8, 6, 22.4,⑩⑦⑤
 3, 2,Ｈパトロネｰジュ, 53,中舘英, 0.9, 56,  -7,*  2, 5,  6.9, ⑥⑥, 3,16,Ｈコスモアウリンコ, 52,伊藤工, 0.2, 58,  -2,   3,12,133.1,⑮⑧⑥, 3,12,Ｆキョウエイショウリ, 69,伊藤工, 0.2, 70,   5,   4,13, 80.3,⑥⑦⑤, 3, 8,Ｎトミケンユｰクアイ, 46,勝浦正, 0.0, 64,*  6,   3, 4, 20.9,②②②
 4, 5,Ｃアラビアンマジック, 58,筒井勇, 1.1, 55,  -4,  -1, 3,  5.6, ④③, 4,17,Ｆコスモユウチャン, 54,丹内祐, 0.2, 58,* -1,   2, 9, 25.2,⑧⑤④, 4,14,Ｊプリムｰル, 66,吉田隼, 0.4, 68,   3,*  7, 7, 22.0,⑫⑭⑫, 4, 7,Ｃルンタノチュｰ, 70,筒井勇, 0.2, 64,   3,*  8, 8, 29.0,⑯⑫⑩
 5,10,Ｅエゾムサシ, 57,柴山雄, 1.4, 52,  -2,  -6, 7, 10.6, ③④, 5, 1,Ｊサカジロスイセイ, 49,浜中俊, 0.2, 57,* -1,  -1, 6, 20.6,⑰④③, 5, 1,Ｄセレスロンディｰ, 71,横山和, 0.4, 68,   3,   6, 2,  3.8,⑬⑬⑭, 5, 3,Ｆマシュマロ, 67,太宰啓, 0.4, 60,   3,   4, 2,  4.3,⑫⑨⑧
 6,13,Ｇマｰベラスルビｰ, 54,渡辺薫, 1.5, 51,  -5,  -5, 6,  9.6, ⑤⑤, 6,10,Ｋウイニングサルｰト, 47,丸田恭, 0.3, 57,  -5,*  9,10, 33.0,⑩⑫⑩, 6, 2,Ｉタガノルナリロ, 66,鮫島良, 0.6, 69,   2,*  7, 8, 30.4,⑮⑮⑯, 6, 6,Ｋジョｰラプタｰ, 57,柴山雄, 0.6, 60,   0,*  8,13,117.6,⑮⑯⑬
 7, 8,Ｉシｰフェリックス, 53,太宰啓, 1.6, 49, -10,  -2, 8, 18.2, ⑦⑦, 7, 5,Ｇシゲルササグリ, 53,柴山雄, 0.4, 53,*  0,  -7, 7, 22.5,①①①, 7, 7,Ｏコマンドパワｰ, 56,浜中俊, 0.6, 68,   3,   3, 6, 19.6,⑭⑫⑩, 7, 1,Ｅシゲルスタｰキング, 67,高倉稜, 0.6, 60,*  5,   0, 5, 22.0,⑧④③
 8, 4,Ｍグリマルディ, 30,横山和, 1.8, 46, -13,  -3,13,243.4, ⑧⑧, 8,14,Ｂディアデラバンデラ, 59,オドノ, 0.4, 56,  -4,   3, 1,  2.6,⑦⑨⑪, 8,15,Ｃサダムトウコン, 72,上村洋, 0.7, 66,   3,   2, 9, 39.3,⑩⑪⑬, 8,12,Ｇタガノナパヴァレｰ, 65,村田一, 0.7, 60,   2,   5,12, 96.3,⑭⑮⑪
