11年 2月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,大津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｊフォｰカルシャイン, 49,上野翔, 5.3, 32,  -1, -44,10, 79.4,⑪⑩⑫,12, 8, バンブｰアｰセナル,---,国分恭, 2.3, 48, -11,  -7, 8, 30.8,⑬⑥⑪,12,12,Ｇシルクデイブレイク, 69,川須栄, 1.3, 63,   6,  -3, 7, 10.4, ⑨⑪,12,12,Ｉリバイバルシチｰ, 79,太宰啓, 2.2, 65,   8, -11,12,222.5,⑥④⑦
,,,,,,,,,,,,13,10, マイヨオロ,---,高倉稜, 3.7, 33,*-11, -21, 7, 24.1,②②④,13,10,Ｎキセキ, 59,田中健, 1.4, 61,   3,  -1,14,257.4, ⑭⑭,13, 4,Ｍチャｰミｰハヅキ, 60,小坂忠, 2.2, 66,   5,  -5,13,235.7,④⑪⑬
,,,,,,,,,,,,14,12, アイファｰタイガｰ,---,和田竜, 3.9, 36, -12, -19,13, 97.5,⑦⑧⑩,14,11,Ｌマイネルレガｰロ, 63,丹内祐, 1.6, 61,   5,  -6,12, 93.2, ⑫⑩,,,,,,,,,,,,
,,,,,,,,,,,,15,16, ケンオベリスク,---,長谷川, 4.2, 33, -15, -14,15,158.0,⑭⑮⑮,15, 9,Ｐトップスマイル, 48,上村洋, 1.9, 60,  -1,   2,15,401.7, ⑯⑮,,,,,,,,,,,,
,,,,,,,,,,,,16, 9, ウｰマナイザｰ,---,佐藤哲, 9.5,  1, -27, -39,14,110.4,⑯⑯⑯,16, 8,Ｏティティチャｰム, 57,小林徹, 2.1, 54,  -5,   0,16,466.2, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-2),,,,,,,,,,,
単勝:250円 複勝:05=110円 11=130円 02=200円 枠連:450円,,,,,,,,,,,,単勝:310円 複勝:14=130円 07=120円 15=170円 枠連:330円,,,,,,,,,,,,"単勝:840円 複勝:07=310円 05=330円 01=570円 枠連:4,120円",,,,,,,,,,,,"単勝:2,770円 複勝:10=930円 13=190円 09=300円 枠連:1,090円",,,,,,,,,,,
馬連:430円 ワイド:05-11=210円 02-05=400円 02-11=590円,,,,,,,,,,,,馬連:370円 ワイド:07-14=190円 14-15=410円 07-15=380円,,,,,,,,,,,,"馬連:3,530円 ワイド:05-07=1,350円 01-07=2,330円 01-05=2,000円",,,,,,,,,,,,"馬連:9,040円 ワイド:10-13=2,940円 09-10=3,990円 09-13=840円",,,,,,,,,,,
