11年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,響灘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｇオウケンハナミズキ, 31,川田将,, 53,* -5,*  2, 3,  5.9, ②②, 1, 3, リバｰキャッスル,,植野貴,,,,, 5, 16.7,②①①, 1,14,Ｅダノンフェアリｰ, 62,川田将,, 71,*  0,*  6, 1,  2.4, ③②, 1,10,Ｂスエズ, 83,川田将,, 84,* 12,*  9, 3,  4.5,②②②
 2, 2,Ａカノヤミノリ, 50,佐藤哲, 0.1, 49,  -8,*  1, 1,  2.0, ③③, 2, 8, ラフレッシュブルｰ,,中村将,196.8,,,, 1,  1.4,①②②, 2, 9,Ｃレｰガン, 64,石橋守, 0.2, 68,*  2,   2, 3,  6.3, ②①, 2,13,Ｌパルラメンタｰレ, 77,武豊  , 0.2, 82,* 13,   6, 2,  3.9,①①①
 3, 1,Ｄプレシャスペスカ, 36,幸英明, 0.2, 48,* -5,  -3, 2,  3.8, ①①, 3, 6, トムウィンズ,,岩崎祐,197.9,,,, 2,  5.3,③③③, 3, 5,Ａサカジロロイヤル, 70,国分優, 0.3, 66,  -1,   3, 2,  3.8, ④③, 3, 9,Ｈブルロック, 78,佐藤哲, 0.6, 79,  11,   6, 5,  9.8,⑥⑤④
 4, 6,Ｂシゲルコウギョク, 41,北村友, 1.3, 33, -16,  -7, 7, 29.6, ⑦⑦, 4, 1, セフティファンキｰ,,南井大,202.5,,,, 4, 16.7,⑤④④, 4, 2,Ｌサンライズイｰグル, 49,小牧太, 0.6, 63, -12,* 10, 8, 25.4, ⑫⑫, 4, 1,Ｅタガノジョｰカｰ, 80,国分恭, 0.7, 79,* 12,   4, 7, 15.9,③③③
 5, 5,Ｅシゲルドリアン, 32,川須栄, 1.5, 31, -12, -14, 4,  6.7, ⑥⑥, 5, 2, テイエムハエゲナ,,田村太,202.7,,,, 7, 71.0,⑦⑤⑤, 5, 6,Ｍマイネプルメリア, 48,幸英明, 1.0, 59,  -5,  -1,10, 50.4, ⑦⑥, 5, 6,Ｋヨクバリ, 77,太宰啓, 0.8, 78,   9,*  9,15,177.9,⑩⑬⑨
 6, 3,Ｃデンコウベリル, 38,松山弘, 1.8, 26,  -8, -22, 6, 18.6, ④④, 6, 4, ナンゴクノゴルゴ,,今村康,204.2,,,, 8, 89.9,⑥⑦⑥, 6, 1,Ｋウインヴァルキリｰ, 49,浜中俊, 1.0, 58,  -9,   2, 6, 16.3, ⑪⑩, 6, 3,Ｃタガノアッシュ, 81,赤木高, 0.8, 78,  10,   6, 6, 11.5,⑦⑦⑥
 7, 4,Ｆクラウンビｰスト, 31,国分優, 2.0, 23, -11, -21, 5, 15.5, ⑤⑤, 7, 5, サンゴシック,,西谷誠,206.0,,,, 3,  6.5,④⑥⑦, 7, 4,Ｏアサヒチェリｰ, 38,和田竜, 1.0, 58,  -6,   0,14,111.7, ⑧⑦, 7,15,Ａプレファシオ, 84,藤岡康, 0.9, 78,  10,   6, 8, 21.0,⑨⑨⑦
 8, 8,Ｈスナｰクドリｰム, 20,鷹野宏, 3.1, 10, -27, -20, 8,131.1, ⑧⑧,,,,,,,,,,,,, 8,13,Ｉメイケイダンサｰ, 52,渡辺薫, 1.2, 56, -16,*  6,11, 87.3, ⑮⑭, 8, 4,Ｆヒカリアスティル, 80,酒井学, 1.2, 75,   7,*  7, 9, 37.6,⑭⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,, 9,18,Ｎアイアンセラヴィ, 45,藤懸貴, 1.4, 52,  -4,  -9,12, 87.5, ⑥⑧, 9, 2,Ｍボｰカリスト, 77,秋山真, 1.3, 75,  10,   3,10, 40.4,⑮⑪⑧
,,,,,,,,,,,,,,,,,,,,,,,,10,15,Ｄマｰルｰト, 64,川須栄, 1.4, 53,  -8,  -4, 5, 13.4, ⑨⑪,10, 8,Ｉナムラブレット, 78,国分優, 1.7, 73,  10,   0,12,117.9,⑬⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,11,17,Ｈパンドラクラウン, 53,秋山真, 1.4, 52, -20,*  8,13,101.5, ⑱⑯,11,14,Ｊクリスマスキング, 77,川須栄, 1.7, 72,  10,  -1,14,137.4,⑪⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｊエリモフロンティア, 51,太宰啓, 1.4, 52,  -1, -11, 9, 49.6, ⑤⑤,12,11,Ｇトラバント, 79,北村友, 1.8, 70,* 12,  -6, 1,  3.6,④④⑤
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｆマコトポセイドン, 58,佐藤哲, 1.5, 52,  -9,  -4, 7, 19.4, ⑩⑨,13,12,Ｄトップコマチ, 80,和田竜, 1.8, 72,  10,  -3, 4,  9.1,⑧⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｇバタｰスコッチ, 54,国分恭, 1.6, 50, -13,  -2,15,144.1, ⑬⑬,14, 7,Ｎタマモビｰト, 76,高倉稜, 3.1, 63,   5,  -4,16,244.1,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｑペプチドタカラブネ, 36,酒井学, 2.4, 38, -16, -10,17,181.3, ⑭⑮,15,16,Ｏマジックアロｰ, 75,安藤光, 3.4, 61,   9, -14,13,130.4,⑫⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｂオｰスミラバｰ, 65,高倉稜, 2.6, 36, -19, -10, 4, 13.1, ⑯⑰,16, 5,Ｐスマイルミッキｰ, 70,浜中俊, 4.3, 56,  11, -25,11,108.6,⑤⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐニュｰジョブ, 37,北村友, 2.9, 33,*  3, -34,16,180.8, ①④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｒシゲルペイペイ, 35,花田大, 3.2, 28, -22, -15,18,501.4, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,
単勝:590円 複勝:07=160円 02=110円 01=120円 枠連:0円,,,,,,,,,,,,"単勝:1,670円 複勝:03=210円 08=100円 06=120円 枠連:0円",,,,,,,,,,,,単勝:240円 複勝:14=110円 09=140円 05=120円 枠連:560円,,,,,,,,,,,,単勝:450円 複勝:10=140円 13=170円 09=250円 枠連:590円,,,,,,,,,,,
馬連:620円 ワイド:02-07=240円 01-07=290円 01-02=160円,,,,,,,,,,,,馬連:700円 ワイド:03-08=240円 03-06=300円 06-08=130円,,,,,,,,,,,,馬連:660円 ワイド:09-14=280円 05-14=210円 05-09=280円,,,,,,,,,,,,馬連:920円 ワイド:10-13=400円 09-10=550円 09-13=860円,,,,,,,,,,,
"馬単:1,550円 3連複:510円 3連単:3,760円",,,,,,,,,,,,"馬単:2,380円 3連複:600円 3連単:8,890円",,,,,,,,,,,,"馬単:1,080円 3連複:720円 3連単:2,970円",,,,,,,,,,,,"馬単:2,170円 3連複:2,510円 3連単:13,730円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,足立山特別,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
