11年 6月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湘南ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａココロバ, 61,三浦皇,, 64,  -4,*  4, 3,  4.6, ⑥⑦, 1,10, トリビュｰトソング,,五十嵐,,,,, 1,  2.7,⑨④③, 1,12,Ｄサトノピｰスピｰス, 72,横山典,, 72,*  9,  -3, 5, 13.9, ①①, 1, 3,Ａランリョウオｰ, 91,武豊  ,, 89,   2,* 16, 1,  3.1, ⑦⑥
 2,13,Ｃスマｰトレモラ, 60,蛯名正, 0.0, 63,* -1,*  0, 2,  4.2, ②②, 2,14, ヤラマイカ,,石神深,201.0,,,, 8, 30.8,②①①, 2,10,Ｆテンゲントッパ, 69,武士沢, 0.3, 70,   4,   3,12,110.9, ⑨⑨, 2,12,Ｉリｰチコンセンサス, 81,ウィリ, 0.2, 82,*  5,   7,10, 27.0, ②②
 3,14,Ｄマイネクォｰツ, 60,松岡正, 0.8, 58,  -2,  -6, 6, 13.7, ③③, 3,13, マンドリｰカ,,草野太,201.4,,,, 7, 29.3,⑪⑦⑥, 3, 4,Ｂマルブツビアン, 78,三浦皇, 0.5, 69,   2,*  4, 3,  7.4, ⑪⑫, 3,10,Ｌテイラｰバｰトン, 79,岩田康, 0.3, 81,*  6,   4,11, 31.9, ①①
 4, 6,Ｉマリｰズタイム, 51,柴田大, 1.0, 55, -10,*  4, 8, 18.7, ⑫⑯, 4, 8, サンデｰチョウサン,,浜野谷,201.7,,,, 2,  3.8,③③②, 4, 8,Ｇトルバドゥｰル, 68,松岡正, 0.6, 69,   3,   2, 2,  6.6, ⑫⑪, 4,15,Ｍサクラネクスト, 78,北村宏, 0.4, 85,   0,* 14,15,161.4, ⑩⑪
 5, 7,Ｂトｰセンティアラ, 60,横山典, 1.1, 55,  -2,  -8, 1,  3.8, ④④, 5, 6, イｰジｰウイン,,横山義,202.9,,,, 3,  7.9,⑥⑧⑧, 5, 9,Ａリンガスクリフ, 78,柴田善, 0.7, 67,   7,  -5, 1,  1.7, ⑤⑤, 5, 9,Ｏゲｰムマエストロ, 73,田中勝, 0.4, 82,   2,   9, 9, 16.5, ⑤⑤
 6, 1,Ｆリュウシンアド, 54,北村宏, 1.3, 54,*  0, -12,13, 88.5, ①①, 6, 2, ショウナンライジン,,山本康,203.4,,,, 5,  8.3,④⑤④, 6,14,Ｃゲルマンシチｰ, 74,戸崎圭, 0.8, 70,  -1,*  7, 4,  9.2, ⑭⑭, 6, 4,Ｈラドラｰダ, 81,横山典, 0.4, 80,*  4,   7, 6, 12.2, ③③
 7,11,Ｅタイキアンジェリカ, 58,吉田豊, 1.6, 49,  -7,  -6, 4,  7.3, ⑭⑩, 7, 4, サｰストンムｰン,,平沢健,203.5,,,, 6,  9.2,⑦⑥⑦, 7,13,Ｉレッドシュナイト, 66,北村宏, 0.8, 67,   6,  -4, 7, 21.1, ⑦⑦, 7, 1,Ｅケニアブラック, 82,蛯名正, 0.4, 86,   0,* 14, 2,  4.8, ⑪⑩
 8, 2,Ｊツクバクリコ, 50,柴田善, 1.7, 48, -10,  -4, 7, 17.1, ⑯⑮, 8,12, スイｰトバイカル,,蓑島靖,203.6,,,, 4,  8.0,①②⑤, 8, 7,Ｊグリッタｰテイル, 65,川田将, 1.0, 66,   4,  -3, 6, 21.0, ⑧⑧, 8, 6,Ｃエオリアンハｰプ, 84,三浦皇, 0.5, 84,   0,  12, 4,  8.4, ⑨⑨
