11年 7月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,若狭湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｌパｰムアイランド, 49,川田将,, 64,*  1,   2, 5, 13.3,④④③, 1, 3, シゲルダイセン,,植野貴,,,,, 8, 17.9,③②②, 1, 6,Ｂスペシャルロｰド, 80,酒井学,, 80,   8,* 10, 5,  6.9,⑩⑨⑧, 1, 2,Ｂグリッタｰウイング, 84,鮫島良,, 87,   9,* 15, 2,  4.0,⑩⑨⑥
 2,13,Ｉレッドデセｰオ, 51,小牧太, 0.0, 62,*  0,*  3, 3,  8.1,⑥⑤④, 2, 4, エルチョコレｰト,,小坂忠,196.7,,,, 4,  7.4,②①①, 2,11,Ｅスカイスクレイパｰ, 77,小牧太, 0.0, 78,   9,*  7, 4,  6.5,⑥⑥④, 2, 8,Ｋサクラブライアンス, 79,和田竜, 0.2, 84,* 13,   6, 6, 10.3,①①①
 3, 6,Ｆベリｰフィｰルズ, 53,幸英明, 0.0, 64,*  1,   1, 9, 19.3,②②②, 3,11, チョウバクシン,,黒岩悠,199.5,,,,10, 90.3,⑨⑧⑦, 3,14,Ａドリｰムマジシャン, 81,幸英明, 0.2, 79,   9,*  5, 3,  5.5,⑨⑧⑥, 3, 4,Ｅスエズ, 82,佐藤哲, 0.3, 82,  11,   8, 5,  9.1,⑨④⑤
 4, 9,Ａシｰズガレット, 61,藤懸貴, 0.3, 62,  -3,*  6, 8, 17.4,⑭⑬⑨, 4,10, モチ,,高田潤,199.5,,,, 1,  3.7,⑦⑤⑥, 4, 3,Ｃハリウッドスタｰ, 79,川田将, 0.8, 75,   8,   2, 1,  3.5,⑤⑦⑨, 4, 7,Ｈハジメレンジャｰ, 80,太宰啓, 0.5, 83,   8,* 12,10, 41.8,⑧⑩⑨
 5,14,Ｄサルヴァトｰレピサ, 57,浜中俊, 0.3, 64,   0,   2, 1,  2.3,⑧⑧⑥, 5, 9, トムウィンズ,,岩崎祐,199.6,,,, 3,  4.7,⑧⑦⑤, 5,10,Ｋバリアントバイオ, 70,赤木高, 0.8, 73,   9,   0,15,301.0,⑬⑩①, 5,12,Ｊメイショウブンブク, 80,川須栄, 0.7, 81,   8,  12,11,104.4,⑬⑪⑩
 6,10,Ｃヤマニンレジェｰル, 60,熊沢重, 0.5, 63,  -1,   2, 6, 15.6,⑫⑩⑧, 6, 5, ヤマカツセイリュウ,,北沢伸,199.9,,,, 6,  9.0,⑤⑥④, 6, 7,Ｄヴィｰヴァギブソン, 79,和田竜, 0.9, 74,   7,   3, 6,  8.2,⑪⑬⑪, 6,14,Ｌウインベルセルク, 79,浜中俊, 1.0, 81,   9,   5, 9, 37.8,⑦⑧⑧
 7, 8,Ｅカイアナイト, 56,川須栄, 0.6, 59,   0,  -1, 7, 17.2,⑦⑥⑦, 7, 1, シゲルハスラット,,佐久間,200.7,,,, 2,  4.2,①④③, 7,16,Ｆライブリシｰラ, 75,小坂忠, 1.3, 70,*  9,  -7, 9, 30.3,③②③, 7, 5,Ａミッキｰバラｰド, 86,ピンナ, 1.1, 78,  11,   2, 3,  7.1,③⑤④
 8, 2,Ｋピンクピアリス, 50,太宰啓, 0.8, 57,*  1,  -4,10, 69.1,③③⑤, 8, 2, アドマイヤヘッド,,西谷誠,202.7,,,, 5,  8.7,⑩⑩⑨, 8,13,Ｊハリケｰン, 72,川須栄, 1.4, 68,*  9,  -7, 2,  5.5,⑦④⑤, 8, 9,Ｄテイエムドンマイ, 83,幸英明, 1.4, 76,* 12,  -4, 4,  8.8,②②②
