11年 8月27日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月27日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,まりも特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅスタｰバリオン, 44,藤岡佑,, 74,*  5,*  6, 2, 13.2,③②②, 1, 1,Ｃメリｰチャン, 62,柴山雄,, 66,*  8,  -2, 5, 10.5, ①①, 1,12,Ｂボリュｰムゾｰン, 77,安藤勝,, 77,*  5,* 12, 1,  3.0,④④③, 1,11,Ｆセレスマジェスティ, 68,柴山雄,, 71,  -6,* 15, 1,  3.0, ⑯⑫
 2, 3,Ｆコスモバンディエラ, 39,丹内祐, 1.8, 63,   2,  -3, 6, 50.3,⑦⑥⑥, 2,11,Ｂテラノチョイス, 66,安藤勝, 0.1, 64,   5,  -2, 1,  2.3, ②②, 2,10,Ａシャイニｰダンディ, 79,古川吉, 0.1, 75,*  6,   9, 5,  8.8,②②②, 2, 4,Ａアイムヒアｰ, 72,川島信, 0.0, 80,* 15,  -5, 2,  4.9, ①①
 3, 6,Ｄサウンドアフリｰト, 49,佐々木, 1.8, 61,   3,  -4, 5, 31.7,⑤⑤⑤, 3, 9,Ｉマイディアソング, 57,秋山真, 0.5, 59,  -9,*  4, 3,  9.8, ⑨⑩, 3, 7,Ｄアドマイヤツバサ, 77,横山典, 0.2, 77,   4,* 13, 2,  3.1,⑥⑥⑤, 3, 2,Ｊタイヨウパフュｰム, 66,秋山真, 0.1, 74,   4,   6, 4,  9.6, ⑩⑩
 4, 2,Ｂデルマスサノオ, 63,吉田隼, 1.8, 61,*  6, -11, 3, 13.3,①①①, 4, 3,Ｄトウカイギアｰ, 61,藤田伸, 0.5, 60, -12,*  6, 7, 24.1, ⑩⑪, 4, 5,Ｆケイアイプログレス, 74,勝浦正, 0.2, 74,*  7,   6, 4,  8.4,①①①, 4, 8,Ｇハイエストクライム, 68,横山典, 0.3, 67,  -3,*  9,11, 29.5, ⑭⑭
 5, 4,Ａミレニアムゴｰルド, 71,三浦皇, 1.9, 60,   4,  -8, 1,  1.1,②④③, 5,12,Ａビコｰディアナ, 68,古川吉, 0.6, 60,   4,  -5, 6, 15.3, ③③, 5, 1,Ｊエルヘイロｰ, 67,西村太, 1.1, 69,   4,   3, 8, 49.2,③③④, 5, 7,Ｈマスタｰグレイマン, 67,佐藤哲, 0.4, 70,   6,  -1, 8, 16.6, ⑧⑧
 6, 7,Ｃエリクサｰ, 60,丸山元, 2.2, 57,   4, -11, 4, 28.3,④③④, 6, 4,Ｅボｰルドグラン, 61,三浦皇, 0.8, 58,  -4,  -1, 4, 10.0, ⑧⑧, 6, 4,Ｃリアルフリｰダム, 77,四位洋, 1.1, 71,   4,   5, 3,  4.5,⑤⑤⑥, 6, 1,Ｃキタサンスズラン, 70,安藤勝, 0.4, 71,  10,  -5, 3,  6.4, ⑥④
 7, 1,Ｈパレストレパング, 34,岩部純, 5.0, 40,  -1, -25, 7,157.9,⑧⑦⑦, 7,10,Ｋスズカアタック, 56,吉田稔, 0.8, 57,  -1,  -3, 9, 59.3, ⑦⑤, 7, 3,Ｅナリタチャレンジ, 75,佐藤哲, 1.1, 70,   2,   8, 9, 72.4,⑧⑦⑦, 7, 9,Ｉサトノパイレｰツ, 66,藤岡佑, 0.4, 73,  11,  -7, 7, 14.1, ④③
 8, 8,Ｇクリノエルヴィス, 38,古川吉, 8.6, 20,  -2, -54, 8,163.9,⑥⑧⑧, 8, 6,Ｇグランドキャニオン, 60,松田大, 0.9, 58,  -1,  -4, 2,  2.9, ⑥⑥, 8,11,Ｇアレックスバロｰズ, 72,吉田稔, 1.7, 67,  -1,   8, 6, 23.3,⑪⑪⑨, 8, 6,Ｂヤマニンファンシｰ, 70,西村太, 0.6, 67,   7,  -5,13,100.0, ⑦⑦
