11年 7月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五頭連峰特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａラヴァｰズキッス, 62,蛯名正,, 71,* 11,*-11, 2,  2.5, ②②, 1, 5, ナイスラッキｰ,,高野和,,,,, 1,  2.6,③④③, 1, 7,Ｃエクセレントピｰク, 52,田中勝,, 66, -11,* 13, 7,  8.8, ⑫⑩, 1,10,Ｆテｰオｰティアラ, 77,中舘英,, 76,*-19,  22, 8, 23.5, ③②
 2, 6,Ｇアルメナｰラ, 49,大野拓, 0.5, 67,   4,* -3, 5, 16.7, ⑫⑪, 2,10, メジロジェラルド,,江田勇,187.5,,,, 6,  8.3,④①①, 2,10,Ａゴｰルドスマイル, 57,北村宏, 0.2, 63,  -3,   3, 2,  4.6, ④④, 2,11,Ａハｰキュリｰズ, 84,松岡正, 0.0, 78, -20,  26, 1,  3.3, ②③
 3, 3,Ｂダズリングスマイル, 62,江田照, 0.7, 62,* 10, -18, 1,  2.4, ④④, 3, 1, ドラゴンハンタｰ,,平沢健,188.2,,,, 2,  4.5,⑨⑨⑨, 3, 8,Ｄアサクサアクセル, 51,福永祐, 0.3, 62,  -7,   5, 4,  7.4, ⑦⑥, 3, 9,Ｇプティプランセス, 77,蛯名正, 0.1, 77, -22,* 27, 6,  9.0, ⑧⑥
 4,11,Ｈラストブライト, 46,木幡初, 1.4, 56,   5, -19, 8, 46.7, ⑩⑩, 4, 8, アイティｰバトル,,浜野谷,188.2,,,, 5,  8.2,⑪⑤④, 4, 4,Ｊウエスタンシャイン, 46,小野寺, 0.6, 58, -13,*  8,11, 61.7, ⑬⑬, 4, 4,Ｈフラッパｰウィング, 77,戸崎圭, 0.2, 77, -22,* 27, 3,  5.6, ⑦⑧
 5, 9,Ｃレインボｰデイズ, 53,吉田豊, 1.5, 54,  -3,* -6, 4, 12.6, ⑭⑮, 5, 9, エルアルト,,横山義,188.4,,,, 4,  7.7,⑩⑥⑤, 5,15,Ｇヤギリエスペランサ, 50,蛯名正, 0.8, 55,*  0,  -8, 5,  7.8, ③③, 5, 1,Ｃカネトシディオス, 79,福永祐, 0.2, 79, -22,* 29, 2,  4.2, ⑪⑩
 6,18,Ｄスペシャルダンス, 53,北村宏, 1.8, 49,   6, -28, 6, 29.6, ⑧⑧, 6, 4, アポロラムセス,,石神深,188.5,,,, 3,  7.3,⑤⑦⑥, 6,11,Ｋレナキックス, 43,松山弘, 0.9, 54, -10,   0, 9, 26.6, ⑪⑪, 6, 7,Ｅガンズオブナバロン, 78,北村宏, 0.4, 72, -20,  21, 4,  8.8, ④④
 7,12, ヌチバナ,---,戸崎圭, 2.1, 47,  -3, -17, 3,  6.2, ⑰⑯, 7,13, ハツノボリ,,草野太,188.7,,,,10, 70.7,⑧⑧⑧, 7, 9,Ｉカナサンドｰ, 48,高嶋活, 1.0, 53, -17,*  7,17,430.2, ⑯⑮, 7, 3,Ｂレイナソフィア, 80,吉田豊, 0.4, 73, -23,  25, 5,  9.0, ⑩⑨
 8, 5,Ｉヴィｰヴァタキオン, 45,嶋田純, 2.2, 45,* 10, -41, 7, 42.3, ③③, 8,12, サウスエポック,,大江原,189.1,,,,13,246.6,⑫⑪⑩, 8,14,Ｍニシノアンブレ, 38,武士沢, 1.1, 52, -14,   1,12,136.5, ⑭⑭, 8, 6,Ｌプラｰジュ, 74,木幡初, 0.4, 75, -25,* 28, 7, 11.0, ⑫⑫
 9,14,Ｋマグピｰソング, 38,武士沢, 2.5, 44,  -2, -24,15,305.3, ⑬⑫, 9,11, スｰパｰティチャｰ,,穂苅寿,190.6,,,, 8, 32.0,⑥③②, 9,12,Ｑカシノラム, 35,杉原誠, 1.2, 50, -15,   1,18,445.7, ⑮⑰, 9, 5,Ｋアマミスウィフト, 75,小林淳, 0.5, 70, -22,  23,12,212.5, ⑥⑦
10,17,Ｅセシリアシチｰ, 52,小林淳, 2.7, 38,   9, -47,10, 91.6, ⑥⑤,10, 2, ヤマニントップギア,,水出大,192.8,,,, 9, 53.9,⑬⑫⑫,10, 6,Ｏレモスカ, 37,江田照, 1.3, 49,*  0, -15,10, 42.4, ②②,10, 2,Ｄザバトルユｰジロｰ, 79,太宰啓, 0.7, 71, -24,  24, 9, 36.6, ⑨⑪
11,15,Ｏヨシサリイ, 25,中谷雄, 2.9, 39,  -1, -32,18,501.1, ⑮⑭,11, 7, ヨシダｰクスマイル,,金子光,194.1,,,,12,189.9,①②⑦,11,13,Ｆエムエフコンコルド, 50,松岡正, 1.9, 42,  -7, -16, 3,  6.5, ⑧⑦,11,12,Ｉニシノラブキング, 75,柴田善, 0.9, 62,*-18,   8,10, 59.8, ①①
12, 1,Ｌキンイロノカゼ, 36,西田雄, 3.2, 35,* 14, -63,13,158.9, ①①,12, 3, キングオバマ,,山本康,195.1,,,,11,117.3,②⑩⑪,12, 2,Ｂコスモブラック, 57,柴田大, 1.9, 42,  -4, -18, 1,  4.5, ⑥⑤,12, 8,Ｊディアフォルティス, 75,田中勝, 2.1, 47, -22,  -3,11, 65.7, ⑤⑤
13, 7,Ｍクｰファバステト, 33,平野優, 3.4, 34,   2, -45,11,115.2, ⑨⑨,,,,,,,,,,,,,13, 1,Ｐマッハスリｰ, 36,嶋田純, 2.1, 38,  -8, -17,13,208.8, ⑩⑨,,,,,,,,,,,,
14, 8, アルコファンタジア,---,小野寺, 3.5, 32, -10, -28,14,300.7, ⑱⑱,,,,,,,,,,,,,14,16,Ｅサンマルフェアｰ, 50,中舘英, 2.3, 38,  -2, -24, 6,  8.0, ⑤⑧,,,,,,,,,,,,
15,13, エタｰナリｰ,---,柴田大, 3.7, 31,  -5, -36,16,429.5, ⑯⑰,,,,,,,,,,,,,15,17,Ｒグラスマｰチ, 34,木幡初, 2.5, 33,  -6, -25,16,333.2, ⑨⑫,,,,,,,,,,,,
16, 2,Ｊリネンアリュｰル, 40,村田一, 4.1, 26,  -7, -41,12,145.3, ⑪⑬,,,,,,,,,,,,,16,18,Ｌキチロクアユ, 42,二本柳, 2.5, 33, -17, -13,15,258.0, ⑰⑯,,,,,,,,,,,,
17,16,Ｆモカビｰン, 52,太宰啓, 4.2, 27,   4, -62, 9, 74.5, ⑤⑦,,,,,,,,,,,,,17, 5,Ｈメイショウエデン, 49,小島太, 3.1, 26,*  5, -43, 8, 16.4, ①①,,,,,,,,,,,,
18,10,Ｎサマｰレインボウ, 31,高嶋活,12.7,-90,  -1, ---,17,448.7, ⑦⑥,,,,,,,,,,,,,18, 3,Ｎタニオブダイヤ, 38,伊藤工, 3.5, 20, -26, -19,14,245.4, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,
単勝:250円 複勝:04=110円 06=210円 03=110円 枠連:550円,,,,,,,,,,,,単勝:260円 複勝:05=120円 10=180円 01=160円 枠連:670円,,,,,,,,,,,,単勝:880円 複勝:07=280円 10=210円 08=320円 枠連:930円,,,,,,,,,,,,"単勝:2,350円 複勝:10=610円 11=160円 09=280円 枠連:900円",,,,,,,,,,,
"馬連:1,420円 ワイド:04-06=440円 03-04=150円 03-06=460円",,,,,,,,,,,,"馬連:1,010円 ワイド:05-10=370円 01-05=310円 01-10=570円",,,,,,,,,,,,"馬連:2,200円 ワイド:07-10=920円 07-08=1,120円 08-10=1,030円",,,,,,,,,,,,"馬連:5,070円 ワイド:10-11=1,870円 09-10=2,230円 09-11=640円",,,,,,,,,,,
"馬単:2,100円 3連複:920円 3連単:5,990円",,,,,,,,,,,,"馬単:1,630円 3連複:1,570円 3連単:7,050円",,,,,,,,,,,,"馬単:5,700円 3連複:6,840円 3連単:44,690円",,,,,,,,,,,,"馬単:12,780円 3連複:11,230円 3連単:101,460円",,,,,,,,,,,
■ 2R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,北陸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂリワｰドシオン, 64,田中勝,, 65,   9,*  1, 1,  2.4,⑦⑥⑤, 1, 4, エイコオハヤテ,---,中舘英,, 48,  -8,* -6, 1,  3.6, ③④, 1, 5,Ｂチュウワブロッサム, 75,戸崎圭,, 76,* 13,*  2, 1,  2.7,②②②, 1,13,Ａアｰスサウンド, 91,松岡正,, 81,   8,  11, 1,  1.8, ③③
 2, 2,Ａスクエアナンバｰ, 67,蛯名正, 0.2, 63,* 10,* -6, 2,  2.6,⑤④②, 2, 8, トキノワイルド,---,江田照, 0.2, 46,* -5, -10, 4,  6.6, ①①, 2,14,Ａメイショウラグｰナ, 78,蛯名正, 0.5, 72,* 13,  -1, 2,  3.2,③③③, 2, 4,Ｅトｰホウチェイサｰ, 84,北村宏, 0.0, 81,   3,* 15, 2,  5.1, ⑦⑦
 3, 9,Ｃミキノバロンドｰル, 59,西田雄, 1.0, 54,   7, -11, 7, 32.8,⑪⑧⑦, 3, 9, ドリｰムジェダイ,---,田中勝, 0.3, 46,* -7, -11, 5,  8.9, ②②, 3,15,Ｄレッドプラネット, 70,北村宏, 1.0, 69,* 12,  -4, 8, 23.8,⑥⑤④, 3,15,Ｄネオフリｰダム, 84,太宰啓, 0.0, 80,* 14,   4, 9, 47.5, ①①
 4, 4,Ｉアルファホｰル, 47,戸崎圭, 1.8, 49,   7, -21, 3,  7.1,⑧⑦⑨, 4,10, マイネベルヴィ,---,柴田大, 0.7, 43, -16,* -5, 8, 27.4, ⑩⑧, 4, 1,Ｃディミｰタ, 74,吉田豊, 1.2, 67,  11,  -3, 5,  9.0,⑧⑥⑥, 4, 8,Ｇナムラカクレイ, 83,戸崎圭, 0.4, 78,  -4,* 18, 3,  7.8, ⑮⑮
 5,10,Ｌドラゴン, 34,太宰啓, 1.9, 47,   6, -20,11,234.4,⑨⑨⑧, 5, 6, レッドオスカｰ,---,柴田善, 0.9, 40, -14,  -9, 9, 36.8, ⑥⑥, 5,10,Ｅルイｰズ, 70,松岡正, 1.2, 69,   8,*  3, 3,  7.4,⑬⑪⑩, 5, 6,Ｆチャンピオンラブ, 83,蛯名正, 0.4, 77,   6,   9, 4, 10.8, ⑤⑤
 6,12,Ｄダイワコルツ, 57,北村宏, 2.2, 46,* 10, -34, 4,  8.7,②②④, 6,15, ナムラビｰム,---,石橋脩, 2.0, 31,  -8, -23,13,120.8, ④③, 6, 7,Ｈヴィッテリア, 67,平野優, 1.4, 68,   8,*  2,14,215.2,⑭⑬⑬, 6, 5,Ｎチャレンジシチｰ, 77,武士沢, 0.5, 75,   7,   7,15,345.0, ④④
 7, 3,Ｈジャンピンジャック, 48,小林淳, 2.9, 40,   6, -31, 9,144.5,⑩⑩⑩, 7,11, グリマルディ,---,北村宏, 2.1, 29, -14, -19, 7, 14.9, ⑦⑦, 7,12,Ｇバイブレイションズ, 68,柴田善, 1.4, 68,   6,*  4,10, 79.0,⑮⑭⑭, 7, 7,Ｋオｰシャンカレント, 79,田中勝, 0.6, 76,  -1,  13,10, 97.4, ⑭⑭
 8, 7,Ｇマサデパン, 50,武士沢, 3.2, 41,   8, -47,12,309.9,④⑤⑥, 8, 2, キャプテンジャパン,---,松岡正, 2.1, 29, -27,* -7, 6, 12.0, ⑮⑮, 8, 3,Ｊオンザスロｰン, 65,西田雄, 1.6, 65,   9,  -3,11, 90.3,⑩⑨⑧, 8, 9,Ｂカホマックス, 85,中舘英, 0.6, 76,* 12,   1, 6, 15.9, ②②
 9, 8,Ｊシｰアクトレス, 44,小野寺, 3.5, 38,   5, -40,10,184.1,⑫⑪⑪, 9,13, デリケｰトアｰチ,---,蛯名正, 2.4, 27, -16, -20, 2,  4.1, ⑨⑩, 9,11,Ｏアドマイヤキャロル, 55,福永祐, 1.6, 65,  11,  -8, 9, 29.2,⑦⑦⑦, 9, 3,Ｃサリエル, 84,石橋脩, 0.7, 74,   1,  11, 5, 12.4, ⑨⑧
10,11,Ｅゲンパチロッキｰ, 56,柴田大, 4.5, 36,*  9, -68, 6, 29.1,③③③,10,14, ジャパンファイト,---,戸崎圭, 2.5, 29,  -9, -25, 3,  5.2, ⑤⑤,10, 4,Ｆタマノリテラシｰ, 68,江田照, 1.9, 62,  11, -11, 7, 20.9,⑤④⑤,10, 2,Ｈステイドリｰム, 83,大庭和, 0.8, 73,  -1,  11, 7, 16.8, ⑬⑪
11, 6,Ｋオメガドｰヴィル, 44,平野優, 4.6, 33,   3, -47, 8, 74.9,⑥⑫⑫,11, 1, ダブルピｰス,---,武士沢, 2.7, 23, -24, -15,14,136.2, ⑭⑭,11, 6,Ｋオルレアンノオトメ, 65,武士沢, 1.9, 61,* 13, -14, 4,  8.9,①①①,11, 1,Ｏスピｰドアタック, 75,小林淳, 0.9, 73,  -2,  11,13,219.2, ⑫⑬
12, 1,Ｆテイエムバカラ, 55,江田照, 5.1,  8,* 11, -80, 5, 10.9,①①①,12, 7, マリノアｰサｰ,---,西田雄, 2.8, 23, -20, -19,15,293.1, ⑬⑬,12, 9,Ｍキュルミナン, 64,横山和, 3.2, 55,   8, -15,13,171.8,⑪⑩⑪,12,14,Ｌモアザンスマｰト, 79,柴田善, 1.2, 71,   1,   6,12,147.5, ⑪⑩
,,,,,,,,,,,,13,12, ストレｰトアウェイ,---,大野拓, 2.9, 21, -16, -25,11, 86.0, ⑧⑨,13, 8,Ｌオネスト, 64,柴田大, 3.6, 55,   9, -17,12,163.2,⑫⑫⑫,13,11,Ｍミステリアスバイオ, 78,江田照, 1.4, 68,   1,   5,11,146.8, ⑩⑫
,,,,,,,,,,,,14, 3, アナｰヒタｰ,---,中谷雄, 4.1, 13, -20, -30,12, 96.7, ⑪⑪,14, 2,Ｉトｰアウキウキ, 66,小林淳, 3.9, 51,   5, -15,15,229.1,④⑮⑮,14,12,Ｉルティラｰレ, 80,松山弘, 1.5, 68,   3,   2, 8, 35.8, ⑧⑨
,,,,,,,,,,,,15, 5, トウショウテイスト,---,木幡初, 4.9,  5, -20, -39,10, 40.3, ⑫⑫,15,13,Ｎスペシャルピｰス, 62,木幡初, 4.5, 47,  10, -30, 6, 19.4,⑨⑧⑨,15,10,Ｊティアップハｰレｰ, 80,西田雄, 2.0, 63,   7,  -6,14,230.9, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
単勝:240円 複勝:05=110円 02=110円 09=340円 枠連:290円,,,,,,,,,,,,単勝:360円 複勝:04=160円 08=230円 09=290円 枠連:570円,,,,,,,,,,,,単勝:270円 複勝:05=140円 14=140円 15=460円 枠連:370円,,,,,,,,,,,,単勝:180円 複勝:13=110円 04=170円 15=680円 枠連:530円,,,,,,,,,,,
馬連:280円 ワイド:02-05=160円 05-09=610円 02-09=480円,,,,,,,,,,,,"馬連:1,130円 ワイド:04-08=410円 04-09=670円 08-09=860円",,,,,,,,,,,,馬連:490円 ワイド:05-14=230円 05-15=920円 14-15=860円,,,,,,,,,,,,"馬連:560円 ワイド:04-13=260円 13-15=990円 04-15=2,790円",,,,,,,,,,,
"馬単:540円 3連複:1,430円 3連単:5,150円",,,,,,,,,,,,"馬単:1,880円 3連複:3,090円 3連単:11,490円",,,,,,,,,,,,"馬単:870円 3連複:2,680円 3連単:9,220円",,,,,,,,,,,,"馬単:720円 3連複:5,630円 3連単:17,700円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 6R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,閃光特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｆマルタｰズグロウヴ, 56,田中勝,, 64,*  0,*  1, 7, 33.1,①①①, 1,10, モンストｰル,---,田中勝,, 61, -10,*  5, 3,  5.2, ④③, 1, 3,Ｄスマｰトムｰビｰ, 69,松山弘,, 75,  11,   6, 3,  5.6,   , 1, 9,Ｂビップセレブアイ, 72,戸崎圭,, 79,  13,*  1, 2,  4.2, ⑩⑨
 2, 8,Ｂトミケンベッセル, 66,松岡正, 0.6, 60,  -4,*  4, 1,  2.7,⑦⑦⑦, 2, 9, ニシノビｰクイック,---,蛯名正, 0.6, 53, -10,  -3, 2,  4.3, ⑤⑤, 2, 9,Ｅビラゴｰティアラ, 68,吉田豊, 0.1, 73,  11,   5, 6, 11.6,   , 2, 4,Ｄトゥザサミット, 71,中舘英, 0.1, 80,   8,*  9, 8, 23.4, ⑰⑰
