11年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木古内特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａプリサイスファイン, 61,丹内祐,, 61,*  8,*-15, 1,  1.3, ②②, 1, 2,Ａミッキｰセブン, 76,上村洋,, 64,* -2,*  4, 1,  1.9,①①①, 1, 5,Ｆビｰチパレｰド, 66,川島信,, 72,   4,* 10, 4, 14.0,③④④, 1, 6,Ｅミラクルセッション, 72,四位洋,, 76,  13,   3, 4, 16.7,④③③
 2, 4,Ｄコスモユキシマキ, 49,津村明, 0.3, 56,   5,*-15, 3,  8.7, ④④, 2, 7,Ｇゴｰルドルｰスタｰ, 54,岩田康, 0.2, 64,  -4,*  7, 3,  5.4,⑧⑦⑤, 2,12,Ｉスナｰクヒロイン, 66,秋山真, 0.3, 69,*  6,   3, 7, 23.8,①①①, 2, 5,Ｃステキナシャチョウ, 76,荻野琢, 0.4, 76,* 14,  -2, 3,  7.9,②②②
 3, 1,Ｆセイチャリアット, 36,秋山真, 0.3, 57,   7, -18, 5, 27.4, ③③, 3, 8,Ｂミラクルオブレナ, 64,三浦皇, 1.0, 56,  -4,  -3, 2,  4.1,⑥④③, 3, 8,Ａマイネフェリックス, 74,丹内祐, 0.3, 72,*  6,   4, 1,  2.1,②②②, 3, 7,Ｂメイショウエバモア, 78,池添謙, 0.6, 71,  13,  -2, 2,  3.4,③④④
 4, 2,Ｇモネロ, 35,古川吉, 0.9, 47,  -1, -17, 9,141.6, ⑧⑦, 4, 6,Ｆダｰバンシチｰ, 56,黛弘人, 1.2, 59,  -7,   2, 5, 14.8,⑩⑩⑧, 4, 7,Ｍキタサンハナミチ, 61,武豊  , 0.6, 68,*  5,   2, 5, 18.5,④③③, 4, 9,Ｈトｰアクリスタル, 66,柴山雄, 1.0, 67,   8,   3, 9,177.2,⑦⑦⑦
 5, 8,Ｃコスモゴウテン, 52,三浦皇, 1.2, 46,   6, -28, 4,  9.3, ⑥⑨, 5, 3,Ｄハヤブサアビオン, 58,吉田隼, 1.2, 60,  -7,   4,10, 73.9,⑫⑪⑩, 5, 6,Ｂマルデデルマ, 72,古川吉, 0.8, 66,   1,*  8, 3,  9.2,⑧⑧⑧, 5, 4,Ｆショウナンアリビオ, 71,丸山元, 1.1, 69,   8,   1, 5, 18.9,⑥⑥⑥
 6, 6, シャｰク,---,吉田隼, 1.8, 37,   2, -31, 8,101.7, ⑦⑥, 6,13,Ｊニチドウレパｰド, 51,小林徹, 1.5, 56,* -3,  -8, 6, 15.2,②②②, 6,11,Ｅエアツイッタｰ, 67,松田大, 0.9, 70,   2,   5,11, 45.6,⑥⑥⑦, 6, 2,Ａサトノジュｰオｰ, 79,武豊  , 1.1, 68,* 14, -10, 1,  1.5,①①①
 6, 5,Ｂデビルシニスタ, 52,岩田康, 1.8, 36,  -1, -29, 2,  6.4, ⑨⑧, 7, 5,Ｃキングオブサンダｰ, 59,柴山雄, 1.7, 50,  -5,  -5, 9, 60.4,⑪⑧⑨, 7, 2,Ｊバイナリｰスタｰ, 65,黛弘人, 1.2, 66,   1,   3, 9, 29.3,⑤⑦⑤, 7, 1,Ｉシャカリキオｰ, 64,勝浦正, 1.2, 68,   7,   4, 8,148.5,⑧⑧⑧
 8, 3,Ｈアスコットシチｰ, 33,丸山元, 1.9, 39,* 11, -42, 7, 60.1, ①①, 8,12,Ｈメイショウフジッコ, 52,長谷川, 1.9, 50,  -4,  -8, 8, 54.7,⑦⑥⑦, 8, 9,Ｇフレシｰタ, 66,勝浦正, 1.3, 65,  -2,*  9,12, 61.1,⑬⑬⑫, 8, 3,Ｇレオキュｰト, 70,三浦皇, 1.3, 70,   5,*  7, 6, 50.3,⑨⑨⑨
 9, 7,Ｅオオタニジムチョウ, 46,竹之下, 2.2, 32,   6, -41, 6, 51.0, ⑤⑤, 9, 4,Ｋメイショウオオトネ, 46,四位洋, 2.4, 46,  -4, -15, 4, 13.1,⑨⑤⑥, 9, 1,Ｄユキノクイｰン, 69,三浦皇, 1.7, 62,  -1,   4, 6, 21.1,⑩⑩⑩, 9, 8,Ｄビｰボタンダッシュ, 73,丸田恭, 1.5, 64,  11,  -6, 7, 55.6,⑤⑤⑤
