11年10月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃロｰマンエンブレム, 49,大野拓,, 60,* -7,*  8, 4,  8.3, ⑤③, 1,12, カネスラファｰル,,横山義,,,,, 1,  2.8,⑦③①, 1, 5,Ｃバリアントバイオ, 74,吉田隼,, 69,*  3,   8, 8, 38.1, ⑤③, 1, 8,Ａタイセイレジェンド, 92,蛯名正,, 89,*  5,* 23, 5,  9.9, ①①
 2, 2,Ｉランドフォｰル, 38,嶋田純, 0.3, 60,* -6,*  4, 6, 12.8, ①①, 2, 6, モルエラン,,柴田大,205.0,,,, 2,  3.8,⑩⑦⑥, 2, 9,Ｅニシノオウガイ, 71,吉田豊, 0.0, 67,  -1,* 13, 3,  6.1, ⑦⑦, 2, 2,Ｃエアウルフ, 86,岩田康, 0.4, 87,   2,* 24, 1,  2.5, ⑦⑥
 3, 6,Ｈアルファウイング, 39,和田竜, 1.0, 55,* -7,  -1,10, 33.5, ②②, 3, 4, マスタｰオブゲｰム,,宗像徹,205.4,,,, 8, 22.8,②①②, 3, 4,Ｇアクロスザボｰド, 68,北村宏, 0.2, 69,  -1,  12, 6, 23.8, ③⑤, 3,10,Ｅビギンマニュｰバｰ, 85,藤田伸, 0.6, 85,*  3,  19, 6, 13.7, ④③
 4, 7,Ａデルマエビス, 50,中谷雄, 1.0, 55,  -8,   0, 2,  5.6, ④⑤, 4, 8, オンワｰドシェルタ,,穂苅寿,205.4,,,, 3,  6.3,⑥⑥④, 4, 3,Ａリンガスクリフ, 77,柴田善, 0.3, 67,*  2,   5, 1,  1.6, ②②, 4,14,Ｊゼンノベラｰノ, 81,武豊  , 0.6, 84,*  4,  18, 3,  6.4, ③②
 5, 9,Ｐサイレントキラｰ,  9,勝浦正, 1.3, 55, -12,*  6,11, 34.6, ⑭⑭, 5, 2, アバディ,,大庭和,206.2,,,, 7, 17.3,④②③, 5, 8,Ｈカネトシリｰプイン, 63,中舘英, 0.5, 65,*  3,   4, 9, 53.2, ①①, 5, 6,Ｍエベレストオｰ, 79,横山典, 0.7, 84,   3,  19, 7, 14.7, ②④
 6, 8,Ｆシｰズザデイ, 47,田辺裕, 1.4, 53, -11,   1, 7, 14.3, ⑩⑩, 6,11, ビｰビｰスカット,,西谷誠,207.0,,,, 4,  7.9,⑧④⑤, 6, 7,Ｄダテノスイミｰ, 72,川田将, 0.6, 68,  -2,  12, 5, 21.7, ⑨⑧, 6, 9,Ｎブラッシュアップ, 79,田中勝, 0.8, 84,  -2,* 25,13, 90.2, ⑬⑫
 7,13,Ｅマｰクユアセルフ, 47,北村宏, 1.5, 51,  -8,  -4, 1,  2.5, ⑥⑥, 7, 1, ホｰカｰシｰホｰク,,鈴木慶,207.5,,,,10, 36.8,①⑤⑦, 7, 1,Ｂリアルフリｰダム, 76,蛯名正, 0.7, 66,  -4,* 14, 2,  5.3, ⑧⑨, 7,15,Ｋギンザナイト, 81,三浦皇, 0.8, 84,   3,  19,11, 41.1, ⑥⑤
 8,16,Ｂテイエムデジタル, 49,小林淳, 1.6, 52, -12,   0, 3,  7.5, ⑪⑪, 8,14, エルアルト,,高野和,207.5,,,, 5, 11.9,⑪⑩⑨, 8, 2,Ｆヒノモトイチバン, 69,田辺裕, 1.0, 62,  -1,   5, 4, 10.5, ⑥⑥, 8, 4,Ｇデンコウヤマト, 83,小島太, 1.0, 83,  -2,* 23,12, 63.3, ⑪⑪
