09年 3月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2500m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝｼｬｲﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂエドノゴｰルド, 61,吉田豊,, 63,*  0,   5, 2,  3.6, ②②, 1, 7, エステヴァン,,金子光,,,,, 5,  9.9,③②②, 1, 9,Ａロジロマンス, 86,横山典,, 66,  -2,*  4, 1,  1.1, ⑥⑥, 1, 8,Ａゼンノグッドウッド, 89,松岡正,, 82,   8,*  9, 8, 31.9,⑥⑧⑥
 2, 7,Ｄノボパガｰレ, 58,三浦皇, 0.0, 62,*  0,   4, 3,  6.6, ①①, 2, 9, エイトシｰド,,平沢健,198.0,,,, 6, 14.9,①①①, 2, 8,Ｇサルバドｰルアスカ, 64,松岡正, 0.6, 61,  -4,   0, 6, 29.8, ⑦⑦, 2, 9,Ｂシャイニｰブラウン, 85,デムｰ, 0.4, 79,   8,*  5, 1,  2.7,⑪⑩⑦
 3, 5,Ａカズノウォｰニング, 66,内田博, 0.0, 63,  -3,*  8, 1,  2.3, ③③, 3,12, バシケｰン,,蓑島靖,198.7,,,, 2,  4.7,⑥⑤⑦, 3,13,Ｈオリオンザブラック, 63,嘉藤貴, 0.8, 60,  -4,   0, 7, 82.1, ⑩⑨, 3, 3,Ｄプロヴィナｰジュ, 82,田中勝, 1.0, 74,  11, -13, 3,  6.2,③③③
 4,12,Ｆハナノシルキｰ, 55,デムｰ, 0.2, 60,  -3,   6, 6, 17.3, ④④, 4, 8, ストロングマリオン,,宗像徹,199.0,,,, 1,  2.3,④④④, 4, 3,Ｊナイスプロテクタｰ, 60,小林淳, 0.9, 59,  -7,   1,15,460.2, ⑪⑪, 4, 5,Ｃエｰシンダｰドマン, 84,内田博, 1.2, 73,   9,  -9, 2,  3.9,⑧⑥⑧
 5,11,Ｃアゲシオ, 59,横山典, 0.4, 58,  -7,   7, 5, 14.7, ⑥⑤, 5, 2, シンモン,,山本康,199.2,,,, 4,  7.9,②③③, 5,15,Ｄトｰセンモンロｰズ, 67,安藤勝, 0.9, 57,*  0,  -6, 3, 13.7, ③④, 5, 4,Ｇソニックルｰラｰ, 76,後藤浩, 1.2, 72,   7,  -2,10, 63.2,⑩⑪⑨
 6, 8,Ｅグラスレジェンド, 56,草野太, 0.6, 55, -14,* 11, 8, 29.3, ⑫⑩, 6,13, マイネルスカイハイ,,柴田大,199.9,,,, 7, 24.1,⑧⑥⑤, 6, 6,Ｎスマｰトスパｰクル, 44,吉田豊, 1.0, 57,  -9,   1,14,241.1, ⑫⑫, 6, 1,Ｉアイティトップ, 75,丹内祐, 1.2, 72,   8,  -8, 7, 21.7,⑨⑦⑤
 7, 2,Ｇトウショウタｰボ, 55,武士沢, 0.6, 56,  -9,   7, 9, 49.8, ⑦⑥, 7, 4, ゴｰルドヘラクレス,,水出大,200.5,,,, 8, 26.8,⑨⑦⑥, 7,12,Ｌフライトマイル, 57,柴山雄, 1.1, 58,*  1,  -9,12,190.9, ②②, 7,10,Ｊエフティイカロス, 73,蛯名正, 1.4, 71,  10, -14, 6, 12.8,⑤④④
 8,10,Ｉダイワオｰダｰ, 53,柴山雄, 1.6, 48, -13,   3,12,101.3, ⑬⑫, 8, 1, ウインカスケｰド,,草野太,203.6,,,,12, 83.0,⑪⑨⑨, 8,10,Ｅミスタｰレンチ, 67,江田照, 1.1, 57,  -1,  -7, 4, 16.4, ⑤⑤, 8, 7,Ｆドリｰムノクタｰン, 79,三浦皇, 1.5, 70,* 19, -44, 4,  6.6,②②②
