09年12月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃマジェスティバイオ, 57,岩田康,, 66,*  3,*  5, 1,  1.9,④②②, 1, 8, セレスケイ,,北沢伸,,,,, 4,  6.3,②②②, 1, 1,Ｂフライトオブスワン, 70,武豊  ,, 88,* 16,   7, 1,  1.6, ①①, 1, 7,Ａピイラニハイウェイ, 90,四位洋,, 85,* 11,  13, 1,  4.4,③③②
 2, 7,Ａプリサイスドリｰム, 58,川田将, 1.2, 58,   1,* -1, 3,  6.6,⑤⑤③, 2, 7, マッハジュウクン,,西谷誠,200.9,,,, 2,  3.7,③③③, 2, 6,Ｃナリタシｰズン, 64,岩田康, 0.9, 73,  -2,* 16, 4, 11.7, ⑤⑤, 2, 2,Ｇマイディアサン, 86,北村友, 0.3, 83,  10,  12, 5,  9.2,④⑤⑤
 3,10,Ｄタマモチャｰム, 55,赤木高, 2.0, 52,*  3, -13, 6, 16.8,②①①, 3, 2, トウカイロｰド,,熊沢重,201.5,,,, 9, 57.9,⑧⑥④, 3, 2, アｰトオブビｰン,---,北野真, 1.0, 76,  10,   4, 6, 45.2, ③③, 3,10,Ｂケアレスウィスパｰ, 90,秋山真, 0.3, 84,   7,* 17, 6, 10.0,⑪⑪⑩
 4, 4,Ｂツルマルヤマト, 58,幸英明, 2.1, 53,  -3,* -2, 2,  4.1,⑬⑬⑦, 4, 1, チャｰルストン,,小坂忠,201.7,,,, 6,  8.2,⑦④⑤, 4, 3,Ｅモエレジュンキン, 41,秋山真, 1.0, 75,   6,   8, 5, 29.4, ④④, 4, 3,Ｍロッソトウショウ, 81,飯田祐, 0.3, 83,   9,  15,16,208.7,⑧⑧⑦
 5, 3,Ｈシルクコスモス, 49,松岡正, 2.5, 49,   1, -12, 5, 10.9,⑧⑥⑤, 5,14, シｰスピアｰ,,白浜雄,201.8,,,, 1,  3.5,⑤⑦⑦, 5, 4,Ａサンヴァンサン, 75,藤岡康, 2.2, 70,  15, -11, 2,  2.8, ②②, 5, 4,Ｈアドマイヤマジン, 86,川田将, 0.5, 84,   8,  15, 3,  5.8,⑩⑩⑧
 6, 6,Ｇコスモライレロｰズ, 50,吉田豊, 2.9, 48,  -2, -10, 7, 37.9,⑦⑧⑨, 6, 5, カシノダンク,,林満明,202.0,,,,12,168.4,④⑤⑥,,,,,,,,,,,,, 6,11,Ｆフォｰティファイド, 87,武豊  , 0.5, 84,   8,  14, 2,  4.4,⑨⑨⑨
 7,11,Ｆクレムリンシチｰ, 53,藤田伸, 3.2, 44,*  2, -21, 4, 10.6,⑥③④, 7, 9, ファンドリリｰダｰ,,植野貴,202.1,,,, 8, 25.4,⑨⑧⑧,,,,,,,,,,,,, 7,12,Ｃエタｰナルスマイル, 89,横山典, 0.5, 85,   4,* 22, 8, 22.1,⑯⑯⑯
 8, 1,Ｍメイショウズイカク, 14,浜中俊, 4.0, 42,  -3, -17, 8, 51.3,⑪⑩⑩, 8, 3, トミケンコウテイ,,穂苅寿,202.2,,,, 7, 24.3,①①①,,,,,,,,,,,,, 8, 1,Ｅタｰトルベイ, 87,浜中俊, 0.5, 85,   7,  16, 7, 18.7,⑬⑬⑫
 9, 5,Ｌダイゴチカラ, 26,高野容, 4.3, 39,  -5, -16,10,125.1,⑫⑫⑪, 9,11, マンノダイヤモンド,,今村康,202.3,,,, 5,  8.0,⑩⑨⑨,,,,,,,,,,,,, 9, 6,Ｌメイショウタメトモ, 82,幸英明, 0.5, 83,   9,  13,12, 26.4,⑥⑥⑥
10, 8,Ｅテイエムチェリｰ, 54,藤岡康, 4.4, 39,  -1, -24,11,216.2,③⑦⑥,10,12, シゲルキボウ,,高野容,203.5,,,,11,133.2,⑥⑩⑩,,,,,,,,,,,,,10,13,Ｉディアプリンシパル, 85,藤田伸, 0.5, 83,   7,  16,11, 25.7,⑫⑫⑮
11, 2,Ｊシゲルシンゲン, 41,石橋守, 5.2, 36,  -3, -26,13,289.2,⑨⑨⑫,11,13, ドゥｰエン,,南井大,205.1,,,,14,189.1,⑫⑫⑫,,,,,,,,,,,,,11,16,Ｊショウサンウルル, 85,藤岡佑, 0.9, 79,* 12,   5, 4,  7.9,①①①
12,12,Ｋペプチドストｰム, 37,植野貴, 6.3, 27,  -5, -34,12,221.1,⑩⑪⑬,12, 6, テイエムモモタロｰ,,菊地昇,205.3,,,, 3,  6.2,⑪⑪⑪,,,,,,,,,,,,,12,14,Ｋセフティｰロｰレル, 83,熊沢重, 1.0, 83,   6,  14,15,127.5,⑭⑭⑬
13, 9,Ｉバイヤｰストｰン, 42,熊沢重, 7.1, 26,   0, -49, 9, 72.0,①④⑧,13,10, デンコウヨシキ,,黒岩悠,210.4,,,,13,176.3,⑭⑭⑭,,,,,,,,,,,,,13, 9,Ｄアドマイヤミリオン, 89,岩田康, 1.0, 80,   5,  15,10, 24.3,⑮⑮⑭
,,,,,,,,,,,,14, 4, スズカスコｰル,,仲田雅,210.7,,,,10, 76.1,⑬⑬⑬,,,,,,,,,,,,,14,15,Ｎツバサドリｰム, 80,吉田豊, 1.4, 76,  10,   3,13, 63.3,⑤④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｏニホンピロコナユキ, 73,酒井学, 2.4, 70,* 11,  -6,14,112.6,②②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐショウナンアルバ, 70,デムｰ, 2.9, 66,   8,  -6, 9, 24.0,⑦⑦⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
