09年 7月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2770m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尾瀬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａシックスシグマ, 62,黛弘人,, 65,*  1,   2, 5,  8.3, ①①, 1, 8, サンベルナｰル,,横山義,,,,, 2,  4.1,⑥③②, 1,13,Ａアストレｰション, 68,内田博,, 68,* -4,* 12, 1,  1.9,③③②, 1, 7,Ａショウナンカザン, 80,内田博,, 82,  -2,* 17, 1,  1.4, ②②
 2, 7,Ｃバルバロッサ, 60,内田博, 0.3, 63,* -1,   1, 1,  2.2, ②③, 2, 9, モルフェサイレンス,,大江原,183.4,,,, 1,  2.1,⑤④④, 2, 2,Ｂカゼノグッドボｰイ, 66,村田一, 0.3, 68,  -5,* 13, 2,  4.6,④④④, 2, 8,Ｂアモｰレヴォレ, 79,吉田豊, 0.4, 76,*  2,   8, 2,  5.6, ①①
 3,14,Ｂマスタｰプラン, 60,蛯名正, 0.4, 61,* -2,   1, 4,  6.7, ③②, 3,10, トロフィｰディｰル,,穂苅寿,183.5,,,, 3,  6.7,①①①, 3, 7,Ｄレオビンテｰジ, 58,大野拓, 0.7, 61,* -4,   6, 4,  9.1,②②①, 3, 6,Ｄセレスダイナミック, 73,後藤浩, 0.7, 72,  -6,* 12, 3, 10.5, ⑧⑥
 4, 6,Ｆファイナルラップ, 55,大野拓, 0.6, 59,  -5,   2, 3,  5.4, ④④, 4,12, スタッテン,,柴田大,183.7,,,, 5, 15.1,⑦②③, 4, 3,Ｃサニｰストリｰト, 61,田辺裕, 1.3, 56,  -7,   6, 5, 14.2,⑧⑧⑤, 4,12,Ｃナチュラルウィン, 78,北村宏, 0.9, 69,  -3,   7, 5, 17.5, ⑥⑧
 5, 8,Ｇメジロデュｰチン, 53,小野次, 1.1, 54, -13,*  5, 9, 77.4, ⑧⑧, 5, 1, エイトシｰド,,平沢健,184.5,,,, 4,  7.5,④⑥⑥, 5, 8,Ｈシャンパンブランチ, 49,北村宏, 1.5, 54,  -5,   1, 6, 24.2,⑤⑤⑥, 5,11,Ｆスマｰトエッジ, 67,石神深, 0.9, 71,  -3,   7, 6, 30.7, ⑤⑦
 6, 2,Ｄグラスレジェンド, 59,的場勇, 1.2, 53, -22,* 10, 2,  4.3, ⑬⑬, 6,13, グレｰトバルサｰ,,石神深,184.6,,,,11, 59.2,⑪⑪⑧, 6,12,Ｊアドマイヤワンダ, 45,的場勇, 1.8, 56,  -6,   0, 8, 48.6,⑥⑥⑦, 6, 4,Ｊエイシンイッキ, 65,石橋脩, 0.9, 71,  -3,   7, 9, 88.8, ④③
 7, 5,Ｅシノブワンダｰ, 58,田辺裕, 1.6, 49, -15,   2, 6, 32.5, ⑩⑩, 7, 4, ユウフジ,,山本康,184.6,,,, 8, 40.6,⑨⑤⑤, 7, 4, ワイルドウエスト,---,後藤浩, 2.8, 46,  -7,  -8, 3,  6.1,⑩⑦⑧, 7, 5,Ｈスワンキｰポｰチ, 66,田中勝, 1.0, 69,  -6,   8, 4, 12.8, ⑦⑤
 8,10,Ｌマルブツジャガｰ, 41,西田雄, 1.6, 50,  -7,  -6,11,149.8, ⑤⑤, 8, 5, クイックステップ,,柴田未,185.2,,,,13, 97.3,⑩⑩⑨, 8, 1,Ｇカラｰザホワイト, 50,柴田善, 2.8, 50, -10,   0, 9, 50.8,⑪⑬⑫, 8, 3,Ｅクリｰルバレット, 67,黛弘人, 1.2, 66, -10,   9, 7, 36.3, ⑪⑪
 9, 1,Ｊユウワスｰパｰ, 44,伊藤工, 1.8, 45, -15,  -1,14,235.3, ⑨⑨, 9, 2, タイキボナパルト,,五十嵐,189.0,,,, 9, 49.2,⑧⑨⑩, 9, 6,Ｉドンヤマト, 48,吉田隼, 3.1, 46,  -9,  -6, 7, 39.7,⑨⑩⑨, 9, 1,Ｇウインドストｰム, 66,吉田隼, 1.2, 66, -11,  10,10, 97.4, ⑩⑨
10, 9,Ｉヴィｰヴァヴァント, 50,武士沢, 2.1, 44,  -9,  -9,15,298.5, ⑥⑥,10, 3, カシマレジェンド,,佐藤聖,191.4,,,, 7, 35.6,②⑧⑪,10, 9,Ｆオンワｰドラフィネ, 51,西田雄, 3.1, 44,* -4, -15,10, 57.1,①①③,10,10,Ｋフェザｰウイング, 64,蛯名正, 1.5, 62,  -6,   1, 8, 65.1, ⑨⑩
11,11,Ｍレオミラクル, 37,江田照, 2.1, 44, -16,  -3, 8, 54.4, ⑪⑪,,,,,,,,,,,,,11,14,Ｌミヤギスピリット, 36,木幡初, 3.2, 44,  -9,  -7,12,122.1,⑬⑫⑬,11, 9,Ｉタカラタロウ, 65,北村友, 2.6, 48,*  0, -18,11,148.1, ③④
12,12,Ｈウインクドン, 51,小林淳, 2.2, 44,  -8, -10, 7, 40.7, ⑦⑦,,,,,,,,,,,,,12,11,Ｅアｰルノミネｰト, 52,水出大, 3.2, 44,  -8,  -9,11, 72.9,⑦⑨⑩,12, 2,Ｌヤマニンパルファン, 63,伊藤工, 3.3, 40, -27,  -1,12,408.6, ⑫⑫
13,13,Ｋコウジンカメオ, 42,柴山雄, 2.7, 39, -16,  -8,16,379.3, ⑫⑫,,,,,,,,,,,,,13, 5,Ｋフォレストグリｰン, 43,佐藤聖, 3.8, 41,  -9, -12,13,403.5,⑫⑪⑪,,,,,,,,,,,,
14, 3,Ｎロッキｰマウンテン, 19,池崎祐, 3.9, 27, -23, -12,13,233.5, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 4, カペルマイスタｰ,---,金子光, 3.9, 27, -38,   0,10,137.3, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
