09年11月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,修学院ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃヴェリタスロｰズ, 60,後藤浩,, 67,*  4,* -2, 2,  3.6, ③③, 1,10, エアラフォン,---,スミヨ,, 70,  -8,* 11, 1,  1.5, ⑨⑩, 1, 9,Ａダイシンオレンジ, 88,川田将,, 85,  11,*  9, 1,  1.3,③③③, 1,12,Ｂミッキｰパンプキン, 83,福永祐,, 93,   2,* 23, 5, 11.5,⑭⑭⑭
 2, 1,Ｂサウンドバリアｰ, 61,幸英明, 0.7, 62,*  6, -11, 1,  3.3, ①①, 2,12, ショウリュウムｰン,---,佐藤哲, 0.1, 67,  -3,   3, 7, 20.8, ⑤④, 2, 6,Ｈフロムジオリエント, 75,藤岡佑, 0.9, 78,* 13,  -1, 5, 19.6,①①①, 2,10,Ｃナリタクリスタル, 83,武豊  , 0.0, 88,   6,  16, 2,  5.3,⑤⑤④
 3, 2,Ａマストバイアイテム, 67,川島信, 0.8, 60,*  6, -11, 4,  5.6, ②②, 3, 1, ユメミルテｰラｰ,---,武豊  , 0.3, 65, -10,*  8, 2, 10.2, ⑩⑨, 3,11,Ｄオｰミプレシャス, 81,国分恭, 0.9, 81,  10,   5, 3, 12.7,⑩⑩⑨, 3,15,Ｊシゲルタック, 78,藤岡佑, 0.2, 82,*  9,   5,12, 84.1,①①①
 4, 9,Ｅハｰトフルボディ, 57,武豊  , 1.0, 58,   2, -10, 3,  5.5, ⑤⑤, 4, 3, アキノグロｰブ,---,秋山真, 0.6, 63,  -6,   0,11, 71.3, ⑦⑦, 4, 5,Ｂナックルパｰト, 84,和田竜, 1.0, 78,  10,   3, 4, 15.2,⑨⑥⑤, 4, 7,Ｅスペルバインド, 81,スミヨ, 0.3, 85,   5,  13, 4,  6.2,⑨⑧⑥
 5, 4,Ｆシュンセイ, 56,川田将, 1.3, 54,  -1,  -9,11, 63.1, ⑧⑥, 5,15, トップミノル,---,南井大, 0.6, 62,  -9,   4, 6, 17.7, ⑬⑫, 5, 1,Ｇサバスデイ, 78,内田博, 1.3, 77,  11,  -1, 7, 28.6,④④④, 5, 2,Ａマッハヴェロシティ, 88,内田博, 0.4, 86,   3,  14, 3,  5.6,⑫⑩⑬
 6,13,Ｏスマｰトメビウス, 32,岩田康, 1.3, 52,  -6,* -5, 6, 20.5, ⑬⑪, 6,13, ピンクジャスミン,---,藤岡佑, 0.7, 60,*  2, -11, 4, 15.6, ②②, 6,10,Ｃハイロｰラｰ, 81,田中健, 1.3, 78,   8,*  6, 2, 10.9,⑬⑭⑭, 6,14,Ｆアドマイヤメジャｰ, 81,川田将, 0.4, 84,   6,   8, 1,  2.7,④④⑤
 7,10,Ｈタイキフレンチキス, 52,田中健, 1.7, 49,  -9,* -5,15,124.2, ⑮⑬, 7, 4, ワキノレジェンド,---,浜中俊, 0.7, 61,* -2,  -6,10, 67.3, ④③, 7, 3,Ｆホワイトショウフク, 78,スボリ, 1.3, 76,  10,   2,10, 65.5,⑧⑨⑦, 7, 3,Ｎタイセイファイタｰ, 70,幸英明, 0.4, 85,   5,  13,11, 55.5,⑧⑨⑧
 8, 5,Ｋサダムキャラメル, 40,浜中俊, 1.7, 52,   3, -17, 7, 23.6, ④④, 8, 8, ヒダカタイザン,---,飯田祐, 0.8, 59,*  3, -13, 5, 15.8, ①①, 8, 4,Ｅホワイトベッセル, 78,スミヨ, 1.3, 76,  10,   1, 8, 35.7,⑥⑧⑥, 8, 4,Ｋデンコウミサイル, 75,武幸四, 0.6, 90,   1,* 20,13,149.3,⑮⑮⑮
