09年 2月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 7R  ダ2400m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾒｼﾞｽﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆユノゾフィｰ, 54,横山典,, 71,*  0,* 15, 1,  2.7, ②②, 1, 7,Ａトｰセンオｰパス, 63,田中勝,, 71, -13,* 19, 1,  2.1, ⑭⑭, 1, 3,Ｂシビルウォｰ, 83,吉田豊,, 88,  12,* 13, 2,  5.4,⑪⑨⑥, 1, 4,Ｃトウショウウェイヴ, 85,吉田豊,, 89,   8,* 17, 1,  2.4,⑧⑧⑦
 2,10,Ｈハンマｰプライス, 53,勝浦正, 0.7, 65,* -1,   9, 5,  7.2, ③③, 2,13,Ｄネイチャｰキング, 58,ルメｰ, 0.0, 67,  -7,* 11, 4,  7.5, ⑦⑦, 2, 8,Ｄチャイコフスキｰ, 82,北村宏, 0.3, 83,* 12,   6, 4, 10.6,②①①, 2,10,Ｇマイネルシュピｰル, 77,蛯名正, 0.2, 83,  12,   1, 8, 38.0,②②②
 3, 8,Ｄノボレインボｰ, 62,大庭和, 0.8, 64,  -3,* 12, 6, 16.6, ⑥⑦, 3, 3,Ｏディナルアルプス, 20,福永祐, 0.2, 64,  -7,   7, 9, 41.7, ⑥⑥, 3,12,Ａトｰセンゴライアス, 85,柴山雄, 0.4, 85,* 12,   7, 3,  7.4,⑩⑤④, 3, 3,Ｄタイセイファイタｰ, 84,川田将, 0.2, 84,  11,   7, 5,  9.5,③③③
 4,16,Ｂカズノウォｰニング, 63,内田博, 1.0, 64,  -2,   9, 4,  7.2, ⑨⑥, 4, 8,Ｅイルサルト, 54,後藤浩, 0.2, 59,* -2,  -1, 2,  5.2, ①①, 4,10,Ｇシャインモｰメント, 79,安藤勝, 0.9, 81,  10,*  9, 1,  1.9,⑨⑩⑩, 4,11,Ｋドリｰムノクタｰン, 72,三浦皇, 0.4, 80,* 16, -12, 4,  9.2,①①①
 5, 4,Ｅキングスリｰジョン, 62,ルメｰ, 1.0, 62,  -2,   8, 2,  3.9, ④④, 5, 4,Ｃニシノアララギ, 59,内田博, 0.5, 61, -10,   9, 3,  5.7, ⑫⑫, 5, 6,Ｆロｰランウェルズ, 81,後藤浩, 1.3, 78,  10,   6,12,145.1,⑤⑧⑨, 5, 7,Ｂイケトップガン, 85,大野拓, 0.4, 84,   7,* 14, 3,  6.2,⑪⑩⑩
 6, 2,Ｃエルサフィｰル, 62,武豊  , 1.1, 63,*  0,   5, 3,  5.6, ①①, 6,10,Ｉトｰヨｰリｰ, 51,勝浦正, 0.6, 59,  -9,   4, 6, 19.5, ⑩⑪, 6, 9,Ｅアルファオリオン, 82,田中勝, 1.4, 78,  11,   3, 7, 17.2,④⑦⑦, 6, 9,Ａダイバｰシティ, 90,横山典, 0.7, 78,   9,   3, 2,  3.4,④④④
 7,15,Ｋスピｰドスクエア, 47,松岡正, 2.1, 56,  -5,   5, 7, 30.0, ⑬⑪, 7,11,Ｋクリｰルエイト, 46,松岡正, 0.8, 57, -10,   5,11, 92.6, ⑬⑬, 7,11,Ｉティンバｰセブン, 78,大庭和, 1.4, 77,* 12,  -2, 9, 33.7,⑥②②, 7, 8,Ｅアヴェンティｰノ, 81,松岡正, 0.8, 79,   8,   4, 7, 25.9,⑦⑦⑧
 8,11,Ｎストロングネオ, 42,北村宏, 2.6, 50,  -6,   0, 9, 63.3, ⑫⑫, 8, 2,Ｆスｰパｰイｰグル, 53,中谷雄, 1.1, 49,* -4, -10, 7, 24.9, ②②, 8, 5,Ｈヒラボクオウショｰ, 78,岩田康, 1.6, 77,  10,   3, 6, 16.3,⑧⑪⑧, 8, 2,Ｉウインシンシア, 76,後藤浩, 1.2, 74,   9,  -4, 9, 39.1,⑥⑥⑤
