09年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山大障害,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａオメガフレグランス, 70,三浦皇,, 64,  -2,*  4, 1,  1.6,⑧⑦⑥, 1, 2,Ｃフィｰルザファン, 60,吉田豊,, 64,  -2,   1, 3,  6.6, ④③, 1, 7,Ａクリスタルボｰイ, 80,北村宏,, 70,*  8,   4, 1,  2.2, ③③, 1, 7, キングジョイ,,西谷誠,,,,, 1,  2.5,③②①
 2, 4,Ｇセイカミカワ, 56,田中勝, 0.7, 58,  -5,*  2, 6, 25.8,⑬⑬⑪, 2, 4,Ｊタイキブルｰス, 52,吉田隼, 0.1, 63,*  0,  -3, 2,  4.1, ②②, 2, 2,Ｅハｰティンハｰト, 67,後藤浩, 0.3, 67,*  8,   2, 3,  8.0, ②②, 2,14, メルシｰエイタイム,,横山義,282.0,,,, 2,  3.3,⑤③②
 3,11,Ｏデルマアウレリア, 41,左海誠, 1.2, 58,  -8,*  6,14,214.4,⑮⑮⑮, 3, 5,Ｂユキノラムセス, 60,北村宏, 0.1, 62,  -4,   1, 4, 11.5, ⑥④, 3, 1,Ｄアイシｰクレット, 67,三浦皇, 0.5, 66,   6,   2, 4, 12.6, ④④, 3, 1, オｰプンガｰデン,,江田勇,282.3,,,, 7, 20.6,⑥④④
 4, 3,Ｆサクラサンダｰ, 59,北村宏, 1.2, 53,* -1,  -8, 4, 10.5,②②②, 4, 6,Ｄアイアイレインボｰ, 56,熊沢重, 0.2, 61,  -9,*  5, 8, 31.6, ⑪⑥, 4, 6,Ｂバイナリｰスタｰ, 72,吉田豊, 0.5, 65,   2,   5, 2,  3.0, ⑨⑨, 4, 4, モルフェサイレンス,,大江原,283.2,,,, 5, 16.5,⑫⑧⑦
 5,15,Ｍゴｰルドマッシモ, 42,吉田豊, 1.3, 55,  -4,  -3,10, 51.5,⑫⑫⑩, 5,12,Ｉマｰシュハリアｰ, 52,田中勝, 0.2, 61,*  0,  -4, 1,  2.0, ①①, 5, 4,Ｊサマｰコｰド, 59,木幡初, 0.6, 66,*  9,  -1,13,137.3, ①①, 5, 8, メルシｰモンサン,,高野容,283.3,,,,13, 93.8,⑧⑥⑥
 6, 5,Ｋジュンノアスカ, 50,中谷雄, 1.3, 55,  -3,  -5,11,104.2,⑩⑨⑧, 6,13,Ｌバｰベナ, 44,江田照, 0.4, 59,  -7,   1, 9, 37.5, ⑨⑤, 6,13,Ｇケｰジｰアメリカン, 64,蛯名正, 0.6, 63,  -4,* 11, 6, 18.4, ⑪⑪, 6,12, マイネルネオス,,宗像徹,283.5,,,, 8, 34.1,⑩⑩⑨
 6, 2,Ｃニシノキュアノス, 63,蛯名正, 1.3, 54,* -1, -11, 3,  9.5,①①①, 7, 1,Ｅオｰサンクロッカス, 55,後藤浩, 0.7, 55, -14,*  4,10, 68.4, ⑮⑩, 7,12, ゴｰルドオリｰブ,---,柴田善, 0.7, 64,   5,   1,11, 99.3, ⑦⑧, 7, 3, トウカイポリシｰ,,北沢伸,283.6,,,, 4, 10.1,②①③
 8, 6,Ｄティアレ, 60,後藤浩, 1.4, 53,  -4,  -5, 2,  5.3,⑪⑩⑨, 8,10,Ｋセンジンジョｰ, 48,クラス, 0.7, 55,  -9,  -1, 7, 20.9, ⑫⑬, 8,14,Ｃプレシャスジェムズ, 68,江田照, 0.8, 62,   0,   5, 8, 42.2, ⑩⑩, 8, 9, メジロスパイダｰ,,穂苅寿,283.9,,,, 9, 62.9,⑦⑤⑤
