09年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃイサミダンス, 52,松山弘,, 58,* -1,* -1, 3,  7.1, ①①, 1,16,Ｈルナフライト, 59,和田竜,, 72,*  7,* -3, 5,  8.8,⑥⑤④, 1,12,Ａミヤコトップガン, 66,武豊  ,, 66,* -8,   9, 1,  1.6,③③③, 1,15,Ａシｰポラリス, 87,太宰啓,, 82,   5,* 17, 1,  2.1,⑨⑥⑤
 2, 5,Ｂロｰズバレｰ, 56,大下智, 0.6, 53,  -4,  -5, 2,  5.5, ③③, 2, 6,Ａフロｰズンダイキリ, 65,福永祐, 0.2, 70,*  7,  -6, 1,  2.9,⑤④③, 2, 2,Ｇヒカリアライブ, 57,福永祐, 0.1, 68, -11,* 12, 5, 20.8,④④④, 2, 8,Ｇトｰホウオルビス, 79,浜中俊, 0.3, 79,*  8,  10, 7, 21.5,①①①
 3, 1,Ａエムオｰゴｰルド, 62,福永祐, 0.6, 54,  -5,  -4, 1,  1.6, ④④, 3, 5,Ｎクリスエスマｰチ, 49,武豊  , 0.3, 69,   3,*  1, 3,  6.6,⑭⑩⑧, 3, 7,Ｃゴッドダンシング, 61,浜中俊, 0.4, 68, -16,* 18, 3,  8.3,⑮⑮⑨, 3, 7,Ｆタガノアッシュ, 79,赤木高, 0.3, 79,*  6,  13, 8, 23.2,②④③
 4, 7,Ｈマイネルセラｰノス, 36,幸英明, 0.7, 52,  -7,  -4, 4,  7.7, ⑥⑥, 4,11,Ｃオカゲサマデ, 65,中村将, 0.6, 67,   5,  -6, 4,  8.0,⑧⑧⑦, 4,10,Ｅエリモキスミｰ, 58,川田将, 0.7, 57,* -9,  -1, 4,  9.5,②②②, 4,12,Ｂピイラニハイウェイ, 85,幸英明, 0.4, 78,   5,  13, 2,  6.0,⑦⑤⑦
 5,11,Ｄグルｰヴィｰコマチ, 50,川田将, 0.8, 52,  -8,  -3, 5, 10.4, ⑦⑧, 5,10,Ｂブラストルピナス, 65,鈴来直, 0.7, 64,*  9, -17, 7, 13.5,②②②, 5, 4,Ｆナナイロカメン, 57,太宰啓, 0.8, 60, -13,   7,10,110.3,⑨⑥⑤, 5, 3,Ｉウインプレミアム, 75,川田将, 0.6, 78,   4,  13, 9, 44.8,⑥⑧⑥
 6, 6,Ｆドラゴンイチロｰ, 45,飯田祐, 0.8, 50, -14,*  0, 8, 64.8, ⑧⑦, 6,12,Ｉセカンドフラッシュ, 58,熊沢重, 0.8, 63,*  8, -15,10, 70.6,③③⑤, 6, 3,Ｋアスカノラムセス, 54,松山弘, 0.9, 57, -13,   3, 8, 58.2,⑥⑤⑥, 6,11,Ｃトシセント, 84,佐藤哲, 0.7, 78,   2,* 18, 3,  6.2,⑭⑭⑭
 7,10,Ｇミニｰバロｰズ, 36,角田晃, 0.9, 52,  -5,  -6, 6, 35.3, ⑤⑤, 7, 4,Ｆサンレイシャｰマン, 62,佐藤哲, 0.8, 64,   0,*  3, 9, 26.2,⑮⑮⑩, 7, 1,Ｄオウハ, 58,中村将, 1.0, 59, -16,   8, 7, 42.1,⑬⑨⑦, 7, 6,Ｌリバプｰルサウンド, 73,小牧太, 0.7, 76,*  7,   8, 4,  6.4,⑤②②
 8, 8,Ｌコウユｰヒｰロｰ,  9,太宰啓, 1.8, 39, -16,  -8,10,161.9, ⑩⑫, 8, 3,Ｊプラチナムブルｰ, 56,赤木高, 1.1, 60,* 10, -24,11,114.7,①①①, 8, 9,Ｂフィクサｰ, 64,佐藤哲, 1.3, 52, -16,   4, 2,  4.3,⑫⑩⑫, 8, 2,Ｄミステリｰゲスト, 84,福永祐, 0.9, 76,   3,  12, 6, 18.2,⑩⑩⑨
