09年 8月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  芝1500m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂタイセイレジェンド, 63,岩田康,, 61,  -7,*  5, 2,  3.6,⑥⑥⑤, 1, 7, ニシノモレッタ,---,三浦皇,, 59,*-14,   4,10, 49.8,①①①, 1, 9,Ｆレットイットライド, 69,宮崎北,, 66,  -6,*  8, 3,  8.9, ⑩⑥, 1, 2,Ａナムラカイシュウ, 79,安藤勝,, 72,   4,*  8, 1,  1.8,⑫⑪⑦
 2, 1,Ｆヤングアットハｰト, 51,藤田伸, 0.1, 60,* -6,   0, 3,  6.3,③③②, 2,10, アドマイヤロイヤル,---,安藤勝, 0.1, 60, -18,* 10, 1,  2.1,②⑤③, 2, 8,Ｅレディオｰロラ, 69,田面木, 0.0, 68,   2,   3, 8, 31.6, ③④, 2, 5,Ｂマイネルアベニｰル, 77,津村明, 0.2, 71,   7,   3, 3,  8.7,⑩⑤⑤
 3,12,Ｃヒットジャポット, 62,横山典, 0.3, 56,* -6,  -3, 6, 18.4,④④③, 3,13, カネトシディオス,---,中舘英, 0.2, 59,*-16,   6, 5, 18.6,④③④, 3, 7,Ｄケイアイスウォｰド, 69,津村明, 0.3, 63,  -3,   3, 6, 13.8, ⑦⑤, 3, 6,Ｆルナキッズ, 74,荻野琢, 0.2, 73,   5,*  6,10, 73.0,⑦⑨⑧
 4,11,Ｇレッドスパｰクル, 50,秋山真, 0.5, 59, -11,*  7, 7, 35.5,⑫⑭⑪, 4,11, ドリｰムヒｰロｰ,---,秋山真, 0.4, 55,*-15,   2,12,100.7,③②②, 4,10,Ｇキスアンドクライ, 69,三浦皇, 0.4, 62,  -2,   2, 4, 11.3, ⑧⑦, 4,11,Ｃヒカルプリンス, 77,横山典, 0.5, 69,*  8,  -1, 2,  3.6,⑤④④
 5, 2,Ａセレスワンラヴ, 65,四位洋, 0.6, 55,* -4,  -9, 5, 15.6,①①①, 5, 2, アニメイトバイオ,---,丸田恭, 0.6, 53, -20,   6, 6, 19.2,⑨⑦⑥, 5, 1,Ｃホワイトクルｰザｰ, 73,藤田伸, 0.4, 62,  -2,   2, 2,  3.1, ⑥⑩, 5, 1,Ｄダイレクトパス, 75,岩田康, 0.6, 70,*  8,  -2, 4, 13.5,④③③
 6, 8,Ｅオメガブルｰグラス, 52,三浦皇, 0.9, 53,  -7,  -7, 4, 10.4,⑧⑧④, 6, 1, ミラクルレジェンド,---,岩田康, 0.7, 56, -25,* 12, 2,  5.3,⑬⑫⑩, 6, 5,Ａワンモアマイウエイ, 75,藤岡佑, 0.9, 57,  -1,  -4, 1,  2.3, ⑤③, 6,12,Ｋクレバｰトウショウ, 67,中舘英, 1.1, 64,*  8,  -8, 6, 17.1,②②②
 7, 3,Ｎガルボ, 38,荻野琢, 0.9, 50,  -7,  -7,10, 52.8,⑦⑦⑦, 7, 9, ディガジェ,---,池添謙, 1.3, 45, -19,  -5, 4,  6.8,⑧⑥⑦, 7, 3,Ｌボイスオブゴッド, 46,池添謙, 0.9, 57,  -8,   2,10, 54.0, ⑪⑪, 7, 8,Ｈシｰアクロス, 70,長谷川, 1.1, 66,*  8,  -9, 5, 15.0,①①①
 8, 7,Ｄアドマイヤテンクウ, 60,安藤勝, 0.9, 52, -10,  -3, 1,  2.1,⑪⑨⑨, 8,12, タマモコントラバス,---,津村明, 1.4, 44, -20,  -4,11, 76.9,⑦⑧⑨, 8, 6,Ｉヒシシャトル, 64,秋山真, 1.1, 56,   3,  -8, 7, 20.1, ②②, 8, 7,Ｅエバｰアップワｰド, 74,宮崎北, 1.3, 62,   4,  -3, 8, 48.2,⑨⑩⑪
