09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,14,Ｈソリッソ, 52,後藤浩, 2.0, 45,*  7, -15, 9, 49.0, ③③,12,11, リバティバランス,---,クラス, 1.5, 36, -28,  -5, 8, 20.3,⑧⑦⑩,12,12,Ｐジャングルハヤテ, 48,吉田豊, 1.4, 64,  -8,   8,13,179.1,⑮⑯⑯,12,15,Ｌネヴァブション, 88,北村宏, 3.9, 77,  24, -43,13, 60.0,⑨⑨⑭
13,10,Ｋリュウジョ, 41,伊藤工, 2.6, 40,*  7, -20,11,113.6, ②②,13,17, カクテルハｰト,---,吉田豊, 1.8, 38, -31,   1,15,174.3,⑯⑰⑰,13, 2,Ｌカワキタコマンド, 63,武士沢, 1.5, 57,* -1, -11,12,154.2,②③③,13, 8,Ｉリｰチザクラウン, 90,武豊  , 4.6, 75,* 27, -61, 5, 12.6,①①⑧
14,15,Ｎフレンドパライバ, 33,小野次, 2.9, 36,  -2, -14,16,312.9, ⑫⑭,14, 3, オウケンドラゴン,---,ルメｰ, 1.9, 37, -30,  -1, 6, 14.1,⑰⑯⑯,14,10,Ｊシｰキングフェイム, 66,北村宏, 1.5, 58,* -1, -10,10, 48.2,③⑤④,14,12,Ｏテイエムプリキュア, 81,熊沢重, 5.7, 71,  24, -67,14, 65.0,③⑪⑮
15, 5,Ｐシャムロック,-23,熊沢重, 3.7, 28,  -7, -17,14,271.1, ⑮⑯,18, 9, コスモタイカン,---,中谷雄, 2.3, 28, -29, -11,18,215.9,⑫⑬⑬,15,16,Ｏトｰセンフリｰジア, 59,浜中俊, 1.9, 58,  -8,  -2,15,259.5,⑭⑮⑮,15, 1,Ｐアンライバルド, 76,デムｰ, 6.8, 68,  26, -86, 8, 14.9,⑤⑥⑪
16, 7,Ｏクリノリメンバｰ,  9,武士沢, 4.5, 20,  -3, -27,15,276.2, ⑬⑬,15,15, メイショウツチヤマ,---,藤田伸, 2.4, 25, -27, -17,11, 68.7,⑩⑧⑦,16, 8,Ｎメジロイングリッド, 61,岩部純, 2.2, 51,*  0, -24,14,211.9,①①①,,,,,,,,,,,,
,,,,,,,,,,,,16,16, リバｰダンス,---,後藤浩, 2.9, 19, -29, -21,17,177.4,⑭⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,14, ウインボナパルト,---,勝浦正, 2.9, 21, -29, -19,10, 35.4,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,
単勝:200円 複勝:11=110円 06=120円 04=170円 枠連:360円,,,,,,,,,,,,"単勝:420円 複勝:01=180円 05=1,360円 07=490円 枠連:950円",,,,,,,,,,,,"単勝:310円 複勝:11=150円 07=240円 13=320円 枠連:1,120円",,,,,,,,,,,,単勝:400円 複勝:09=150円 02=140円 06=380円 枠連:510円,,,,,,,,,,,
馬連:350円 ワイド:06-11=160円 04-11=280円 04-06=360円,,,,,,,,,,,,"馬連:14,130円 ワイド:01-05=4,890円 01-07=1,300円 05-07=9,870円",,,,,,,,,,,,"馬連:990円 ワイド:07-11=470円 11-13=830円 07-13=1,330円",,,,,,,,,,,,"馬連:740円 ワイド:02-09=320円 06-09=830円 02-06=1,400円",,,,,,,,,,,
