09年 5月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆゴッドフェニックス, 60,池添謙,, 69,  -6,*  9, 5,  9.3, ⑫⑩, 1, 3,Ｂサクラメガスタｰ, 65,福永祐,, 70,*  7,*  8, 1,  1.8,②②②, 1, 9,Ａサザンギャラクシｰ, 79,武豊  ,, 85,  16,*  3, 2,  2.7, ⑩⑦, 1, 8,Ａベストメンバｰ, 85,四位洋,, 89,  13,* 15, 1,  3.4,④⑤⑤
 2,11,Ｋオｰトクチュｰル, 42,船曳文, 0.5, 64,*  3,  -5,14,231.6, ①①, 2, 6,Ａウインシュｰルマン, 65,武豊  , 0.6, 65,   5,*  8, 2,  2.9,④⑤⑤, 2,15,Ｆプリティダンス, 66,福永祐, 0.2, 83,  18,* -3, 8, 40.3, ⑦⑥, 2, 5,Ｅデルフォイ, 81,武豊  , 0.1, 89,  12,* 18, 3,  4.9,⑧⑧⑦
 3,12,Ｂストｰムツイスタｰ, 70,福永祐, 0.6, 64,  -1,  -1, 2,  3.6, ⑥④, 3, 9,Ｇリバティｰフロｰ, 45,岩田康, 0.6, 62,   4,   5, 3,  7.4,③④④, 3,10,Ｂナリタスレンダｰ, 75,幸英明, 0.5, 80,  16,  -5, 3,  6.0, ⑪⑧, 3, 6,Ｄロｰドロックスタｰ, 82,幸英明, 0.3, 87,* 14,   8, 4,  8.9,①①①
 4, 6,Ｄナムラワカバ, 63,田中克, 0.6, 64,*  2,  -4, 6, 17.3, ②③, 4, 2,Ｃウィズインウエク, 58,小牧太, 1.2, 58,   1,   5, 5, 16.7,⑥⑥⑦, 4,11,Ｌナリタアタッカｰ, 60,熊沢重, 0.9, 75,  18, -13,11, 88.3, ⑤③, 4,14,Ｊメイショウドンタク, 69,小牧太, 1.0, 79,* 14,  -1, 9, 28.6,⑤③③
 5, 1,Ｅクリムゾンブｰケ, 61,浜中俊, 0.7, 63,   0,  -3, 3,  6.1, ④②, 5, 5,Ｄスティアヘッド, 57,上野翔, 1.4, 57,   3,   1, 4, 11.0,⑦⑦⑥, 5, 6,Ｄニシノシュテルン, 71,石橋守, 1.1, 73,  12,  -5, 6, 18.6, ⑭⑭, 5,10,Ｃリクエストソング, 82,後藤浩, 1.1, 79,  11,   5, 2,  4.0,⑨⑨⑨
 6,15,Ｃホクセツテンシ, 64,安藤勝, 0.9, 59,  -5,   0, 4,  7.4, ⑩⑧, 6, 4,Ｈテイエムイタンジ, 45,幸英明, 1.6, 53,*  9, -24, 6, 49.6,①①①, 6,14,Ｅケンセイフライト, 67,長谷川, 1.2, 71,* 19, -20, 5, 13.1, ④⑤, 6, 7,Ｌジョウノワンダｰ, 64,和田竜, 1.2, 78,  10,   6,10, 34.9,⑪⑫⑩
 7,13,Ｇリッカコウユウ, 59,幸英明, 0.9, 61,   0,  -3,12,161.8, ⑦⑤, 7, 8,Ｅトムズビｰム, 50,岩崎祐, 3.3, 42,   6, -36, 8, 81.9,⑤③③, 7,13,Ｊネバｰチェンジ, 63,飯田祐, 1.5, 68,  13, -14, 7, 29.9, ⑫⑫, 7,11,Ｇガウディ, 75,福永祐, 1.2, 79,   8,* 12, 6, 11.8,⑮⑯⑭
 8, 7,Ａブラストアｰト, 72,武豊  , 1.3, 57,  -4,  -4, 1,  2.4, ⑧⑪, 8, 1,Ｆシルクマニュｰバｰ, 46,国分恭, 3.4, 41,  -1, -16, 7, 76.3,⑨⑧⑧, 8, 5,Ｇゼットファｰスト, 65,和田竜, 1.6, 67,  15, -18,13,122.9, ⑨⑪, 8, 3,Ｈダノンカモン, 71,岩田康, 1.3, 74,  12,  -4, 7, 17.2,③④④
