09年 5月10日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月10日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａシャイニｰクエスト, 72,北村友,, 75,* 11,   1, 1,  1.7, ②②, 1,14,Ｂハイゲｰト, 60,上村洋,, 59,   0,  -1, 1,  3.7,⑥⑥⑥, 1, 1,Ｅライジングバイオ, 71,北村友,, 74,*  3,* 12, 3,  4.3,①①①, 1,13,Ａゴｰルディｰロック, 74,大野拓,, 73,  -2,* 14, 6,  9.9, ⑩⑩
 2,12, カシマチャンピオン,---,宮崎北, 0.7, 63,  -2,*  7, 6, 16.7, ⑨⑨, 2, 6,Ｄタイキカレラ, 57,中舘英, 0.0, 61,  -3,*  7, 6, 12.3,⑭⑭⑬, 2, 3,Ｃマイネルハヤト, 73,田辺裕, 0.0, 73,   1,* 15, 1,  2.9,⑤④④, 2,15,Ｃスズカジェット, 71,上村洋, 0.1, 71,   2,   6, 2,  5.1, ④④
 3, 1,Ｋエイコオミリオン, 32,村田一, 0.9, 70,* 13,  -8, 9, 27.4, ①①, 3, 3,Ｃキャンドゥイット, 59,北村友, 0.2, 56,*  1,  -7, 3,  7.0,④④④, 3,13,Ｎキョウタロウ, 58,宮崎北, 0.9, 66,*  2,   5,10, 54.9,②②②, 3,12,Ｄクルンプホルツ, 70,佐藤哲, 0.4, 66,  -1,   6, 5,  9.9, ⑦⑦
 4, 9,Ｃアントルシャカトル, 64,石橋脩, 1.0, 64,   6,  -3, 2,  5.7, ⑥③, 4, 9,Ｅトウショウパンサｰ, 57,田辺裕, 0.4, 55,*  2, -10, 2,  5.0,③③③, 4,15,Ｄメジロオマリｰ, 72,上村洋, 1.0, 70,   1,   8, 4,  8.2,⑥⑦⑦, 4, 4,Ｌダイメイザバリヤル, 58,木幡初, 0.6, 69,  -8,* 16,10, 37.3, ⑯⑯
 5,11,Ｆエムオｰイｰグル, 54,小林淳, 1.6, 60,   7,  -9, 7, 23.5, ③④, 5, 8,Ｋバンダムサピエンス, 49,木幡初, 0.6, 54,  -1,  -4,11, 35.0,⑪⑪⑪, 5,12,Ｂクオン, 74,安藤光, 1.0, 68,  -1,* 11, 5, 14.5,⑮⑫⑩, 5, 3,Ｆモンサンミシェル, 67,安藤光, 0.6, 69,  -5,* 12, 3,  5.5, ⑫⑫
 6, 8,Ｂニシノウズマサ, 70,鮫島良, 1.8, 57,   2,  -6, 3,  7.8, ⑦⑦, 6, 1,Ｉエアレブロン, 52,鮫島良, 0.6, 56,  -5,*  7, 4,  7.4,⑮⑯⑯, 6, 5,Ｊデｰワンハｰト, 65,柄崎将, 1.5, 65,   1,   3,11, 91.2,⑦⑤⑤, 6, 5,Ｂコンプトゥス, 72,鮫島良, 0.6, 66,  -4,   7, 1,  3.5, ⑪⑪
 7,10,Ｈミカエフェクト, 37,岩部純, 2.0, 54,  -4,  -1,11,151.0, ⑩⑩, 7,16,Ｊナムライッカク, 50,小野次, 0.6, 53,  -1,  -4, 5,  8.9,⑫⑫⑫, 7, 4,Ｉハイズワン, 66,赤木高, 1.6, 64,  -1,   6,13,181.4,⑫⑪⑬, 7, 6,Ｈマイネルプルｰト, 65,太宰啓, 0.6, 67,  -2,   6, 4,  8.8, ⑨⑨
 8, 3, ガイアボルケｰノ,---,荻野琢, 2.1, 51, -13,*  4, 5, 16.2, ⑭⑭, 8,10,Ｇテンシノザｰル, 56,安藤光, 0.9, 50,   0, -15, 8, 18.5,⑤⑤⑤, 8, 9,Ｆキャプテンルビｰ, 70,田中博, 1.7, 64,   1,   3, 6, 15.3,③⑨⑨, 8, 8,Ｋテラモミリオネ, 58,宮崎北, 0.9, 59,*  6, -13,13, 55.8, ①①
 9, 4,Ｅリンガスアクトレス, 57,中舘英, 2.3, 52,   5, -14, 8, 25.0, ④⑥, 9, 2,Ｍテンブレイク, 47,黛弘人, 0.9, 51,  -4,  -3,14, 94.2,⑯⑮⑮, 9, 6,Ｇスマｰトレイズ, 70,鮫島良, 1.7, 66,  -1,   6, 7, 23.1,⑩⑭⑭, 9,16,Ｇジョニｰバロｰズ, 66,中舘英, 0.9, 63,*  3,  -9, 9, 34.6, ③③
10, 6,Ｄブレｰヴクン, 64,丸山元, 2.4, 52,   6, -16, 4, 12.0, ⑤⑤,10, 5,Ｎコｰド, 44,柴田大, 1.0, 51,  -1, -10,16,205.3,⑩⑩⑩,10,10,Ｌアサクサキンメダル, 61,中谷雄, 1.7, 64,*  3,   0,12,105.5,④③③,10, 2,Ｅパブリッシャｰ, 70,北村友, 0.9, 64,  -8,  10, 8, 15.4, ⑭⑭
11,13,Ｌタケデンエビス, 30,田中博, 2.6, 47,  -8,  -4,12,163.3, ⑪⑪,11, 7,Ｏマタハリクｰ, 43,大野拓, 1.0, 50,  -2,  -7,13, 79.1,⑬⑬⑭,11, 7,Ａメイショウイッキ, 76,中舘英, 2.1, 60,   1,  -1, 2,  3.8,⑧⑥⑥,11,10,Ｐヨイチノｰス, 55,的場勇, 0.9, 61,  -4,   4,16,119.3, ⑬⑬
12, 2,Ｇカントリｰロｰズ, 48,池崎祐, 3.4, 40, -10,  -9,13,203.3, ⑫⑫,12,12,Ａトミケンインパクト, 63,宮崎北, 1.0, 49,   0, -14, 9, 18.8,⑦⑦⑦,12, 2,Ｈモリトパラダイス, 66,佐藤哲, 2.7, 57,  -2,  -1, 9, 42.8,⑭⑮⑫,12, 1,Ｏタツエンペラｰ, 55,赤木高, 1.2, 58,  -4,  -2,14, 74.9, ⑧⑧
13,15,Ｍラスリｰラ, 25,松山弘, 3.6, 39,  -2, -18,14,208.4, ⑧⑧,13,11,Ｐアルティマタレント, 39,柴原央, 1.1, 47,*  1, -23,10, 24.2,②②②,13,11,Ｍダノンシｰガルズ, 58,石橋脩, 2.7, 56,   1,  -6, 8, 25.6,⑬⑧⑧,13, 7,Ｎカンタカ, 56,村田一, 1.3, 58,   0,  -9,11, 41.7, ⑤⑤
14, 7,Ｊブルｰフィット, 33,太宰啓, 5.1, 28, -10, -23,10,136.5, ⑬⑬,14,13,Ｆユウクン, 56,梶晃啓, 1.5, 45,   0, -21,15,132.4,⑧⑧⑧,14,14,Ｏヨシエンデュランス, 46,山本康, 3.3, 53,  -1,  -8,15,355.9,⑪⑬⑮,14, 9,Ｊジュワユｰス, 62,南田雅, 1.5, 54,   0, -12,15, 90.4, ⑥⑥
15,14,Ｉマンハッタンビｰト, 34,南田雅, 5.2,  9, -30,  -6,15,239.4, ⑮⑮,15, 4,Ｌトｰコｰタカシ, 48,赤木高, 2.3, 39,*  3, -41, 7, 12.7,①①①,15, 8,Ｋエリモアミｰゴ, 62,荻野琢, 3.4, 53,   0, -11,14,207.0,⑨⑩⑪,15,11,Ｍエイワハヤブサ, 57,石橋脩, 2.2, 49,  -6, -10,12, 47.9, ⑮⑮
,,,,,,,,,,,,16,15,Ｈスズマｰシャル, 52,佐藤哲, 2.6, 37,  -1, -35,12, 42.5,⑨⑨⑨,,,,,,,,,,,,,16,14,Ｉオｰクリｰフキッド, 64,田中博, 2.9, 37,*  4, -41, 7, 14.9, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,
"単勝:170円 複勝:05=110円 12=540円 01=790円 枠連:1,980円",,,,,,,,,,,,"単勝:370円 複勝:14=170円 06=370円 03=240円 枠連:2,520円",,,,,,,,,,,,単勝:430円 複勝:01=180円 03=140円 13=970円 枠連:510円,,,,,,,,,,,,"単勝:990円 複勝:13=350円 15=210円 12=310円 枠連:1,140円",,,,,,,,,,,
"馬連:2,030円 ワイド:05-12=820円 01-05=900円 01-12=4,580円",,,,,,,,,,,,"馬連:2,600円 ワイド:06-14=890円 03-14=600円 03-06=1,440円",,,,,,,,,,,,"馬連:670円 ワイド:01-03=260円 01-13=3,370円 03-13=1,840円",,,,,,,,,,,,"馬連:2,620円 ワイド:13-15=980円 12-13=1,370円 12-15=870円",,,,,,,,,,,
"馬単:2,970円 3連複:11,200円 3連単:41,080円",,,,,,,,,,,,"馬単:4,600円 3連複:6,590円 3連単:36,950円",,,,,,,,,,,,"馬単:1,500円 3連複:8,810円 3連単:44,640円",,,,,,,,,,,,"馬単:5,890円 3連複:6,990円 3連単:46,960円",,,,,,,,,,,
■ 2R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 8R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八海山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄレｰシングレデイｰ, 55,松山弘,, 64,   6,  -3, 6, 12.0, ③④, 1, 2,Ｉスイｰトマトルｰフ, 53,石橋脩,, 69,   1,*  1, 4,  5.6, ⑦⑧, 1, 8,Ｄメイショウベｰネ, 71,大野拓,, 69,   1,  10, 8, 23.5, ⑤⑤, 1, 6,Ｂトｰセンセイント, 82,中舘英,, 82,* 10,  10, 1,  2.4, ①①
 2, 2,Ａクｰルアンフルｰル, 66,武英智, 0.3, 59,   4,  -4, 2,  4.1, ⑥⑥, 2,14,Ｇセトウチダイヤ, 54,宮崎北, 0.2, 65,*  4,  -5,11, 43.2, ②②, 2, 7,Ｂサンアイブライト, 72,木幡初, 0.0, 69,*  2,   9, 4,  7.6, ④④, 2,14,Ｃコンティネント, 81,北村友, 0.3, 78,   6,* 10, 2,  5.3, ⑤③
 3,10,Ｂヴィトンクイｰン, 62,木幡初, 0.5, 59,*  8, -10, 1,  3.9, ④③, 3,11,Ｄカネスアドラシオン, 61,丸山元, 0.2, 65,   2,* -3, 5, 15.5, ⑤③, 3, 3,Ｈビｰモブホｰプ, 67,田中博, 0.1, 72,  -1,* 17, 6,  9.7, ⑨⑨, 3,11,Ｄタンティモｰル, 80,佐藤哲, 0.5, 77,   0,* 14, 6, 12.3, ⑪⑩
