09年11月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貴船ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａディガジェ, 67,武豊  ,, 57,*  7, -10, 1,  1.6, ①①, 1,10, マッキｰケインズ,,佐久間,,,,, 5,  7.8,③②②, 1, 9,Ｅメイショウデイム, 69,福永祐,, 74,   1,*  5, 7, 12.4, ⑥⑦, 1,12,Ｈラインプレアｰ, 80,角田晃,, 80,   2,* 15, 8, 18.6, ⑭⑬
 2, 9,Ｄシゲルタダカツ, 57,川島信, 0.0, 55,   4,  -7,11,125.1, ③③, 2, 8, スタｰフォワｰド,,北沢伸,194.6,,,, 2,  4.3,⑤③③, 2, 4,Ｇダノンカスガ, 57,ルメｰ, 0.1, 72,   4,  -1, 5, 11.2, ④④, 2, 8,Ｊサラトガ, 77,池添謙, 0.0, 81,   8,  10,11, 37.7, ⑩⑦
 3, 2,Ｉランドタカラ, 49,国分恭, 0.3, 53,  -1,* -3, 7, 47.6, ⑭⑭, 3, 1, テイエムチｰタｰ,,出津孝,194.7,,,, 3,  4.4,①①①, 3, 7,Ｂフェブスカイ, 72,幸英明, 0.4, 70,*  6,  -7, 6, 11.8, ②②, 3,14,Ａインプルｰヴ, 87,ルメｰ, 0.1, 79,   8,   8, 1,  3.1, ⑧⑧
 4, 5,Ｅチャｰミｰハヅキ, 54,小坂忠, 0.3, 53,   0,* -3, 8, 57.9, ⑪⑫, 4, 7, マンノダイヤモンド,,今村康,196.4,,,, 4,  7.2,⑥⑤⑥, 4, 2,Ｃドリｰムバレンチノ, 71,松山弘, 0.5, 68,*  5,  -7, 3,  5.7, ③③, 4, 6,Ｅスペシャルクイン, 83,福永祐, 0.3, 81,* 14,   1, 2,  4.4, ②②
 5, 8,Ｏテンシノデジタル, 30,安部幸, 0.3, 55,   2,  -7,15,242.7, ⑦⑥, 5, 4, チャｰルストン,,小坂忠,197.0,,,, 7, 13.1,④④④, 5, 5,Ｄエｰシンダックマン, 70,四位洋, 0.5, 69,*  7, -11, 4, 11.0, ①①, 5, 2,Ｃストｰリｰテリング, 84,松岡正, 0.5, 77,   9,   4, 3,  5.7, ⑥④
 6,16,Ｂアスタｰタイクｰン, 67,幸英明, 0.4, 54,   4,  -9, 3,  8.2, ⑥⑤, 6, 9, バサラプリンセス,,岩崎祐,197.9,,,,10, 83.2,⑦⑥⑤, 6,11,Ｆドリｰムフォワｰド, 66,川田将, 0.5, 67,  -1,   1, 2,  3.9, ⑧⑨, 6,13,Ｆスリｰサンフレンチ, 82,武豊  , 0.5, 74,  -2,* 16, 9, 23.4, ⑯⑯
 7,14,Ｋトシバｰド, 48,池添謙, 0.7, 50,   2,  -9, 6, 39.7, ⑨⑧, 7, 2, ドラゴンホｰラｰ,,仲田雅,199.5,,,, 8, 22.6,⑧⑧⑦, 7,10,Ｊカシノピストン, 44,和田竜, 0.7, 64,  -4,*  2, 9,138.3, ⑪⑪, 7, 4,Ｏクリノビリオネア, 69,浜中俊, 0.6, 75,   4,   8, 5, 15.5, ⑬⑭
 8,12,Ｍラブコマドリｰ, 35,渡辺薫, 0.9, 50,   4, -15,12,156.1, ④④, 8, 3, スウェプトスルｰ,,宗像徹,200.8,,,, 9, 81.9,⑨⑨⑧, 8, 6,Ｉメジャｰテｰスト, 47,田中博, 0.7, 65,  -2,  -1,11,258.6, ⑨⑧, 8,11,Ｉブラックシャドウ, 78,熊沢重, 0.7, 75,   6,   6, 6, 15.9, ⑪⑪
 9, 6,Ｐスタｰリングパｰト, 26,田中博, 1.0, 49,   4, -14, 9, 74.7, ⑤⑦, 9, 6, エｰシンエスヴィｰ,,熊沢重,204.3,,,, 6,  8.4,②⑦⑨, 9, 3,Ｈテイエムハエゲナ, 55,佐久間, 0.7, 64,  -3,   1,10,206.1, ⑩⑩, 9,16,Ｍリボンノキシ, 75,国分恭, 0.8, 75,   6,   5,16,251.1, ⑫⑫
10,10,Ｈチャｰムドライフ, 53,和田竜, 1.0, 48,   0,  -9, 5, 17.3, ⑫⑬,,,,,,,,,,,,,10, 1, ホワイトランナｰ,---,藤岡康, 0.9, 62,   0,  -6, 8, 97.7, ⑦⑥,10, 9,Ｄイセノスバル, 83,小林徹, 0.8, 75,   9,   1, 7, 16.0, ⑤⑤
11, 4,Ｃテイエムファイヤｰ, 58,田嶋翔, 1.0, 49,*  6, -17, 4,  9.8, ②②,,,,,,,,,,,,,11, 8, プティフルリｰル,---,安部幸, 1.3, 59,  -8,   2,12,357.9, ⑫⑫,11, 3,Ｇシｰアクロス, 82,大下智, 1.0, 76,   9,   0,10, 30.3, ⑦⑥
12,13,Ｊフリｰクムｰン, 49,石橋守, 1.3, 46,  -1, -11,14,220.8, ⑮⑨,,,,,,,,,,,,,12,12,Ａスズカベラミｰ, 75,武豊  , 2.5, 44,   4, -32, 1,  2.2, ⑤⑤,12, 1,Ｎリンリンリン, 75,安部幸, 1.4, 74,* 16, -10,12, 54.4, ①①
13,11,Ｇサラノガンプ, 53,松岡正, 1.7, 42,   2, -17,10, 82.8, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｂスｰサンライダｰ, 86,和田竜, 1.6, 69,* 12,  -8, 4,  7.6, ④③
14, 7,Ｎシゲルネネ, 35,中村将, 1.8, 42,  -1, -14,16,369.1, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｌサザンビュｰティｰ, 76,田嶋翔, 1.7, 66,   9,  -6,14, 74.1, ⑨⑨
15, 1,Ｌカシノグロｰブ, 39,藤岡康, 2.1, 38,  -6, -10,13,157.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｋプリモロｰズ, 76,川島信, 2.0, 64,  11, -11,13, 59.4, ③⑩
16,15,Ｆアンソニカ, 53,川田将, 2.1, 39,   0, -19, 2,  4.8, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｐウインスペンサｰ, 66,渡辺薫, 2.1, 61,   1,  -2,15,215.4, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
