09年11月 7日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 7日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長岡京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃダンツブラボｰ, 53,松山弘,, 61,   0,* -2, 6, 16.0, ⑤②, 1, 9,Ａヴィクトワｰルピサ, 67,武豊  ,, 64,* -6,* 12, 1,  1.2,③②②, 1, 7,Ａエｰシンホワイティ, 69,国分恭,, 71,   5,   8, 1,  2.4, ④③, 1,13,Ａタイガｰストｰン, 84,四位洋,, 89,  -4,* 19, 1,  3.6, ⑥⑤
 2, 3,Ａディガジェ, 58,武豊  , 0.0, 63,*  3,  -6, 1,  1.6, ①①, 2, 6,Ｂフィｰルドペガサス, 62,藤岡佑, 0.6, 58,  -7,   5, 3,  7.3,②③③, 2, 4,Ｂエｰシンダックマン, 67,ルメｰ, 0.1, 71,* 13,  -2, 2,  2.6, ①①, 2,18,Ｅルミナスハｰバｰ, 80,小牧太, 0.2, 85,  -3,  15, 4,  7.5, ④④
 3, 9,Ｇエンジェルブレス, 50,小牧太, 0.3, 60,   0,* -4, 3,  9.7, ⑥⑤, 3, 7,Ｊバンコジｰロ, 44,ルメｰ, 0.8, 57,  -9,   5, 2,  5.6,⑦⑧⑥, 3, 2,Ｄドリｰムフォワｰド, 59,川田将, 0.3, 69,  -6,* 16, 4,  8.1, ⑥⑥, 3,14,Ｆケイアイアストン, 78,秋山真, 0.3, 82,*  0,   9, 5, 10.9, ①①
 4, 7,Ｋシゲルタダカツ, 39,川島信, 0.9, 53,  -2,  -7,11,173.9, ⑩⑨, 4, 4,Ｃトｰワランマル, 53,国分恭, 1.0, 54,  -8,   1, 7, 68.2,④④⑤, 4, 3,Ｃアドマイヤサｰフ, 67,小牧太, 0.5, 66,   7,   0, 3,  4.5, ②②, 4, 6,Ｄサワヤカラスカル, 83,武豊  , 0.5, 83,  -7,* 17, 3,  4.8, ⑨⑩
 5, 2,Ｆオフェンシヴライン, 51,川田将, 1.5, 50,  -4,  -9, 5, 15.7, ⑪⑪, 5,11,Ｅファイブイｰグル, 50,和田竜, 1.0, 54,  -8,  -1, 5, 59.1,⑤⑤④, 5, 5,Ｅダンツミラション, 57,藤田伸, 0.7, 63,   4,   0, 5, 16.2, ③④, 5,10,Ｃエイシンパンサｰ, 83,藤田伸, 0.6, 81,  -3,  11, 2,  3.8, ⑤⑦
 6, 8,Ｄマイネルガンバ, 52,和田竜, 1.7, 47,  -3, -13, 4, 11.7, ⑨⑩, 6, 8,Ｈバンブｰヴィｰナス, 44,鮫島良, 1.1, 52,* -5,  -8, 8, 77.0,①①①, 6, 6,Ｆコスモソルスティス, 54,和田竜, 0.9, 60,  -1,   3, 7, 43.4, ⑤⑤, 6,17,Ｉベイリングボｰイ, 77,渡辺薫, 0.7, 80,  -6,  13,10, 53.2, ⑦⑥
 7,10,Ｅスズカジェネラル, 52,小林徹, 1.9, 47,  -1, -17, 8, 29.3, ⑧⑥, 7, 1,Ｇモｰレツ, 45,松山弘, 1.6, 50, -12,   1, 9,102.9,⑨⑩⑩, 7, 1,Ｇダイヤペルセウス, 44,武幸四, 2.4, 41, -11,  -8, 6, 43.1, ⑦⑦, 7, 7,Ｈスｰパｰワシントン, 78,藤岡佑, 0.8, 80, -10,* 17, 8, 42.2, ⑪⑫
 8, 4,Ｂメイショウガンケン, 58,渡辺薫, 2.0, 47,   0, -20, 9, 42.5, ④⑦, 8, 5,Ｉカゲトラ, 44,熊沢重, 1.9, 44,  -9,  -9,11,176.8,⑥⑦⑦,,,,,,,,,,,,, 8,15,Ｌウィズディクタット, 76,小林徹, 1.0, 78, -10,  14, 9, 44.2, ⑭⑬
