09年 5月31日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月31日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂメイショウスクラム, 67,松田大,, 69,*  6,* -4, 2,  6.7,⑤④②, 1, 4, ハストラング,,西谷誠,,,,, 1,  2.5,⑤①①, 1, 7,Ａエｰシンコンファｰ, 78,吉田稔,, 70,*  8,  -6, 1,  4.0,①②②, 1,14,Ｂアンダｰカウンタｰ, 89,赤木高,, 80,  10,* 10, 3,  7.1,⑦⑦④
 2,12,Ａダノンフィｰバｰ, 73,吉田稔, 0.1, 65,*  7,* -7, 1,  1.2,①①①, 2, 1, スリｰキセキ,,植野貴,182.5,,,, 4,  9.1,③②②, 2,11,Ｄサクラオｰルイン, 69,中舘英, 0.0, 73,   1,*  7, 7, 14.2,⑯⑮⑩, 2, 7,Ｃテイエムザエックス, 88,和田竜, 0.2, 80,  11,   7, 2,  3.4,⑥⑥⑦
 3,15,Ｆカイテキゴｰゴｰ, 60,国分恭, 0.7, 63,   5,* -6, 8, 55.9,⑨⑩⑧, 3,10, シロキタベガ,,高井彰,183.5,,,, 3,  4.4,⑥⑥⑥, 3, 4,Ｆフミノウインダム, 68,池添謙, 0.2, 69,   6,  -3, 5,  7.0,⑧⑦⑤, 3,15,Ｍメイショウエンジン, 81,浜中俊, 0.3, 80,  10,   8, 6, 20.8,⑨⑧⑧
 4, 1,Ｅハｰドイチオｰ, 61,西田雄, 0.8, 61,   5,  -8, 3, 12.3,⑪⑨⑦, 4, 8, サンライズボンバｰ,,熊沢重,183.6,,,, 5,  9.2,②⑤③, 4, 2,Ｂケンセイフライト, 74,長谷川, 0.2, 69,   4,* -1, 4,  5.9,⑥⑥⑧, 4,16,Ｋシルクレセプション, 81,秋山真, 0.5, 78,   9,   8,10, 43.5,⑩⑩⑩
 5, 2,Ｇシャｰズブルｰ, 59,池添謙, 0.9, 60,*  6, -12, 5, 37.4,③②③, 5, 7, マルブツキング,,小坂忠,183.8,,,, 6, 19.5,⑩⑦⑦, 5, 5,Ｅマイネルインゼル, 69,川島信, 0.6, 64,   6, -10, 2,  5.3,③④③, 5,10,Ｉサンライズラッシュ, 82,生野賢, 0.5, 78,* 13,   2, 4,  9.0,②②②
 6, 9,Ｈパルティコラｰレ, 59,和田竜, 0.9, 60,   3,  -8, 6, 38.2,⑫⑪⑪, 6,12, メイショウコンボイ,,今村康,184.8,,,,13,189.8,④④④, 6,16,Ｇメジロジｰニｰ, 68,芹沢純, 0.7, 64,   4,  -9, 6, 13.9,⑮⑨⑦, 6,11,Ｊモチ, 82,柴原央, 0.6, 77,   9,   7,15, 61.5,⑬⑪⑪
 7, 5,Ｊテイエムカゲトラ, 56,古川吉, 0.9, 63,   6, -11,13,128.0,⑧⑤④, 7, 3, テンジンリュウセｰ,,浜野谷,185.5,,,,11, 97.1,⑧⑧⑧, 7,12,Ｃエアリアルショット, 69,宮崎北, 0.7, 63,   3,  -4,10, 42.4,⑬⑬⑯, 7, 9,Ｏアバレダイコ, 80,熊沢重, 1.1, 75,   6,   8, 5, 13.0,⑭⑭⑭
 8, 7,Ｄシャイニｰキング, 62,小林徹, 1.1, 59,   2,  -8,10, 59.8,⑮⑫⑫, 8, 6, メイショウデイジｰ,,仲田雅,186.2,,,, 9, 86.9,⑫⑪⑨, 8,13,Ｎシデンカイ, 60,丸山元, 0.9, 62,   3,  -7,15,197.9,⑭⑭⑭, 8, 8,Ｄストラディヴァリオ, 85,上村洋, 1.2, 73,   8,   4, 8, 25.4,⑪⑫⑫
 9, 4,Ｃオｰバルシェｰプ, 62,中舘英, 1.1, 58,   5, -11, 7, 43.2,⑦⑧⑥, 9, 5, ミヤジレオン,,出津孝,186.8,,,,10, 95.2,①③⑤, 9, 3,Ｈフェルヴィｰド, 67,赤木高, 0.9, 59,* 10, -21, 8, 14.6,②①①, 9, 6,Ｆピエナポパイ, 84,渡辺薫, 1.2, 75,   7,   5,11, 44.2,⑫⑬⑬
10, 6, ファイアストリｰム,---,浜中俊, 2.4, 51,  -1, -13,15,171.2,⑬⑮⑭,10,11, マｰブルダンサｰ,,林満明,188.7,,,, 8, 76.0,⑨⑫⑪,10,15,Ｍワンダｰパｰトナ, 63,田村太, 0.9, 63,   4,  -8,16,299.8,⑪⑪⑬,10,13,Ａダイシンオレンジ, 90,鮫島良, 1.3, 72,* 12,  -4, 1,  3.0,④③③
11,14,Ｍグロｰリアスムｰン, 49,川島信, 2.9, 46,   5, -26,14,137.5,④⑦⑩,11,13, オジジアンクリス,,平沢健,189.0,,,,14,212.6,⑦⑨⑩,11,10,Ｏデルマビｰナス, 60,浜中俊, 1.0, 61,   6, -14, 9, 35.6,⑨⑧⑥,11, 3,Ｇスペｰスフライト, 82,佐藤哲, 1.4, 71,   9,   1,14, 56.9,⑧⑨⑨
12, 3,Ｉシゲルアソサン, 57,長谷川, 3.0, 48,   4, -28,11, 87.0,⑥⑥⑨,12, 9, ホｰプフルスタｰ,,白浜雄,191.4,,,, 7, 32.3,⑪⑩⑫,12, 6,Ｊメイショウシｰマ, 66,古川吉, 1.0, 62,   3, -10,12, 73.1,⑦⑩⑨,12, 5,Ｅセフティｰステｰジ, 84,石橋守, 1.4, 76,   4,*  9,16,137.6,⑯⑯⑯
13,11, チョウゴｰルド,---,太宰啓, 3.2, 46,   1, -23,16,235.9,⑯⑭⑯,13, 2, クリノゴｰルド,,黒岩悠,192.6,,,,12,107.1,⑬⑬⑬,13, 1,Ｉコンプトゥス, 67,鮫島良, 1.0, 61,   3,  -9, 3,  5.4,⑩⑫⑪,12,12,Ｎゲットクｰル, 81,池添謙, 1.4, 73,   6,   5,12, 46.1,⑮⑮⑮
14, 8,Ｎシゲルバンダイサン, 32,熊沢重, 3.2, 47,  -1, -19, 9, 58.9,⑭⑯⑮,,,,,,,,,,,,,14, 8,Ｌドマｰニ, 65,上村洋, 1.1, 58,*  7, -20,11, 51.3,⑤③④,14, 1,Ｐシャインウェｰヴ, 80,長谷川, 1.9, 70,* 13, -11,13, 56.7,①①①
15,10,Ｌサンレイファイン, 51,渡辺薫, 3.6, 44,   2, -27,12,113.3,⑩⑬⑬,,,,,,,,,,,,,15,14,Ｋゼットファｰスト, 66,和田竜, 1.1, 60,   1,  -7,13, 86.4,⑫⑯⑮,15, 4,Ｈアｰトオブウォｰ, 82,小原義, 2.0, 67,  11,  -9, 7, 21.2,③④⑤
16,16,Ｋサダムダンディ, 52,石橋守, 4.7, 39,*  6, -44, 4, 34.8,②③⑤,,,,,,,,,,,,,16, 9,Ｐアイルイザダイヤ, 47,柴原央, 5.0, 12,   6, -72,14,124.6,④⑤⑫,16, 2,Ｌワインアドバイザｰ, 81,津村明, 2.5, 63,  11, -13, 9, 27.5,⑤⑤⑥
