09年 6月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝3370m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2500m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関ｹ原ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａキタサンチｰフ, 68,藤岡康,, 64,   6, -10, 5, 13.9,⑤⑤⑦, 1,10, ビコｰフェザｰ,,白浜雄,,,,, 6, 12.9,⑫⑫⑪, 1, 7,Ｇオｰルタｰゲット, 62,国分恭,, 73,   6,* -1, 4,  6.1,⑦⑦⑦, 1,14,Ｅエｰティｰボス, 81,浜中俊,, 84,  10,   4, 1,  4.3,⑬⑦⑤
 2,14,Ｊミヤコトップガン, 53,小牧太, 0.1, 65,   5,  -8, 6, 14.7,⑨⑨⑨, 2, 2, エアリｰズ,,北沢伸,221.4,,,, 9, 25.8,⑥③②, 2, 2,Ｈウインヴェロシティ, 60,赤木高, 0.2, 69,   8, -10, 5,  6.3,③④③, 2,15,Ｋアメジストリング, 77,池添謙, 0.0, 85,   9,* 10, 2,  5.4,⑫⑪⑩
 3, 8,Ｋスリｰロゼット, 52,松山弘, 0.2, 63,   2,* -5, 9, 72.1,⑬⑫⑫, 3, 5, タマモヴィグラス,,小坂忠,221.7,,,, 3,  5.2,③④④, 3, 9,Ｆヒカリアスティル, 64,小牧太, 0.4, 68,   6, -10, 8, 25.2,⑥⑤⑥, 3, 7,Ｉフライングメリッサ, 79,鮫島良, 0.4, 80,  10,  -1, 6, 11.2,⑨⑥⑦
 4,10,Ｄゴｰルデンゴｰル, 59,川田将, 0.2, 63,   6, -12, 2,  3.8,⑭⑧④, 4,11, エステヴァン,,金子光,221.8,,,,11, 48.4,⑩⑧⑤, 4, 5,Ｃブルｰスタｰキング, 69,川田将, 0.5, 68,   7, -11, 1,  3.1,⑤⑥⑤, 4,13,Ｃニュｰビギニング, 82,藤岡康, 0.5, 80,   6,*  9, 8, 16.5,⑮⑮⑬
 5, 3,Ｉハナゴロモ, 53,赤木高, 0.3, 63,  -5,*  8,11,128.8,⑯⑯⑯, 5, 1, スズカイエロｰ,,江田勇,221.9,,,, 2,  4.4,①①①, 5, 6,Ｄマイネルメビウス, 67,太宰啓, 0.8, 66,   6, -13, 6, 10.7,⑧⑧⑧, 5,16,Ｊオｰプンセサミ, 79,北村友, 0.6, 79,   7,   4,10, 26.0,⑯⑬⑫
 6,15,Ｂパｰプルタイヨｰ, 63,幸英明, 0.4, 61,*  8, -19, 1,  2.8,②②②, 6, 7, ヨシカツゾｰ,,石神深,222.1,,,,10, 33.2,⑧⑦⑧, 6, 4,Ｂエルジャンクション, 70,浜中俊, 1.0, 65,*  9, -24, 7, 12.9,④③②, 6,12,Ｇマルカハンニバル, 79,角田晃, 0.6, 78,  12,  -7, 7, 13.2,⑩③④
 7,12,Ｈデアモント, 54,中舘英, 0.6, 60,   2, -10,10, 83.5,⑪⑬⑬, 7, 4, メイショウタロｰ,,大江原,222.2,,,,13, 67.6,⑨⑨⑨, 7, 3,Ｅヴァンクリマ, 66,秋山真, 1.4, 61,   5, -17, 3,  6.0,⑨⑨⑨, 7, 9,Ｍメトロシュタイン, 75,木村健, 1.0, 72,* 14, -19, 3,  6.2,①①①
 8, 6,Ｆボウイナイフ, 56,浜中俊, 0.7, 58,   6, -21, 8, 41.9,⑥⑥⑧, 8, 9, メジロスパイダｰ,,五十嵐,222.3,,,, 4,  7.8,②⑥⑦, 8, 1,Ｉパルクエスト, 58,松山弘, 1.8, 58,*  9, -36, 9, 72.5,②②④, 8,10,Ｆトウキュウトップ, 80,田嶋翔, 1.2, 71,  11, -14,16,106.0,⑤⑤③
 9, 2,Ｇグロｰリｰブリッジ, 54,池添謙, 0.9, 55,   6, -23, 3,  4.9,④④⑥, 9,12, アグネスモナク,,仲田雅,222.7,,,,14, 90.2,⑪⑪⑩, 9, 8,Ａホクトグレイン, 74,中舘英, 3.2, 54,*  9, -57, 2,  4.5,①①①, 9, 8,Ｌニホンピロコナユキ, 76,国分恭, 1.2, 71,  10, -11,15, 63.7,⑧⑩⑥
10,11,Ｌワンダｰスル, 52,野元昭, 1.0, 54,   3, -19,15,271.9,⑫⑪⑪,10,13, メイショウラダック,,今村康,222.7,,,, 5,  8.2,⑦⑤⑥,,,,,,,,,,,,,10,11,Ｄエｰシンジｰライン, 82,芹沢純, 1.3, 70,* 13, -20, 4,  8.4,②②②
11, 5,Ｃレインボｰスタｰ, 59,北村友, 1.2, 51,*  7, -31, 7, 16.2,①①①,11,14, ハマノオラトリオ,,熊沢重,223.1,,,, 1,  3.5,⑤②③,,,,,,,,,,,,,11, 6,Ａセンノカゼ, 85,佐藤哲, 1.7, 65,   7, -11, 5,  8.4,⑪⑫⑭
12,13,Ｅヒカリアライブ, 57,秋山真, 1.3, 51,   6, -29, 4,  6.9,⑦⑦⑤,12, 6, ジュラナスリング,,宗像徹,226.7,,,, 8, 22.1,④⑩⑫,,,,,,,,,,,,,12, 4,Ｎカネトシリベルテ, 75,中村将, 2.1, 63,  10, -23,13, 41.3,⑥⑧⑪
13,16,Ｐテイエムタｰザン, 37,熊沢重, 1.4, 50,*  8, -34,13,188.0,③③③,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｈブルｰレパｰド, 79,小牧太, 2.6, 58,  10, -30,14, 53.6,⑦⑨⑨
14, 7,Ｏオｰルオｰルオｰル, 43,飯田祐, 1.7, 47,   3, -30,14,215.8,⑧⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｂハギノプリンセス, 83,上村洋, 2.8, 57,   3, -19,12, 40.6,⑭⑯⑮
15, 9,Ｎミスズチャンプ, 48,太宰啓, 1.8, 49,   0, -21,16,300.8,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｏキングオブカルト, 69,中舘英, 3.5, 53,  12, -47, 9, 17.3,③④⑧
16, 1,Ｍエリモポリス, 52,古川吉, 2.6, 40,   0, -37,12,168.7,⑩⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐケイアイケイマン, 59,熊沢重, 7.1,  6,   6, -85,11, 37.5,④⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-4),,,,,,,,,,,
