09年 2月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,橿原ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂヘリオスシチｰ, 69,ルメｰ,, 72,   4,*  4, 2,  6.1, ⑤③, 1, 1, ヤマカツジェット,,佐久間,,,,, 1,  2.1,①①①, 1, 5,Ａケイアイテンジン, 79,福永祐,, 77,  11,  -1, 1,  2.3, ④②, 1,14,Ｃサンエムパｰム, 87,秋山真,, 89,* 16,   8, 3,  5.8, ②②
 2, 8,Ａワンモアマイウエイ, 72,藤岡佑, 0.1, 73,*  6,   0, 1,  1.3, ②②, 2, 2, メルシｰモンサン,,高野容,198.8,,,,12,106.8,⑤③③, 2, 7,Ｂドクタｰラオウ, 79,藤岡佑, 0.0, 76,  10,*  0, 2,  3.0, ⑦④, 2,15,Ｊスリｰアリスト, 81,小牧太, 0.2, 85,   7,* 15, 1,  2.9, ⑬⑫
 3, 3,Ｄアスタｰクリス, 61,岩田康, 0.7, 69,*  8,  -6, 3, 10.8, ①①, 3,10, スリｰラスカル,,熊沢重,199.1,,,, 2,  2.5,②②②, 3, 9,Ｉエｰシンマダムジｰ, 69,四位洋, 0.2, 73,   4,*  7,10, 44.5, ⑬⑨, 3, 8,Ｋアナモリ, 80,川田将, 0.4, 83,   2,* 19, 4,  8.3, ⑮⑮
 4,10,Ｃタガノバッチグｰ, 62,福永祐, 1.3, 59,  -3,  -1, 4, 11.5, ⑪⑩, 4, 9, アンブレイカブル,,小坂忠,199.4,,,, 6, 24.0,④⑤⑥, 4, 3,Ｈシルクフォｰチュン, 69,ルメｰ, 0.4, 73,  10,  -2, 9, 31.1, ⑥⑦, 4,11,Ｆイリュｰシブネス, 84,幸英明, 0.4, 85,  14,   6,10, 25.8, ③③
 5, 6,Ｅホクセツテンシ, 59,下原理, 1.4, 56,  -7,*  1, 5, 16.5, ⑭⑭, 5, 6, マンノダイヤモンド,,今村康,199.9,,,, 4, 12.2,⑩⑥⑤, 5, 1,Ｆマルカベンチャｰ, 71,角田晃, 0.6, 72,   9,  -3, 3,  8.6, ⑤⑤, 5,10,Ｉミッキｰフォルテ, 83,岩田康, 0.6, 81,   9,  10, 6, 14.7, ⑨⑨
 6,11,Ｎプレシャストップ, 35,河北通, 1.6, 54,  -9,*  2, 8, 97.2, ⑯⑮, 6, 8, メイショウコンボイ,,北沢伸,200.3,,,, 5, 16.7,③④④, 6, 8,Ｌダンツフロント, 64,池添謙, 1.7, 61,   7, -11, 8, 28.8, ⑧⑧, 6, 5,Ｈクイックリｰプ, 83,和田竜, 0.6, 82,  11,   8, 9, 24.9, ⑦⑦
 7,14,Ｉホッコｰテイオｰ, 52,大庭和, 1.7, 55,   0,  -8, 9,155.4, ⑩⑧, 7,11, ハルノドトウｰ,,柴田大,201.0,,,, 7, 31.0,⑨⑧⑧, 7,11,Ｋユｰセイヤマトオｰ, 66,田村太, 2.2, 56,   1,  -7,14,170.3, ⑭⑭, 7, 9,Ｂインプルｰヴ, 88,藤岡佑, 0.7, 80,   9,   9, 2,  4.8, ⑩⑩
 8, 2,Ｐメイショウピレネｰ, 20,幸英明, 1.9, 52,  -4,  -6,13,204.2, ⑫⑬, 8,13, トミケンブロｰド,,出津孝,201.9,,,,10, 89.4,⑦⑦⑦, 8,14,Ｍカシノヘラクレス, 59,小坂忠, 2.2, 57,   1,  -7,15,258.6, ⑮⑬, 8, 7,Ｌグリｰンアラモｰド, 80,佐藤哲, 0.7, 80,  10,   7,12, 90.8, ⑧⑧
