09年 6月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄアキノラブ, 55,武幸四,, 67,   0,*  3, 4,  6.7,⑤⑤⑥, 1, 6, ソムニア,---,北村友,, 53, -10,* -4, 2,  4.4, ④④, 1, 4,Ｄヴァイスハイト, 68,藤岡佑,, 72,  -1,* 10, 4,  8.8, ⑤④, 1, 8,Ｂロッソトウショウ, 74,古川吉,, 79,   5,* 12, 2,  3.3,⑤⑤③
 2, 7,Ｆミスアンコｰル, 52,三浦皇, 1.1, 55,   0,* -6, 2,  3.1,③⑥④, 2, 8, ダイヤペルセウス,---,丸田恭, 0.7, 41,* -7, -17, 5,  6.0, ①①, 2, 8,Ａチャンピオンラブ, 82,藤田伸, 0.1, 71,   1,   7, 1,  1.8, ③③, 2, 7,Ｄアクアバンブｰ, 70,三浦皇, 0.3, 73,*  7,   6, 4,  6.0,②②①
 3,10,Ｅヨドノホｰプ, 53,小林徹, 1.9, 50,*  2, -19, 8, 35.3,⑨②①, 3, 5, クロガネ,---,秋山真, 0.7, 43, -15,  -9, 3,  5.2, ⑤⑥, 3, 5,Ｇクリノビリオネア, 64,丸田恭, 0.4, 67, -13,* 13, 6, 23.9, ⑩⑩, 3, 1,Ｃラフレッシュブルｰ, 74,藤田伸, 0.4, 74,   5,   8, 1,  3.3,④④④
 4, 9,Ａキャリコロｰズ, 64,中舘英, 2.2, 46,   0, -18, 1,  2.7,⑦④③, 4, 3, レオキュｰト,---,藤岡佑, 0.8, 43, -18,* -6, 7, 30.0, ⑧⑨, 4, 7,Ｂメイショウエルピス, 77,北村友, 0.7, 65,*  8,  -3, 2,  4.2, ②②, 4, 9,Ｆカリキュレイタｰ, 66,丸山元, 0.8, 71,   2,   9,11,191.8,⑨⑨⑨
 5, 2,Ｂメイマドンナ, 57,国分優, 2.8, 43,*  2, -26, 5, 20.5,①③⑤, 5, 9, ラブシェｰマ,---,武幸四, 1.2, 38, -16, -14, 6,  9.2, ⑦⑤, 5, 6,Ｊベルシャルル, 56,古川吉, 0.7, 67,* 10,  -5, 3,  8.5, ①①, 5, 3,Ｇリロ, 64,坂下秀, 0.9, 70,   3,   6, 8, 48.9,⑦⑧⑥
 6, 1,Ｃヴァイタペ, 55,小野寺, 3.3, 40,  -2, -22,10,124.1,⑧⑦⑦, 6, 1, リッカスウィｰプ,---,中舘英, 1.2, 37, -20, -11, 4,  5.4, ⑨⑦, 6, 9,Ｃアプロｰズヒｰロｰ, 72,川島信, 0.7, 64,  -7,   8, 5, 14.8, ⑨⑧, 6, 4,Ａハイパｰラッシュ, 76,武幸四, 2.0, 66,*  7,  -8, 3,  3.7,③③⑤
 7, 8,Ｈシｰギリアレディｰ, 43,長谷川, 3.3, 43,*  2, -30, 6, 24.8,④①②, 7, 2, デルマドミティア,---,三浦皇, 1.4, 34, -16, -17, 8, 32.2, ⑥⑧, 7, 2,Ｆウェｰブガｰル, 65,丸山元, 1.1, 61,  -2,   0,11, 84.8, ④⑥, 7,10,Ｈピロｰトｰク, 62,田中博, 2.3, 62,   4,  -6, 7, 23.6,⑧⑦⑧
 8, 5,Ｋワッフルワッフル, 41,武英智, 3.5, 40,  -3, -21,11,173.1,⑪⑪⑨, 8, 4, デパｰル,---,古川吉, 1.4, 35,  -9, -24, 9, 34.0, ③③, 8, 1,Ｈリヒタｰ, 64,国分優, 1.2, 59,  -5,   1, 9, 74.6, ⑦⑦, 8, 6,Ｉクリノスレンダｰ, 56,斉藤正, 3.0, 55,   4, -13,10,125.8,⑥⑥⑦
