09年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝3190m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａドリｰムアライブ, 76,デムｰ,, 60,* -8,*  5, 1,  1.4,②②②, 1, 4, パルティアシチｰ,,北村浩,,,,, 5,  9.1,⑥④③, 1,12,Ｂホットフレイバｰ, 74,武豊  ,, 70,  -1,*  9, 1,  1.9, ⑮⑫, 1, 3,Ｄハギノジョイフル, 82,安藤勝,, 83,  16,  -1, 8, 18.8,④④④
 2, 1,Ｇディアロックオン, 48,ルメｰ, 0.2, 56,* -8,   3, 5, 37.2,①①①, 2,10, ショウリュウケン,,植野貴,216.6,,,, 4,  6.9,⑨⑥⑥, 2,15,Ａチャｰムキャップ, 75,ルメｰ, 0.1, 69,   4,*  1, 3,  6.0, ④④, 2, 5,Ａタニノディキディキ, 83,デムｰ, 0.2, 82,  13,*  3, 4,  6.8,⑫⑨⑩
 3, 3,Ｃレッドサｰパス, 60,武豊  , 0.3, 59,  -8,*  4, 2,  3.0,④④③, 3, 6, タガノデンジャラス,,高田潤,216.7,,,, 3,  6.5,⑤③②, 3, 5,Ｃクレアシオン, 73,小牧太, 0.7, 66,   2,  -1, 4,  6.4, ⑨⑥, 3, 4,Ｅアｰネストリｰ, 81,佐藤哲, 0.2, 81,* 17,  -7, 1,  3.0,③③③
 4, 4,Ｂタガノバロナｰク, 71,藤岡康, 0.7, 55,  -8,   0, 3, 13.3,③③④, 4, 8, アグネスモナク,,仲田雅,217.4,,,, 8, 29.3,④⑦⑦, 4, 8,Ｈヘンメイレン, 68,荻野琢, 0.8, 67,   3,  -2,10,102.5, ⑧⑦, 4, 8,Ｌソリッドプラチナム, 74,北村友, 0.5, 81,  14,*  2,10, 34.2,⑩⑪⑪
 5, 9,Ｆシルクトマホｰク, 51,渡辺薫, 0.7, 58,  -8,   2, 7,102.5,⑧⑤⑤, 5, 2, エｰシンディｰエス,,南井大,217.6,,,, 6, 15.3,⑧⑤④, 5, 4,Ｋタニノブロンクス, 64,田中克, 0.9, 65,   4,  -5, 5, 17.0, ⑤⑤, 5,10,Ｇセタガヤフラッグ, 80,鮫島良, 0.5, 80,  15,  -5, 6, 12.4,⑤⑤⑤
 6,10,Ｄシｰクロノス, 53,長谷川, 1.0, 57,  -9,   0, 4, 16.2,⑦⑦⑦, 6, 9, ファストソニック,,浜野谷,217.7,,,, 7, 19.7,③⑨⑨, 6, 3,Ｅカミヒコｰキ, 71,鮫島良, 1.0, 64,*  6,  -9, 2,  5.8, ②①, 6, 6,Ｈマイネルネオス, 80,幸英明, 0.6, 80,  13,  -2, 9, 29.8,⑦⑩⑨
 7, 5,Ｅツカサゲンキ, 52,北村浩, 1.0, 54, -10,   1, 8,144.0,⑤⑧⑧, 7, 5, ハストラング,,林満明,218.3,,,,11, 84.2,⑦⑩⑧, 7, 6,Ｇレインボｰアｰチ, 68,幸英明, 1.1, 61,   1,  -3,13,114.8, ⑪⑬, 7, 7,Ｃメトロシュタイン, 82,ルメｰ, 0.6, 78,  14,  -4, 3,  6.2,⑧⑦⑧
 8, 8,Ｈスリｰロゼット, 44,荻野琢, 1.1, 56,  -9,  -1, 9,145.8,⑥⑥⑥, 8, 3, マンテンフラワｰ,,佐久間,218.3,,,,10, 64.8,②②①, 8,13,Ｍシルクイシュタｰル, 61,浜中俊, 1.2, 62,   1,  -4,14,127.3, ⑩⑩, 8, 1,Ｋロックスピリッツ, 74,古川吉, 0.7, 78,  14,  -7,12,105.9,⑥⑥⑦
