09年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胎内川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｊワンダｰアムｰル, 51,丸田恭,, 60,*  2,  -5,11, 63.4, ③③, 1,13, グレイトロｰタリｰ,---,宮崎北,, 61,*  3,*  5, 4,  9.5,③②②, 1, 4,Ｄタンホイザｰ, 74,北村友,, 83,   6,* 13, 1,  4.6, ⑭⑬, 1, 4,Ｂアサティスボｰイ, 76,江田照,, 75,   8,   5, 3,  5.6,⑥⑥⑤
 2,10,Ａプリティゴｰルド, 68,中舘英, 0.0, 59,   0,  -3, 1,  2.1, ④④, 2,11,Ｈワキノブライアン, 53,北村友, 0.2, 61,   2,*  7, 6, 14.8,⑪⑧⑨, 2, 3,Ｇベルフリｰ, 71,佐藤哲, 0.2, 78,   9,*  6, 7, 13.3, ⑪⑩, 2, 7,Ｇナムラチェンジ, 69,芹沢純, 0.1, 75,*  9,   2, 5, 11.4,⑩⑤⑥
 3, 9,Ｂバルバロッサ, 68,宮崎北, 0.2, 57,*  3,  -7, 3,  5.6, ①①, 3,14,Ｃタガノバロナｰク, 61,藤岡康, 0.2, 63,   2,*  6, 2,  4.0,⑦⑥⑤, 3, 5,Ｈシゲルアンビシャス, 71,松山弘, 0.2, 80,   6,* 10,11, 24.6, ⑮⑯, 3,15,Ｎタツクｰル, 64,丸田恭, 0.1, 72,   5,* 10,11, 41.9,⑬⑮⑬
 4, 6,Ｃマッドマックス, 65,的場勇, 0.4, 57,  -5,  -2, 2,  2.9, ⑥⑧, 4, 2,Ｊトウショウデザイア, 49,中村将, 0.8, 58,*  5,  -4, 3,  6.0,①①①, 4,14,Ｃタニオブゴｰルド, 75,丸田恭, 0.3, 75,* 10,  -1, 6, 13.1, ③③, 4,13,Ｃメイショウマゼラン, 71,古川吉, 0.1, 73,*  9,  -1, 4,  9.3,⑤③③
 5, 7,Ｅヤマイチリブ, 60,田嶋翔, 0.6, 54,  -4,  -5, 8, 39.5, ⑦⑥, 5, 3,Ｂロｰドアイアン, 62,大野拓, 0.8, 58,  -1,*  6, 5, 10.5,⑫⑫⑬, 5, 9,Ｆスピットファイアｰ, 73,芹沢純, 0.6, 76,* 10,  -4, 5,  8.9, ⑥⑥, 5, 8,Ａエｰシングレｰソロ, 77,北村友, 0.2, 72,   6,*  6, 1,  3.5,⑫⑪⑩
 6,11,Ｄノボニョ, 64,田辺裕, 0.6, 54,*  2, -10, 6, 24.8, ②②, 6, 5,Ｇメジロミッション, 55,丸田恭, 1.0, 57,   1,   2, 7, 37.3,⑧⑨⑥, 6,12,Ｉタマモランニング, 71,中村将, 0.7, 74,   9,  -3,12, 35.8, ⑩⑫, 6,14,Ｊインテンスブルｰ, 67,藤岡康, 0.2, 71,*  9,  -3,10, 33.0,③②②
 7, 8,Ｇマザｰロｰド, 57,吉田隼, 0.6, 55,  -6,  -3, 5, 24.2, ⑧⑦, 7,15,Ｆジャンジャン, 56,田面木, 1.2, 56,   2,  -1,13,221.9,⑨⑦⑦, 7, 8,Ｊフォンテｰヌ, 70,宮崎北, 0.8, 73,   9,  -4,14, 54.3, ⑦⑧, 7, 2,Ｉブルｰアンビシャス, 68,上村洋, 0.2, 72,   6,*  6, 6, 11.7,⑮⑬⑨
 8, 5,Ｈユメヲカナエル, 56,北村友, 0.8, 52,  -9,  -1, 4, 23.1, ⑪⑪, 8, 4,Ｉプレシャストップ, 50,野元昭, 2.1, 50,   0,  -5,14,312.1,⑮⑭⑫, 8,11,Ｅスズカゲイル, 74,上村洋, 0.8, 76,   7,   2, 4,  7.6, ⑬⑮, 8, 1,Ｆメイショウリバｰ, 69,渡辺薫, 0.2, 74,   7,*  6,12, 42.7,⑧⑫⑪
 9,15,Ｆトウショウタｰボ, 58,藤岡康, 0.8, 53,  -1,  -9, 7, 38.0, ⑤⑤, 9,10,Ａフェｰズシックス, 68,田辺裕, 2.1, 47,   3, -11, 1,  2.2,⑥④④, 9, 6,Ｍカゼノユクエ, 68,木幡初, 1.0, 72,   9,  -6,16,187.1, ⑨⑦, 9, 6,Ｈゼットスピｰル, 69,佐藤哲, 0.3, 70,   8,   2, 2,  4.4,⑦⑦⑦
10,14, ナカヤマタイガｰ,---,鷹野宏, 1.1, 49, -19,*  5, 9, 52.8, ⑭⑭,10, 6,Ｄナリタテイオｰ, 57,渡辺薫, 2.2, 51,   1,  -8, 9, 62.2,⑭⑩⑩,10,15,Ｋナンヨｰイｰスト, 69,石橋脩, 1.0, 74,   8,  -3, 8, 17.5, ⑯⑭,10,10,Ｌコスモハクウ, 65,中舘英, 0.5, 70,   5,   4, 8, 19.9,⑯⑯⑭
