09年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｋロックザネｰション, 44,丸田恭,, 59,   1,  -6, 4,  8.0, ⑤⑤, 1, 6, ルグランコンデ,,蓑島靖,,,,, 3,  7.0,①①①, 1, 4,Ｂアイアムルビｰ, 78,松岡正,, 77,*  6,* 10, 2,  2.6, ①①, 1, 6,Ｍティアップハｰレｰ, 78,蛯名正,, 76,* 10,   8, 3,  7.2, ②②
 2,15,Ｃナムラトリトン, 55,千葉直, 0.1, 58,  -4,*  1, 7, 38.3, ⑫⑭, 2, 8, ボナパルト,,山本康,197.5,,,, 1,  2.1,②②②, 2,15,Ａベビｰネイル, 83,北村宏, 0.7, 70,*  5,   4, 1,  2.6, ③③, 2,16,Ａハイエモｰション, 89,後藤浩, 0.0, 76,*  9,   9, 1,  2.0, ③③
 3,12,Ｉハニｰカラｰ, 45,黛弘人, 0.3, 57,   1,  -7,11, 75.7, ⑥⑦, 3, 2, ニュｰパワｰ,,五十嵐,197.6,,,, 4, 12.7,③③③, 3, 3,Ｄアイシｰクレット, 65,三浦皇, 1.3, 65,   0,   3, 8, 29.4, ⑦⑤, 3,15,Ｄイセノスバル, 80,松田大, 0.1, 76,   8,   8, 9, 34.9, ⑤⑤
 4, 4,Ｊカリズマアゲン, 44,小野寺, 0.3, 54,  -4,* -4, 8, 46.6, ⑩⑩, 4, 7, コアレススイフト,,石神深,197.8,,,, 7, 15.3,⑥⑤④, 4, 2,Ｉニシノブイシェｰプ, 59,蛯名正, 1.3, 65,   3,   0, 5, 15.7, ④④, 4, 9,Ｌスリｰサンフレンチ, 79,柴田善, 0.1, 75,  -3,* 19, 7, 24.3, ⑯⑯
 5, 5,Ａタケショウカヅチ, 65,伊藤工, 0.4, 53,  -3,  -6, 1,  2.1, ⑨⑥, 5, 9, フェスティバルイヴ,,高野和,198.7,,,, 8, 25.0,⑤⑥⑥, 5,11,Ｌプリマビスティｰ, 58,左海誠, 1.4, 65,  -8,* 11, 6, 16.8, ⑮⑮, 5, 1,Ｃスマｰトブレｰド, 83,三浦皇, 0.1, 75,* 10,   7,10, 38.0, ①①
 6, 8,Ｏコロラトゥｰラ, 36,大下智, 0.5, 59,*  4, -13, 5, 14.5, ③③, 6,14, トミケンブロｰド,,金子光,199.2,,,, 2,  4.1,④④⑤, 6, 7,Ｍハｰティンハｰト, 56,後藤浩, 1.5, 62,  -3,   4, 4, 12.7, ⑪⑩, 6, 8,Ｂノｰリプライ, 85,松岡正, 0.2, 73,   5,  10, 2,  4.9, ⑦⑦
 7,16,Ｇチハヤブル, 47,丸山元, 0.7, 57,*  7, -16, 6, 17.1, ②②, 7,11, ワｰルドグランプリ,,平沢健,200.8,,,,13,219.0,⑨⑩⑨, 7,10,Ｆマドモアゼルノン, 62,武士沢, 2.2, 57,   2,  -5,14,121.5, ⑥⑥, 7, 3,Ｇブラックシャドウ, 80,二本柳, 0.2, 73,   1,* 14, 8, 28.0, ⑭⑬
 8, 2,Ｌビンテｰジワイン, 43,草野太, 1.0, 47,  -6,  -7,14,159.8, ⑬⑪, 8, 5, ドンヤマト,,横山義,201.5,,,,10, 55.8,⑩⑧⑦, 8,14,Ｎサマｰコｰド, 55,木幡初, 2.2, 57,*  6,  -9,13,109.4, ②②, 8, 7,Ｐスガノメダリスト, 69,クラス, 0.3, 73,   4,  10, 4, 11.9, ⑨⑨
 9,10,Ｎマイネルデアリング, 39,丹内祐, 1.0, 51,   2, -14,10, 70.6, ④④, 9, 4, エルシッド,,穂苅寿,203.1,,,,11, 80.3,⑪⑨⑧, 9,12,Ｇソルプリマベラ, 62,国分優, 2.3, 57,   1,  -5, 7, 25.5, ⑧⑧, 9,10,Ｊダイイチミラクル, 79,柴田大, 0.3, 73,   2,  12,16,203.3, ⑬⑫
10, 6,Ｂドリｰムファミｰユ, 57,荻野琢, 1.1, 53,*  6, -20, 2,  3.8, ①①,10, 1, インガット,,大庭和,203.4,,,,12,112.5,⑭⑭⑪,10, 1,Ｊオネスト, 58,吉田隼, 2.3, 58,  -2,  -2,11, 83.4, ⑩⑪,10, 2,Ｋハｰドランナｰ, 79,戸崎圭, 0.4, 72,   7,   7, 6, 17.4, ④④
10,13,Ｅデルマカリグラ, 50,水出大, 1.1, 47,  -5,  -9,16,298.4, ⑪⑬,11,13, スｰパｰヴァイザｰ,,林満明,204.3,,,, 5, 14.6,⑦⑦⑩,11,13,Ｈドナルドバロｰズ, 62,デムｰ, 2.4, 56,  -5,  -1,10, 40.0, ⑬⑬,11,14,Ｏサザンビュｰティｰ, 77,木幡初, 0.5, 70,   6,   7,13,117.8, ⑧⑥
12,14,Ｈシャコｰプレシャス, 45,国分優, 1.2, 47,  -2, -14,12,129.9, ⑧⑨,12, 3, レッドジュエル,,大江原,205.5,,,, 6, 15.0,⑫⑬⑭,12, 5,Ｃコスモミカエル, 74,吉田豊, 2.6, 53,  -8,   0, 3,  8.8, ⑭⑭,12,11,Ｅマルタｰズマッシブ, 80,吉田隼, 0.7, 69,  -2,  12,14,128.1, ⑮⑮
13, 3,Ｍレイディオドリｰム, 42,南田雅, 1.2, 47,  -7,  -7, 9, 62.8, ⑭⑫,13,10, ピュアロング,,江田勇,206.3,,,,14,231.6,⑬⑫⑬,13, 6, トゥインクルスノｰ,---,江田照, 2.8, 52,  -1,  -8,15,275.3, ⑨⑨,13, 4,Ｎスパｰブスピリット, 78,北村宏, 0.9, 67,   4,   6,11, 50.8, ⑪⑪
14, 9,Ｄブラックジョｰク, 55,宮崎北, 1.3, 45,  -1, -14, 3,  6.7, ⑦⑧,14,12, ケイアイケイマン,,宗像徹,207.6,,,, 9, 38.5,⑧⑪⑫,14, 8,Ｏピｰスオブキング, 44,戸崎圭, 2.8, 52,  -4,  -6,12,106.6, ⑫⑫,14,12,Ｈリンリンリン, 80,デムｰ, 0.9, 68,   3,   6, 5, 16.1, ⑫⑭
15, 1,Ｆトｰヨｰツバサ, 48,池崎祐, 1.6, 42, -10,  -9,13,156.7, ⑮⑮,,,,,,,,,,,,,15, 9,Ｋモルフェグレイス, 58,大江原, 3.1, 49, -11,  -2,16,355.8, ⑯⑯,15,13,Ｆリボンノキシ, 80,田中勝, 1.1, 66,   4,   3,12, 69.4, ⑩⑧
16, 7,Ｐカガヤキビアンカ, 12,大江原, 2.2, 37, -13, -12,15,242.6, ⑯⑯,,,,,,,,,,,,,16,16,Ｅケイアイツバキ, 65,中舘英, 4.0, 41,   2, -22, 9, 38.5, ⑤⑦,16, 5,Ｉウインサウザｰ, 80,武士沢,10.0,-15,   6, -77,15,136.6, ⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-8),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-8),,,,,,,,,,,
"単勝:800円 複勝:11=270円 15=1,120円 12=1,840円 枠連:2,830円",,,,,,,,,,,,単勝:700円 複勝:06=210円 08=120円 02=250円 枠連:580円,,,,,,,,,,,,単勝:260円 複勝:04=130円 15=120円 03=450円 枠連:290円,,,,,,,,,,,,単勝:720円 複勝:06=200円 16=120円 15=540円 枠連:680円,,,,,,,,,,,
"馬連:10,560円 ワイド:11-15=2,390円 11-12=4,960円 12-15=15,890円",,,,,,,,,,,,馬連:750円 ワイド:06-08=330円 02-06=820円 02-08=460円,,,,,,,,,,,,馬連:320円 ワイド:04-15=180円 03-04=970円 03-15=920円,,,,,,,,,,,,"馬連:660円 ワイド:06-16=380円 06-15=2,640円 15-16=900円",,,,,,,,,,,
"馬単:15,300円 3連複:158,820円 3連単:545,420円",,,,,,,,,,,,"馬単:2,160円 3連複:2,070円 3連単:14,210円",,,,,,,,,,,,"馬単:650円 3連複:2,120円 3連単:6,790円",,,,,,,,,,,,"馬単:2,080円 3連複:5,890円 3連単:27,010円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾀｰｺｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａチュｰリングマシン, 57,三浦皇,, 53,  -4,* -2, 4, 16.0,⑪⑩⑩, 1, 5, カネスデュエル,---,三浦皇,, 61, -10,* 12, 8, 30.1,⑩⑩⑧, 1, 8,Ａシャルルマｰニュ, 86,蛯名正,, 85,  10,* 13, 1,  1.6,⑤⑤④, 1, 2,Ｂウェディングフジコ, 89,菊沢隆,, 87,  12,  11, 3,  6.8,⑤④③
 2, 6,Ｈセイカミカワ, 49,田中勝, 0.0, 52,  -2,* -6,11,105.6,⑩⑥⑦, 2, 1, グランディソニアン,---,後藤浩, 0.4, 57,  -9,   6, 2,  3.2,④⑤④, 2, 2,Ｂオウロプレット, 85,国分優, 0.5, 80,* 11,   5, 2,  5.1,①①①, 2, 7,Ｄホクトグレイン, 88,吉田隼, 0.1, 87,* 15,   5, 1,  5.0,②②②
 3,16,Ｇナンヨｰプロパｰ, 50,柴田善, 0.2, 52,* -2,  -8, 3,  8.2,③⑤⑤, 3, 2, サクラサンダｰ,---,北村宏, 0.4, 55,* -7,   3, 1,  3.0,①①①, 3, 7,Ｌタイキジャガｰ, 74,吉田隼, 0.5, 81,* 11,   7, 8, 39.0,④④②, 3, 3,Ｅヘヴンリｰクルｰズ, 84,丸田恭, 0.3, 84,  12,   7,13, 37.6,⑥⑤④
 4,13,Ｐケイアイブレイズ, 25,左海誠, 0.3, 51,* -1, -11, 8, 21.6,②②②, 4, 6, ビｰビｰライズ,---,柴田善, 1.0, 52,  -8,  -2, 4,  6.3,③③③, 4, 3,Ｅヤマニンバッスル, 79,伊藤工, 0.6, 79,   8,* 10, 4, 16.4,⑩⑨⑩, 4,12,Ｊヤマニンエマイユ, 80,蛯名正, 0.4, 85,   8,  13,10, 18.4,⑨⑩⑨
 5,11,Ｄラビットラヴソング, 51,的場勇, 0.3, 50,  -2,  -7, 6, 19.5,⑥⑧⑨, 5, 9, スペｰスウォッチ,---,菊沢隆, 1.3, 52,  -8,  -3, 3,  5.4,⑤④⑥, 5,10,Ｃエｰシントゥルボｰ, 83,吉田豊, 0.8, 79,   9,   8, 3,  6.4,⑧⑧⑦, 5, 4,Ｉレジネッタ, 81,三浦皇, 0.5, 85,   4,* 17, 2,  6.2,⑫⑫⑪
 6, 7,Ｆラッキｰバニラ, 51,菊沢隆, 0.5, 52,  -3,  -7, 5, 17.4,⑦⑨⑧, 6, 7, ラッキｰカフェ,---,田辺裕, 1.5, 51,  -8,  -3, 6, 19.5,⑥⑥⑤, 6,14,Ｋベルグミサイル, 74,田中勝, 1.0, 78,   6,* 10,13,167.2,⑫⑮⑬, 6,10,Ｃアスクデピュティ, 88,武士沢, 0.7, 80,   3,* 15, 6,  9.0,⑭⑭⑭
 7,14,Ｋテンノウセイ, 41,デムｰ, 0.6, 49,* -1, -12, 7, 21.5,⑧④③, 7,10, ジンデンバルト,---,田面木, 1.9, 47,  -9,  -6,10, 97.0,⑨⑦⑦, 7, 9,Ｄダイバクフ, 81,田面木, 1.0, 78,   7,   9,10, 60.4,⑬⑪⑨, 7, 6,Ｋスペシャルフロｰト, 77,草野太, 0.7, 80,  11,   4,14, 81.8,⑧⑧⑥
 8, 2,Ｃメジロクリントン, 55,吉田豊, 0.6, 49,* -2, -12, 1,  1.9,④③④, 8, 8, トｰセンクレイジｰ,---,松岡正, 2.0, 46, -10,  -5, 7, 28.2,⑧⑨⑨, 8,13,Ｉナムラビスマルク, 77,後藤浩, 1.0, 78,   7,   9, 6, 32.8,⑭⑭⑭, 8, 5,Ａシャランジュ, 90,吉田豊, 0.9, 78,  11,   1, 7, 11.1,⑪⑦⑦
 9, 3,Ｂリキアイクロフネ, 57,戸崎圭, 0.8, 48,  -2, -12, 2,  3.7,⑤⑦⑥, 9, 4, ナイスセレｰノ,---,戸崎圭, 3.0, 40, -10, -13, 5,  8.3,⑦⑧⑩, 9,11,Ｏスマイルミッキｰ, 71,デムｰ, 2.0, 71,  10,  -4, 9, 40.4,⑥⑥⑧, 9, 9,Ｈエリモファイナル, 81,北村宏, 1.0, 77,   5,   8,11, 18.4,⑬⑬⑬
10, 4,Ｌスリｰピｰクス, 38,宮崎北, 1.0, 46,  -7,* -6,13,322.6,⑫⑬⑪,10, 3, スｰパｰドリｰマｰ,---,左海誠, 3.8, 33,* -7, -26, 9, 73.2,②②②,10,15,Ｐシｰダｰラック, 70,的場勇, 2.1, 69,   8,  -2, 7, 35.0,⑮⑫⑪,10, 1,Ｇサクラミモザ, 81,左海誠, 1.0, 76,* 16, -10, 4,  8.2,①①①
11,10,Ｊキタサンオトコミチ, 47,吉田隼, 1.0, 48,  -6,  -7,14,353.4,⑬⑫⑭,,,,,,,,,,,,,11, 5,Ｍヒゼンリバイバル, 74,江田照, 2.2, 68,* 11,  -8, 5, 22.0,②②③,11,11,Ｆマイネカンナ, 82,石橋脩, 1.1, 77,   8,   1, 9, 15.9,⑦⑨⑩
12,15,Ｍマイネルシャトｰ, 38,石橋脩, 1.2, 48,  -7,  -7,10, 88.9,⑮⑮⑮,,,,,,,,,,,,,12, 1,Ｈディアディアｰ, 77,松田大, 2.2, 72,   9,  -4,15,214.1,⑦⑦⑤,12,14,Ｌトｰルポピｰ, 77,池添謙, 1.2, 75,   6,   2, 5,  8.3,⑩⑪⑫
13,12,Ｎカンクロ, 35,江田照, 1.2, 44,* -1, -19, 9, 35.3,①①①,,,,,,,,,,,,,13, 4,Ｇオッティマルｰチェ, 78,クラス, 2.6, 67,   7,  -4,11, 62.3,⑪⑬⑮,13, 8,Ｍブｰケフレグランス, 77,戸崎圭, 1.5, 71,  11,  -9, 8, 15.0,④⑥⑧
14, 9,Ｉレイブラン, 49,中舘英, 1.5, 43,  -4, -15,12,111.5,⑨⑪⑫,,,,,,,,,,,,,14, 6,Ｎマルブツフジ, 72,丸山元, 3.4, 61,   7, -12,14,211.0,⑨⑩⑫,14,13,Ｎヤマニンメルベイユ, 73,中舘英, 1.7, 69,  12, -15,12, 29.4,③③⑤
15, 1,Ｏパワｰマｰベラス, 34,加藤士, 2.1, 40,  -7, -14,15,524.0,⑭⑭⑬,,,,,,,,,,,,,15,16,Ｊマルブツフラッシュ, 75,小野次, 3.5, 60,* 11, -19,12, 89.3,③③⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-1),,,,,,,,,,,
"単勝:1,600円 複勝:05=420円 06=2,350円 16=270円 枠連:46,940円",,,,,,,,,,,,"単勝:3,010円 複勝:05=590円 01=150円 02=140円 枠連:7,090円",,,,,,,,,,,,単勝:160円 複勝:08=110円 02=160円 07=630円 枠連:430円,,,,,,,,,,,,"単勝:680円 複勝:02=220円 07=190円 03=890円 枠連:1,290円",,,,,,,,,,,
"馬連:53,420円 ワイド:05-06=11,250円 05-16=1,640円 06-16=8,240円",,,,,,,,,,,,"馬連:6,150円 ワイド:01-05=1,580円 02-05=1,660円 01-02=220円",,,,,,,,,,,,"馬連:360円 ワイド:02-08=200円 07-08=870円 02-07=2,110円",,,,,,,,,,,,"馬連:1,770円 ワイド:02-07=740円 02-03=4,330円 03-07=3,190円",,,,,,,,,,,
"馬単:118,380円 3連複:136,440円 3連単:1,122,500円",,,,,,,,,,,,"馬単:19,500円 3連複:5,220円 3連単:60,680円",,,,,,,,,,,,"馬単:510円 3連複:3,400円 3連単:8,170円",,,,,,,,,,,,"馬単:3,740円 3連複:31,130円 3連単:154,540円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  芝2500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾘｽﾏｽﾛｰｽﾞｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇジャングルハヤテ, 45,西田雄,, 48,* -6, -16,10, 55.3,③④③, 1, 4, レｰシングマｰチ,---,小林淳,, 60,* -6,* -5, 5, 14.4, ①①, 1, 7,Ｈエスカｰダ, 59,クラス,, 69,  -5,  13, 7, 65.2, ②②, 1, 7,Ｂラミアクイｰン, 79,クラス,, 79,  -2,* 12, 1,  3.5,⑦⑥⑧
 2, 3,Ｃメジャｰボｰイ, 54,伊藤工, 0.1, 49,  -9, -12, 5,  8.8,⑦⑥⑥, 2, 3, マｰシュハリアｰ,---,松岡正, 0.3, 52, -11,* -6, 1,  2.3, ④③, 2, 2,Ａツルマルジュピタｰ, 79,デムｰ, 0.0, 69,  -8,  15, 1,  2.4, ③③, 2, 1,Ａマイネルｰチェ, 82,松岡正, 0.0, 80,  -2,* 12, 4,  5.7,④⑤③
 3, 2,Ｅトｰセンウィン, 48,田中勝, 0.3, 48,  -9, -14, 3,  5.3,⑩⑨⑨, 3,13, バｰベナ,---,江田照, 0.9, 43, -14,  -9, 6, 16.2, ⑥⑤, 3, 1,Ｅプリンセスメモリｰ, 63,北村宏, 0.1, 71, -13,* 21, 5,  9.3, ⑦⑤, 3, 5,Ｆブルｰスタｰキング, 74,デムｰ, 0.2, 78,  -2,* 12, 3,  5.6,⑨⑧⑦
 4, 4,Ｄシルクガブリエル, 53,三浦皇, 0.3, 48,  -8, -15, 8, 29.2,⑧⑦⑦, 4,12, フランキンセンス,---,三浦皇, 1.4, 36, -16, -15, 3,  6.5, ⑦⑥, 4, 8,Ｂエｰシンダックマン, 68,松岡正, 0.3, 65,* -2,   6, 3,  4.1, ①①, 4, 6,Ｇヒカルマンテンボシ, 74,後藤浩, 0.2, 74,* -1,   5, 2,  4.1,②②②
 5,17,Ｎイｰジｰウイン, 35,田辺裕, 0.3, 49,  -9, -11, 6, 17.8,⑫⑫⑧, 5, 2, トライバルシン,---,伊藤工, 1.5, 34, -19, -13,10, 45.7, ⑧⑧, 5, 3,Ｇアグネスティンクル, 60,戸崎圭, 0.5, 64, -12,  13, 4,  8.5, ⑤⑥, 5, 8,Ｈギムレットアイ, 74,三浦皇, 0.4, 76,  -2,   9, 6, 12.3,⑩⑨⑨
 6, 7,Ｍマイネルカイロス, 35,松岡正, 0.4, 44,* -6, -24, 9, 48.0,①①①, 6, 6, スタｰダンス,---,津村明, 1.6, 36,* -8, -25, 2,  3.6, ②②, 6, 5,Ｄエステｰラブ, 65,蛯名正, 0.7, 62, -17,  15, 6, 15.9, ⑧⑧, 6, 3,Ｉマスラタケヲ, 68,丸田恭, 0.6, 73,  -2,   8,11,120.9,⑥⑦⑥
 7, 5,Ａマイネルウｰノ, 58,吉田豊, 0.5, 46, -10, -14, 1,  3.1,⑬⑪⑩, 7, 7, ヒカルナンタケット,---,田中勝, 1.8, 35,* -7, -27, 7, 16.8, ③④, 7, 4,Ｃダイワナイト, 68,後藤浩, 0.7, 60, -12,  10, 2,  3.5, ⑥⑦, 7, 4,Ｃロｰドキャニオン, 79,吉田隼, 0.7, 76,  -3,  11, 5,  7.0,⑧⑩⑩
 8, 9,Ｑサリサリニャｰマ, 28,丸田恭, 0.5, 48, -12,* -7,13,201.4,⑯⑭⑪, 8,10, メガフェリｰチェ,---,木幡初, 2.3, 25, -17, -25, 4, 10.7, ⑨⑨, 8, 6,Ｆエベレストオｰ, 61,柴田善, 1.1, 53,  -8,   1, 8, 95.1, ④④, 8, 2,Ｅキングブライト, 74,左海誠, 0.9, 66,* -1,  -4,10, 64.1,⑪④⑤
 9, 1,Ｊテｰプカット, 41,柴田善, 0.8, 46, -14,*-10,14,221.1,⑮⑮⑭, 9, 1, タマモカクレンボ,---,柴田善, 2.4, 27, -26, -17, 8, 33.4, ⑫⑫,,,,,,,,,,,,, 9,10,Ｊニキティス, 66,伊藤工, 1.6, 57,* -1, -15, 7, 15.1,①①①
10,14,Ｈトｰタルシｰオｰ, 45,村田一, 0.9, 41,* -5, -28,16,238.4,⑤⑤④,10,11, イエロｰランナｰ,---,的場勇, 2.6, 20, -11, -36,12, 95.5, ⑤⑦,,,,,,,,,,,,,10, 9,Ｄロックザキャスバ, 76,中舘英, 2.0, 56,* -1, -19, 8, 28.9,⑤③④
11,11,Ｂシルクウィｰク, 56,戸崎圭, 1.0, 40,* -6, -31, 4,  7.7,④③⑤,11, 9, ノｰブルビュｰティ,---,黛弘人, 2.8, 20, -20, -29, 9, 39.4, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
12,10,Ｉグラドゥス, 42,北村宏, 1.1, 38,* -5, -33, 7, 26.9,②②②,12, 5, カンタベリｰナナ,---,戸崎圭, 2.9,  7, -33, -17,11, 80.0, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
