09年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紅葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａリアルアヴェニュｰ, 63,内田博,, 59,  -7,*  9, 1,  1.5, ④④, 1, 4, コアレスアルダン,,大江原,,,,, 4,  8.8,⑩⑧⑥, 1, 7,Ｂイケドラゴン, 80,三浦皇,, 92,  -7,* 30, 2,  4.0,⑧⑧⑧, 1, 2,Ｇムラマサノヨｰトｰ, 83,田中勝,, 94,  11,* 27, 9, 20.8, ⑬⑬
 2,12,Ｃヒノモトイチバン, 54,武英智, 0.7, 54, -10,*  7, 6, 24.2, ⑬⑫, 2, 2, バイヨン,,穂苅寿,201.9,,,, 1,  2.0,⑦⑤⑤, 2, 5,Ａレイクメリット, 81,内田博, 0.1, 86,* -4,  21, 1,  1.9,③③③, 2,14,Ｐマイネルエルフ, 74,松岡正, 0.2, 91,  13,  20,10, 27.9, ⑨⑩
 3,10,Ｆマイネルマグレブ, 52,松岡正, 0.9, 51,  -7,   1, 3, 11.3, ⑤⑤, 3, 7, ジャングルテクノ,,横山義,202.1,,,, 2,  4.7,⑥④③, 3, 1,Ｃゴｰルドスパｰクル, 76,松岡正, 0.6, 82,  -5,  17, 3,  6.0,②④④, 3, 8,Ａレッドシュｰタｰ, 88,北村宏, 0.3, 87,  13,  18, 1,  2.1, ⑧⑪
 4, 5,Ｍドラゴンアルテマ, 27,北村宏, 1.2, 48,  -8,   0, 4, 13.8, ⑥⑥, 4,13, プラクシス,,宗像徹,202.8,,,, 5, 12.5,⑧⑨⑧, 4, 6,Ｄメイショウパルマ, 72,田中勝, 0.7, 80,  -6,  16, 4,  8.1,⑤⑥⑥, 4, 3,Ｅアロマンシェス, 83,勝浦正, 0.5, 87,  14,  16, 6, 15.2, ⑩⑧
 5, 9,Ｂリキアイクロフネ, 62,勝浦正, 1.6, 46,  -7,  -4, 2,  5.0, ⑧⑦, 5, 1, リバルドボｰイ,,浜野谷,204.1,,,, 3,  7.4,④③②, 5, 3,Ｅレッドシャドウ, 71,蛯名正, 0.7, 82,  -7,  19, 6, 17.6,⑥⑦⑦, 5, 6,Ｃアップルサイダｰ, 85,千葉直, 0.7, 85,   9,  20,14,118.7, ⑰⑰
 6, 6,Ｅドリｰムザネクスト, 53,三浦皇, 1.7, 45,  -9,  -2, 8, 28.4, ⑦⑨, 6,14, ヤンゲストリｰタｰ,,五十嵐,204.5,,,, 9, 36.3,①①①, 6, 4,Ｆブラストクロノス, 69,横山典, 0.7, 75,* -3,  10, 5, 12.2,④②①, 6, 7,Ｊテイエムアタック, 80,角田晃, 0.7, 86,   9,  20, 3,  7.2, ⑱⑱
 7, 1,Ｄメジロレイチェル, 53,武士沢, 1.7, 44, -10,  -1, 5, 19.3, ⑩⑩, 7, 5, カシマレジェンド,,佐藤聖,205.6,,,, 8, 31.9,⑬⑩⑨, 7, 2,Ｈダイワオｰドリｰ, 67,柴田善, 0.8, 76,* -4,  10, 8, 40.2,①①②, 7,15,Ｎコアレスコジｰン, 76,吉田豊, 0.7, 84,  12,  14,16,234.5, ⑫⑨
 8, 2,Ｉキタサンアイドル, 45,熊沢重, 1.9, 45,* -6,  -9,13,261.5, ①①, 8,11, ハシルペンチャン,,柴田大,205.7,,,, 7, 25.2,⑤⑥⑦, 8, 8,Ｇスイｰトマカロン, 67,クラス, 2.4, 57,  -6,  -9, 7, 31.8,⑦⑤⑤, 8, 5,Ｋツクバホクトオｰ, 79,柴田善, 0.8, 82,  15,   8,12, 73.6, ④⑥
